Brazilian Portuguese	Venetian	probability
a	a	0.473
a	ˈa	0.234
a	-	0.204
a	e	0.057
b	v	0.458
b	b	0.443
b	-	0.075
d	d	0.507
d	-	0.305
d	t	0.171
e	e	0.346
e	-	0.157
e	i	0.119
e	a	0.088
e	ˈo	0.076
e	ˈi	0.057
e	u	0.053
ẽ	o	0.426
ẽ	e	0.293
ẽ	i	0.281
f	f	1.0
h	r	0.873
h	d	0.054
i	e	0.62
i	o	0.143
i	i	0.1
i	-	0.091
ĩ	i	1.0
j	-	0.701
j	j	0.186
j	e	0.114
j̃	n	0.331
j̃	ɲ	0.277
j̃	ŋ	0.186
j̃	-	0.121
k	k	0.867
l	-	0.472
l	ɰ	0.368
l	l	0.151
m	m	0.876
m	-	0.104
n	n	0.888
n	-	0.058
o	o	0.563
o	-	0.147
o	u	0.121
o	a	0.093
õ	o	1.0
p	p	0.927
s	s	0.892
t	t	0.708
t	ŋ_t	0.256
u	o	0.854
u	-	0.08
ũ	-	1.0
v	v	0.805
v	-	0.1
v	b	0.054
w	l	0.301
w	w	0.26
w	o	0.129
w	ɰ	0.099
w	-	0.089
w	e	0.061
w	ˈa	0.061
w̃	ŋ	0.867
w̃	-	0.133
z	-	0.484
z	s	0.242
z	z	0.189
z	n	0.085
ɐ	a	0.876
ɐ	-	0.105
ɐ̃	o	0.5
ɐ̃	ŋ	0.5
ɡ	ɡ	0.863
ɡ	-	0.074
ɦ	r	0.909
ɦ	l	0.091
ɾ	r	0.8
ɾ	-	0.144
ʃ	z	0.432
ʃ	s	0.406
ʃ	p	0.075
ʃ	ʧ	0.054
ʎ	ʧ	0.388
ʎ	-	0.271
ʎ	ʤ	0.163
ʎ	r	0.082
ʎ	ɰ	0.074
ʒ	z	0.935
ʒ	-	0.065
ʤ	d	0.566
ʤ	-	0.386
ʧ	t	0.405
ʧ	ŋ_t	0.402
ʧ	s	0.123
ʧ	-	0.069
ˈa	ˈa	0.961
ˈe	ˈe	0.366
ˈe	ˈɛ	0.303
ˈe	-	0.139
ˈe	ˈi	0.1
ˈe	e	0.093
ˈẽ	ˈe	0.664
ˈẽ	ɰ	0.109
ˈẽ	-	0.084
ˈẽ	ˈɛ	0.057
ˈi	ˈi	0.617
ˈi	-	0.133
ˈi	ˈe	0.086
ˈi	i	0.056
ˈi	ˈo	0.056
ˈĩ	ˈi	0.936
ˈĩ	ˈe	0.064
ˈo	ˈɔ	0.51
ˈo	ˈo	0.438
ˈõ	ˈo	0.525
ˈõ	ˈɔ	0.299
ˈõ	ˈu	0.176
ˈu	ˈu	0.706
ˈu	ˈo	0.209
ˈu	ˈi	0.057
ˈũ	ˈu	0.725
ˈũ	ˈɔ	0.18
ˈũ	ˈo	0.095
ˈɐ̃	ˈa	0.901
ˈɐ̃	ˈo	0.099
ˈɔ	ˈɔ	0.369
ˈɔ	ˈo	0.33
ˈɔ	ˈu	0.176
ˈɔ	ˈa	0.075
ˈɔ	o	0.051
ˈɛ	ˈɛ	0.722
ˈɛ	ˈe	0.168
ˈɛ	-	0.07
