Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	-	1.0
⁵³_#>	#>	1.0
⁵³	l_ʔ	1.0
⁴⁴_#>	#>	1.0
⁴_#>	#>	1.0
ʨ	d	1.0
ʦ	ʔ_s	1.0
ɪ_k̚	ɡ	1.0
ɤ	oː_l	1.0
ɡ	ŋʷ	1.0
ɛ	eː	1.0
ɕ	h_l	1.0
ɔ̃	aː	1.0
ŋ_³³	ŋ_s	1.0
ŋ	ŋ	1.0
³³_#>	#>	1.0
³²_#>	#>	1.0
²⁴_#>	#>	1.0
²³	-	1.0
²²	-	1.0
w̃	a	1.0
w_⁵³	ʔ	1.0
w_⁴⁴	u	1.0
w_a	aː_d	1.0
tʰ_w	r̥ʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
n_⁵³	n_ʔ	1.0
n	n	1.0
m	m	1.0
l	ŋ	1.0
k̚	ɡ	1.0
ĩ	iː	1.0
h_w	hʷ	1.0
b	m	1.0
a_w	oː	1.0
a_j	ɯː	1.0
<#_ɡ	<#_ŋ	1.0
<#_ɕ	<#_s	1.0
<#_t	<#	1.0
<#_h	<#	1.0
#>	s_#>	1.0
kʰ	kʰ	0.778
o	-	0.75
p	p	0.667
ʦʰ	sʰ	0.6
tʰ	lʼ	0.6
t	t	0.556
<#	<#_q	0.556
i	i	0.524
ɪ	u	0.5
ɪ	-	0.5
t̚	i_ɡ	0.5
t̚	-	0.5
k	k	0.5
h	h_m	0.5
h	a	0.5
ã	ŋ	0.5
ã	n	0.5
<#_l	<#_n	0.5
ŋ̍	aː_ŋ	0.429
³³	-	0.429
¹¹	d_s	0.4
¹¹	-	0.4
tʰ	l̥ʰ	0.4
e	r_aː	0.385
ʔ	ɡ	0.375
ʔ	d	0.375
w	ɡʷ	0.333
w	r	0.333
w	aː	0.333
p	b	0.333
ɔ	a	0.308
ɔ	-	0.308
u	a	0.294
ŋ̍	ɯ	0.286
ŋ̍	o	0.286
³³	ɯ_s	0.286
³³	n_s	0.286
<#_l	<#_r	0.286
ʔ	e_d	0.25
o	w	0.25
i	l	0.238
u	ɯ	0.235
j	r	0.235
j	i	0.235
j	-	0.235
ɔ	aː_ʔ	0.231
e	l	0.231
e	-	0.231
t	lʼ	0.222
t	d	0.222
kʰ	kʰʷ	0.222
<#	<#_ɢʷ	0.222
<#	<#_ɡ	0.222
a	u	0.217
a	oː	0.217
<#_l	<#	0.214
ʦʰ	ʦʰ	0.2
ʦʰ	tʰ	0.2
¹¹	n_s	0.2
k	ɡ	0.188
k	kʷ	0.188
u	ɯ_ʔ	0.176
u	u	0.176
j	eː	0.176
a	uː	0.174
ɔ	aː	0.154
e	r	0.154
i	r_ɯ	0.143
a	ɯː	0.13
a	aː	0.13
a	-	0.13
k	ɡ_l	0.125
u	-	0.118
j	ɯː	0.118
i	ɯ	0.095
