Gothic	Gothic	probability
θ_s	tː	1.0
θ_#>	tː_#>	1.0
β_i	pː	1.0
β	b̥	1.0
ˈɛː_w	ˈeː	1.0
ˈɛː_n	ˈæi̯	1.0
ˈɛː	ˈæi̯	1.0
ˈiː_s	ˈei̯	1.0
ˈiː	ˈiː	1.0
ʍ	ʋ	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ_ɡ	ŋ	1.0
ð	tː	1.0
z	-	1.0
x	ɡ̊	1.0
w	ʋ	1.0
u	-	1.0
t_s	sː	1.0
s_t	ʃː_tː	1.0
s_k	ʒ̊	1.0
s_#>	#>	1.0
r_n	r_n	1.0
r	r	1.0
nː	n	1.0
n_d	ŋ	1.0
n_#>	#>	1.0
m_ˈa	m_ˈæ	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʷ	v̥	1.0
k_s_#>	#>	1.0
j_a	ə	1.0
iː_s_#>	#>	1.0
e	ə	1.0
b	b̥	1.0
aː	-	1.0
a_#>	#>	1.0
<#_θ	<#_d̥	1.0
<#_ˈɔː	<#_ˈoː	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈɒ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_z̥	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#	1.0
<#_d	<#_tː	1.0
a	ə	0.897
ˈoː	ˈuə̯	0.875
θ	d̥	0.818
p	fː	0.778
ˈɛ	ˈæ	0.75
ɡ	ɡ̊	0.75
i	-	0.75
ˈeː	ˈɒː	0.667
d	d̥	0.667
f	v̥	0.632
ˈi	ˈi	0.607
ˈuː	ˈuː	0.6
ŋ	ŋ	0.6
j	-	0.6
ˈa	ˈɒ	0.593
oː	-	0.583
n	n	0.577
ˈiu̯	ˈyː	0.556
h	h	0.556
ɣ	ɡ̊	0.5
ɣ	-	0.5
ˈiu̯	-	0.444
ˈu	ˈu	0.438
ˈɔ	ˈoː	0.429
t	tː	0.429
s	ʒ̊	0.421
oː	ə	0.417
ˈuː	ˈu	0.4
ŋ	-	0.4
j	j	0.4
k	χː	0.385
k	ɣ̊	0.385
ˈeː	-	0.333
t	sː	0.333
d	tː	0.333
ˈu	ˈo	0.312
ˈɔː	ˈoː	0.3
ˈɔː	ˈau̯	0.3
ˈɔ	ˈu	0.286
ˈɔ	ˈo	0.286
ˈa	ˈɒː	0.259
h	χː	0.259
ˈɛ	ˈæː	0.25
ˈu	-	0.25
ɡ	-	0.25
i	ˈøi̯	0.25
t	ʦ	0.238
n	ə	0.231
k	-	0.231
p	p͡f	0.222
ˈi	-	0.214
s	z̥	0.211
s	r	0.211
f	fː	0.211
ˈɔː	ˈøː	0.2
ˈɔː	-	0.2
h	-	0.185
θ	tː	0.182
s	ʃː	0.158
f	b̥	0.158
ˈoː	ˈyə̯	0.125
n	n_d̥	0.115
ˈi	ˈæ	0.107
a	-	0.103
n	r	0.077
ˈa	ˈø	0.074
ˈa	ˈæ	0.074
ˈi	ˈy	0.071
