Logudorese	Corsican	probability
d	d	1.0
f	f	1.0
p	p	1.0
u	u	1.0
ŋ	ŋ	1.0
ɖ	d	1.0
ɖː	lː	1.0
ɲː	ɲ	1.0
ʣ	ʎ	1.0
k	ʧ	0.211
m	ŋ	0.141
rː	rː	0.581
sː	sː	0.411
ˈo	ˈo	0.281
ˈo	ˈɔ	0.661
e	e	0.462
j	ɟ	0.242
r	j	0.12
e	a	0.073
i	e	0.383
l	l	0.913
s	s	0.963
ˈi	ˈi	0.553
ˈu	ˈɔ	0.23
b	k_w	0.104
k	kː	0.14
n	n	0.954
t	tː	0.264
z	z	0.064
ˈe	ˈe	0.294
β	p	0.644
i	a	0.075
o	ˈɔ	0.155
o	u	0.845
r	r	0.825
ɣ	-	0.15
ɣ	ʧ	0.455
ˈa	ˈa	0.985
z	-	0.936
ð	-	0.196
ð	t	0.706
ɡ	-	0.156
ɡ	ɟ	0.636
ɣ	k	0.356
b	ɟ	0.057
e	u	0.067
e	-	0.337
i	i	0.477
l	lː	0.087
t	-	0.067
t	t	0.67
ˈu	ˈu	0.587
β	v	0.227
b	v	0.548
j	-	0.758
ð	d	0.098
ɡ	ɡ	0.208
ˈe	ˈɛ	0.698
ˈi	ˈe	0.068
ˈi	ˈɛ	0.358
ˈu	ˈo	0.178
a	a	0.9
b	b	0.29
k	k	0.649
m	m	0.859
rː	r_n	0.419
sː	lː	0.589
β	-	0.129
