Nynorsk Norwegian	Swabian	probability
b	b	0.984
b	-	0.035
d	d	0.939
d	t	0.062
e	-	0.806
e	ˈao̯	0.105
e	ɐ	0.052
e	ə	0.044
e_ɾ	ʌ	1.0
f	f	1.0
h	h	0.871
h	kʰ	0.073
h	-	0.058
j	-	0.433
j	ɡ	0.381
j	ˈɛː	0.11
j	ˈe	0.062
k	ç	0.579
k	x	0.209
k	ɡ	0.209
kʰ	kʰ	0.641
kʰ	ʁ	0.202
kʰ	-	0.131
kʰ_ʋ	ʋ	1.0
l	l	1.0
lː	l_d	0.45
lː	e	0.182
lː	l	0.182
lː	ʌ	0.047
m	m	1.0
n	n	0.559
n	-	0.4
n	d	0.041
nː	n	0.423
nː	-	0.283
nː	d	0.178
nː	l	0.102
p	f	0.796
p	b̥͡f	0.202
s	s	0.583
s	ʃ	0.392
s	ʁ	0.034
s_e	s	1.0
s_k	ʃ	1.0
sː	s	0.491
t	s	0.615
t	d	0.216
t	ʦ	0.154
tʰ	d	0.413
tʰ	ʦ	0.4
tʰ	ʦ_ʋ	0.122
tʰ	b	0.046
v	ʋ	1.0
ç	d	0.306
ç	t	0.208
ç	kʰ	0.134
ç	ç	0.134
çː	ʦ	0.491
ŋ	i	0.241
ŋː	ŋ	1.0
ɑ	a	0.697
ɑ	-	0.122
ɑ	d_a	0.09
ɑ	ɪ	0.052
ɑ	ʌ	0.041
ə	-	0.21
ə	m	0.051
ɛ	ʌ	0.241
ɡ	ɡ	0.876
ɡ	-	0.079
ɡ	x	0.05
ɡː	ɡ	0.794
ɡː	-	0.162
ɲ	ŋ	0.491
ɾ	ʁ	0.405
ɾ	ʕ	0.263
ɾ	-	0.171
ɾ	d_ʌ	0.096
ɾ	ʌ	0.036
ɾ_e	ʌ	0.491
ʃ	ʃ	0.644
ʃ	s	0.341
ʉ	-	1.0
ʋ	b	0.352
ʋ	ʋ	0.352
ʋ	f	0.23
ʋ	p͡f	0.059
ʰkː	ŋ_ɡ	0.683
ʰkː	ɡ	0.221
ʰtː	x_d	0.803
ʰtː	ç	0.118
ʰtː_e	x	1.0
ˈeː	ˈɛː	0.33
ˈeː	ˈɛ	0.182
ˈeː	ˈa	0.104
ˈeː	ˈae̯	0.104
ˈeː	ˈɪ	0.104
ˈeː_ɡ	ˈi	1.0
ˈiː	ˈəi̯	0.445
ˈiː	ˈi	0.229
ˈiː	ˈəi̯_d	0.115
ˈiː	ˈeə̯	0.097
ˈiː	ˈae̯	0.072
ˈoː	ˈɔː	0.325
ˈoː	ˈeː	0.168
ˈoː	ˈaː	0.146
ˈoː	ˈao̯	0.097
ˈoː	ˈɔ	0.097
ˈuː	ˈuə̯	0.32
ˈuː	ˈuə̯_d	0.165
ˈuː	-	0.109
ˈuː	ˈuː	0.109
ˈuː	ˈɔə̯	0.109
ˈyː	ˈəi̯	0.398
ˈyː	ˈiː	0.295
ˈyː	ˈae̯	0.194
ˈyː	ˈiə̯	0.062
ˈæ	ˈʌ	0.118
ˈæɪ̯	ˈɔe̯	0.708
ˈæɪ̯	ˈae̯	0.215
ˈæɪ̯	ˈaː	0.058
ˈæɪ̯_n	ˈɔe̯	0.491
ˈæʉ̯	ˈao̯	0.631
ˈæʉ̯	ˈoː	0.354
ˈæːɪ̯	ˈɔe̯	0.491
ˈøː	ˈiə̯	0.422
ˈøː	ʌ	0.211
ˈøː	ˈeə̯	0.137
ˈøː	ˈɛ	0.092
ˈøː	ˈeː	0.06
ˈœ	ˈi	0.324
ˈœ	ˈɛː	0.324
ˈœʏ̯	ˈeː	0.299
ˈœʏ̯	ˈae̯	0.147
ˈœʏ̯	ˈoː	0.047
ˈɑ	ˈa	0.732
ˈɑ	ˈaː	0.127
ˈɑ	ˈɔː	0.108
ˈɑ	-	0.041
ˈɑː	ˈa	0.556
ˈɑː	ˈaː	0.323
ˈɑː	ˈɔː	0.089
ˈɔ	ˈo	0.295
ˈɔ	ˈa	0.194
ˈɔ	ˈoː	0.194
ˈɔ	ˈe	0.132
ˈɔ	ˈɔ	0.126
ˈɛ	ˈɛ	0.442
ˈɛ	ˈa	0.141
ˈɛ	ˈe	0.093
ˈɛ	ˈeː	0.093
ˈɛ	ˈɔe̯	0.073
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	0.303
ˈɪ	ˈɪ	0.238
ˈɪ	ˈe	0.207
ˈɪ	ˈeː	0.099
ˈɪ	-	0.096
ˈʉ	ˈo	0.312
ˈʉ	ʋ_ˈo	0.272
ˈʉ	ˈao̯	0.179
ˈʉ	ˈoː	0.121
ˈʉ	-	0.06
ˈʉː	ˈao̯	0.52
ˈʉː	ˈiə̯	0.143
ˈʉː	ˈuə̯	0.095
ˈʉː	ˈuː	0.076
ˈʉː	ˈɔ	0.075
ˈʊ	ˈo	0.31
ˈʊ	ˈɔ	0.184
ˈʊ	ˈae̯	0.14
ˈʊ	ˈɛ	0.14
ˈʊ	ˈi	0.101
ˈʏ	ˈu	0.396
ˈʏ	ˈɪ	0.11
ˈʏ	ˈo	0.098
ˈʏ	ˈʌ	0.098
ˈʏ	ˈe	0.096
