Nynorsk Norwegian	Swabian	probability
b	b	0.941
b	-	0.059
d	d	0.916
e	-	0.609
e	ʌ	0.264
e	ˈao̯	0.054
f	f	1.0
h	h	0.929
j	ɡ	0.369
j	-	0.331
j	h	0.126
j	l	0.098
jː	ˈiː	1.0
k	ç	0.72
k	x	0.122
k	-	0.102
k	ɡ	0.056
kʰ	kʰ	0.672
kʰ	-	0.247
kʰ	ʁ	0.081
l	l	1.0
lː	l	0.748
lː	e	0.205
m	m	0.988
mː	m	1.0
n	n	0.718
n	-	0.282
nː	n	0.631
nː	d	0.221
nː	ˈao̯	0.148
p	f	0.79
p	b̥͡f	0.21
pʰ	p͡f	1.0
s	s	0.499
s	ʃ	0.48
sː	s	1.0
t	s	0.737
t	d	0.189
t	ʦ	0.074
tʰ	d	0.521
tʰ	ʦ	0.411
tʰ	b	0.068
tː	ʣ	0.63
tː	ʦ	0.37
v	ʋ	1.0
ŋ	i	1.0
ŋː	ŋ	1.0
ɑ	a	0.892
ɑ	-	0.094
ɕ	kʰ	0.601
ɕ	t	0.135
ɕ	d	0.129
ɕ	x	0.07
ɕː	ʦ	0.67
ɕː	ɡ	0.33
ə	ʌ	0.861
ə	m	0.139
ɛ	ʌ	1.0
ɡ	ɡ	0.864
ɡ	-	0.076
ɡ	x	0.06
ɡː	ɡ	0.88
ɡː	-	0.12
ɲ	ŋ	1.0
ɾ	ʁ	0.348
ɾ	ʕ	0.336
ɾ	ʌ	0.164
ɾ	d_ʌ	0.081
ɾ	-	0.07
ʃ	ʃ	0.738
ʃ	s	0.262
ʉ	-	1.0
ʋ	ʋ	0.594
ʋ	b	0.234
ʋ	f	0.165
ʰkː	ŋ	0.848
ʰkː	ɡ	0.152
ʰpː	f	1.0
ʰtː	s	0.507
ʰtː	x	0.316
ʰtː	ç	0.095
ʰtː	d	0.083
ˈeː	ˈɛː	0.316
ˈeː	ˈɛ	0.169
ˈeː	ˈoː	0.102
ˈeː	ˈa	0.094
ˈeː	ˈɪ	0.086
ˈeː	ˈo	0.071
ˈeː	ˈiː	0.059
ˈeː	ˈae̯	0.054
ˈeː	ˈi	0.05
ˈiː	ˈəi̯	0.436
ˈiː	ˈi	0.315
ˈiː	ˈae̯	0.181
ˈoː	ˈɔː	0.264
ˈoː	ˈaː	0.132
ˈoː	ˈeː	0.132
ˈoː	ˈɔ	0.11
ˈoː	ˈoː	0.108
ˈoː	ˈi	0.075
ˈoː	ˈo	0.063
ˈoː	ˈae̯	0.054
ˈuː	ˈuə̯	0.306
ˈuː	-	0.197
ˈuː	ˈɔə̯	0.129
ˈuː	ˈu	0.098
ˈuː	ˈi	0.083
ˈuː	ˈuː	0.081
ˈuː	ˈɔe̯	0.075
ˈyː	ˈəi̯	0.593
ˈyː	ˈiː	0.188
ˈyː	ˈiə̯	0.15
ˈyː	ˈae̯	0.069
ˈæ	ˈɛ	1.0
ˈæɪ̯	ˈɔe̯	0.821
ˈæɪ̯	ˈaː	0.143
ˈæʉ̯	ˈoː	0.589
ˈæʉ̯	ˈao̯	0.411
ˈæː	ˈɛ	0.569
ˈæː	ˈeː	0.431
ˈøː	ˈɛ	0.229
ˈøː	ˈiə̯	0.223
ˈøː	ˈae̯	0.175
ˈøː	ˈuə̯	0.165
ˈøː	ˈeə̯	0.134
ˈøː	-	0.074
ˈœ	ˈɛː	0.407
ˈœ	ˈu	0.33
ˈœ	ˈi	0.174
ˈœ	ˈɛ	0.089
ˈœʏ̯	ˈae̯	0.424
ˈœʏ̯	ˈeː	0.424
ˈœʏ̯	ˈoː	0.152
ˈɑ	ˈa	0.674
ˈɑ	ˈaː	0.128
ˈɑ	ˈɔː	0.122
ˈɑ	ˈɛ	0.075
ˈɑː	ˈa	0.507
ˈɑː	ˈaː	0.415
ˈɑː	ˈɔː	0.078
ˈɔ	ˈi	0.232
ˈɔ	ˈao̯	0.215
ˈɔ	ˈoː	0.186
ˈɔ	-	0.155
ˈɔ	ˈo	0.061
ˈɔ	ˈɔ	0.057
ˈɔ	ˈa	0.053
ˈɛ	ˈɛ	0.611
ˈɛ	ˈa	0.139
ˈɛ	ˈae̯	0.101
ˈɛ	ˈe	0.069
ˈɪ	ˈe	0.312
ˈɪ	ˈɪ	0.221
ˈɪ	ˈi	0.159
ˈɪ	-	0.132
ˈɪ	ˈɛ	0.118
ˈɪ	ˈeː	0.058
ˈʉ	ˈo	0.638
ˈʉ	-	0.157
ˈʉ	ʋ_ˈo	0.089
ˈʉː	ˈao̯	0.453
ˈʉː	ˈiə̯	0.303
ˈʉː	ˈɔ	0.062
ˈʉː	ˈiː	0.051
ˈʉː	ˈuː	0.051
ˈʊ	ˈɔ	0.655
ˈʊ	ˈeː	0.214
ˈʊ	ˈɛ	0.099
ˈʏ	ˈɪ	0.278
ˈʏ	ˈu	0.221
ˈʏ	ˈe	0.192
ˈʏ	ˈʌ	0.153
ˈʏ	ʋ	0.056
ˈʏ	ˈo	0.056
