Proto-Germanic	Afrikaans	probability
b	b	0.963
d	d	0.78
d	t	0.112
d	-	0.108
e	ə	0.689
e	-	0.275
i	-	0.916
i	ə	0.084
iː	-	1.0
j	-	0.808
j	j	0.095
j	r	0.058
k	k	0.789
k	-	0.193
kʷ	k	0.911
kʷ	f	0.089
kː	k	1.0
l	ɫ	0.929
l	n	0.052
lː	ɫ	1.0
m	m	0.93
m	-	0.053
mː	m	1.0
n	n	0.511
n	-	0.481
nː	n	1.0
p	p_ə	0.525
p	p	0.475
pː	p	1.0
r	r	0.901
s	s	0.971
sː	s	1.0
t	t	0.929
t	-	0.071
u	-	0.565
u	ə	0.382
u	ˈʊə̯	0.052
w	v	0.549
w	-	0.233
w	w	0.152
wː	ˈœɪ̯	1.0
x	ɦ	0.694
x	-	0.182
x	χ	0.121
xʷ	v	0.847
xʷ	-	0.153
z	-	1.0
ð	-	0.456
ð	t	0.377
ð	d	0.13
ŋ	ŋ	0.971
ɑ	-	0.945
ɑ	ə	0.055
ɑi̯	ˈɪ	1.0
ɑː	-	1.0
ɑ̃	-	0.947
ɑ̃	ŋ	0.053
ɔː	-	0.505
ɔː	ə	0.495
ɔːu̯	-	1.0
ɔːː	r	1.0
ɔ̃ː	ˈœu̯	0.547
ɔ̃ː	n	0.453
ɛː	ə	0.756
ɛː	-	0.244
ɡ	-	0.891
ɡ	k	0.109
ɡʷ	-	1.0
ɣ	χ	0.609
ɣ	-	0.391
ɸ	f	0.932
ˈe	ˈɪə̯	0.277
ˈe	ˈɛ	0.134
ˈe	ˈɑː	0.116
ˈe	ˈi	0.094
ˈe	ˈæː	0.093
ˈe	ˈɔ	0.078
ˈe	ˈa	0.051
ˈeu̯	ˈi	0.829
ˈeu̯	ˈɔː	0.085
ˈeu̯	ˈə	0.085
ˈeː	ˈi	1.0
ˈi	ˈə	0.682
ˈi	ˈəɪ̯	0.105
ˈi	ˈɛ	0.09
ˈi	ˈɪə̯	0.055
ˈiu̯	ˈyː	0.652
ˈiu̯	ˈi	0.186
ˈiu̯	ˈœɪ̯	0.161
ˈiː	ˈəɪ̯	0.748
ˈiː	ˈœi̯	0.093
ˈiː	ˈə	0.09
ˈiː	ˈi	0.069
ˈĩː	ˈə	1.0
ˈu	ˈɔ	0.487
ˈu	ˈʊə̯	0.243
ˈu	ˈœ	0.114
ˈu	ˈɪø̯	0.064
ˈuː	ˈœɪ̯	0.695
ˈuː	ˈyː	0.114
ˈuː	ˈəɪ̯	0.079
ˈuː	ˈuːi̯	0.063
ˈɑ	ˈa	0.729
ˈɑ	ˈɑː	0.177
ˈɑi̯	ˈɪə̯	0.494
ˈɑi̯	ˈəɪ̯	0.244
ˈɑi̯	ˈɛ	0.102
ˈɑi̯	ˈi	0.08
ˈɑi̯	ˈʊə̯	0.08
ˈɑu̯	ˈʊə̯	0.905
ˈɑu̯	ˈoːi̯	0.05
ˈɑː	ˈɑː	1.0
ˈɔ	ˈu	1.0
ˈɔː	ˈu	0.521
ˈɔː	ˈyː	0.185
ˈɔː	ˈɔ	0.11
ˈɔː	ˈuː	0.065
ˈɔː	ˈuːi̯	0.065
ˈɔː	ˈɛ	0.055
ˈɛː	ˈɑː	1.0
β	-	0.448
β	v	0.283
β	f	0.27
θ	d	0.564
θ	-	0.288
θ	t	0.148
