Sicilian	Ladin	probability
#>	#>	0.983
<#	<#	0.997
<#_a	<#	1.0
a	a	0.857
a	-	0.085
b	b	1.0
c	d	0.578
c	p_l	0.274
c	l	0.091
c	ʨ	0.056
c_ʊ	l	1.0
d	d	0.573
d	t	0.315
d	-	0.098
f	f	1.0
i	e	0.425
i	i	0.206
i	j	0.206
i	a	0.087
i	ˈe	0.058
i_ɾ	j	0.699
i_ɾ	e	0.16
j	-	0.443
j	ʒ	0.252
j	l	0.107
j	e	0.083
j	j	0.069
k	k	0.436
k	ʨ	0.359
k	-	0.151
k	ɡ	0.051
k_ʊ	k	1.0
l	l	0.967
m	m	0.888
m	-	0.072
m_ʊ	m	1.0
n	n	0.825
n	-	0.091
n_ʊ	n	0.889
n_ʊ	ˈi	0.103
o	o	1.0
p	p	0.889
p	-	0.069
p_ʊ	p	0.715
p_ʊ	f	0.28
r	r	0.785
r	-	0.158
r	w	0.061
r_ɪ	e	0.206
r_ɪ	r	0.206
r_ɪ	ˈi	0.206
r_ɪ	j	0.132
r_ʊ	r	1.0
s	s	0.811
s	ʃ	0.106
t	t	0.556
t	-	0.258
t	d	0.182
t_ɪ	t	1.0
t_ʊ	t	1.0
u	o	0.457
u	ˈɔ	0.223
u	u	0.151
u	-	0.097
v	v	0.667
v	-	0.149
v	b	0.089
v	f	0.063
v_ʊ	f	1.0
w	w	0.639
w	o	0.158
w	j	0.143
w_a	a	0.514
w_ˈa	ˈa	1.0
z	ʒ	0.683
z	s	0.231
ç	f_l	1.0
ŋ	ŋ	1.0
ɕ	ʨ	0.401
ɕ	ʧ	0.262
ɕ	ʦ	0.118
ɕ	ʒ	0.08
ɕ	-	0.068
ɕ	ɲ	0.066
ɕ_ɪ	ʃ	1.0
ɖ	l	0.533
ɖ	-	0.467
ɖ_a	a	0.339
ɖ_a	ˈa	0.339
ɟ	-	0.605
ɟ	j	0.212
ɟ	l	0.071
ɟ	ɡ	0.062
ɟ	ʨ	0.06
ɡ	ɡ	0.582
ɡ	ʥ	0.215
ɡ	-	0.146
ɡ_ʊ	k	1.0
ɪ	-	0.709
ɪ	e	0.249
ɪ_r	e	0.514
ɪ_ɾ	e	0.53
ɪ_ɾ	r	0.265
ɪ_ɾ	j	0.169
ɲ	ɲ	0.461
ɲ	-	0.383
ɲ	d	0.077
ɲ	n	0.077
ɲ_ʊ	ɲ	1.0
ɽ	r	0.74
ɽ	t	0.187
ɽ	e_r	0.066
ɾ	r	0.57
ɾ	-	0.139
ɾ	d	0.1
ɾ	l	0.078
ɾ	j_r	0.068
ɾ_i	j	0.135
ɾ_ɪ	r	1.0
ɾ_ʊ	r	1.0
ɾ_ˈa	r	0.514
ʃ	ʃ	0.578
ʃ	-	0.202
ʃ	s	0.202
ʈ	-	0.425
ʈ	t	0.218
ʈ	t_e	0.218
ʊ	-	0.941
ʐ	r	0.668
ʐ	-	0.326
ʤ	ʒ	0.533
ʤ	-	0.229
ʤ	ʤ	0.107
ʤ	ʥ	0.107
ʦ	-	0.485
ʦ	d	0.136
ʦ	r	0.136
ʦ	ʃ	0.136
ʦ	ʦ	0.1
ʦ_ʊ	ʦ	1.0
ʧ	-	0.5
ʧ	t	0.195
ʧ	ʨ	0.195
ˈa	ˈa	0.716
ˈa	ˈɛ	0.214
ˈa_r	ˈe	0.922
ˈa_r	ˈɔ	0.056
ˈa_t	ˈa	0.5
ˈa_t	ˈe	0.5
ˈa_w	ˈɔ	1.0
ˈa_ɾ	ˈe	0.514
ˈa_ʃ	ˈa	1.0
ˈa_ʈ	ˈɛ	1.0
ˈe	o	0.5
ˈe	ˈe	0.5
ˈi	ˈe	0.396
ˈi	ˈi	0.318
ˈi	ˈe_j	0.147
ˈi	ˈɛ	0.07
ˈi_k	ˈi	0.339
ˈi_k	ˈe	0.174
ˈi_ɟ	ˈi	1.0
ˈi_ɲ	ˈe	1.0
ˈo	ˈo	0.776
ˈo	ˈɔ	0.179
ˈu	ˈo	0.377
ˈu	ˈu	0.286
ˈu	ˈo_w	0.156
ˈu	ˈi	0.064
ˈu	ˈɔ	0.064
ˈɔ	ˈɔ	0.451
ˈɔ	w_ˈɛ	0.312
ˈɔ	w	0.072
ˈɔ_s	ˈɔ	0.514
ˈɛ	ˈɛ	0.774
ˈɛ	j_ˈɛ	0.19
