Dutch	Dutch	probability
χ_t	tː	1.0
ˈɑu̯	-	1.0
ˈɑ_d̥_#>	ˈɑː_#>	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈyː	1.0
ˈu_d̥_#>	ˈuː_#>	1.0
ˈi_#>	ˈeː_#>	1.0
ˈeː_χ	ˈæɪ̯	1.0
ɾ_ˈoː	ɾ_ˈœ	1.0
ɾ_ə	ɳ	1.0
ɾ_t	ʈː	1.0
ɾ_n	ɳ	1.0
ɫ_v̥	lː	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
z	s	1.0
w	-	1.0
v̥_#>	#>	1.0
v̥	ʋ	1.0
v_ə	ʋ_ə	1.0
v	f	1.0
s_χ	ʂ	1.0
s_#>	s_k_ə_#>	1.0
s	s	1.0
n_d̥	nː	1.0
n_d	nː	1.0
n_#>	#>	1.0
i	ə	1.0
d̥	lː	1.0
b	b	1.0
<#_ˈeː	<#_ˈeː	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ɾ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
#>	k_#>	1.0
ʋ	ʋ	0.909
ɾ	ɾ	0.875
d̥_#>	#>	0.875
ɦ	h	0.857
k	k	0.846
ɫ	l	0.837
ˈœy̯	ˈʉː	0.818
m	m	0.76
p	p	0.75
ə	ə	0.737
ˈʏ	ˈʏ	0.714
ˈɛi̯	ˈiː	0.714
z̥_#>	s_#>	0.714
t	t	0.676
ˈɪ	ˈɪ	0.65
ˈɑ	ˈɑ	0.645
ˈi	ˈyː	0.625
ˈu	ˈuː	0.615
n	n	0.6
ˈɛ	ˈɛ	0.524
ˈaː	ˈoː	0.524
ˈɔ	ˈʉ	0.5
ə_ɾ	ɾ_ə	0.5
ə_ɾ	ɾ	0.5
ˈɛ	-	0.476
d	d	0.472
χ	ɡ	0.457
ˈoː	ˈøː	0.407
d	tʰ	0.361
ˈʏ	-	0.286
ˈɛi̯	-	0.286
ˈaː	ˈɑː	0.286
z̥_#>	#>	0.286
ˈeː	-	0.263
m	mː	0.24
ˈu	ˈøː	0.231
n	nː	0.229
ə	-	0.228
ˈoː	ˈuː	0.222
ˈeː	ˈæɪ̯	0.211
ˈɪ	-	0.2
ˈaː	-	0.19
ˈœy̯	-	0.182
p	pʰ	0.167
d	-	0.167
ɫ	lː	0.163
t	tː	0.162
ˈɑ	ˈɛ	0.161
ˈeː	ˈiː	0.158
ˈeː	ˈeː	0.158
ˈu	ˈœ	0.154
k	ç	0.154
ˈɪ	ˈiː	0.15
ˈoː	ˈɔ	0.148
χ	ɡː	0.143
ɦ	j	0.143
ˈɔ	ˈɔ	0.136
ˈɔ	ˈœ	0.136
ˈɔ	-	0.136
ˈi	ˈɛ	0.125
ˈi	ˈiː	0.125
ˈi	-	0.125
d̥_#>	d_#>	0.125
χ	k	0.114
χ	j	0.114
ˈoː	ˈœ	0.111
t	-	0.108
ˈeː	ˈɛ	0.105
ˈeː	ˈæː	0.105
ˈɔ	ˈʉː	0.091
ʋ	-	0.091
χ	ˈæɪ̯	0.086
χ	-	0.086
p	pː	0.083
ˈoː	-	0.074
ˈɑ	ˈɔ	0.065
ˈɑ	ˈɑː	0.065
ˈɑ	-	0.065
n	ˈoː	0.057
n	ˈeː	0.057
n	ə	0.057
ɾ	-	0.054
t	ʈ	0.054
