Old West Norse	Swedish	probability
ˈɛ	ˈɛ	1.0
ˈɔː	ˈʊ	1.0
ˈɒu̯	ˈøː	1.0
ˈɑ_ŋ	ˈoː	1.0
ˈøy̯	ˈœː	1.0
ˈuː	ˈʉː	1.0
ˈiː	ˈiː	1.0
ˈa	-	1.0
ʦ	s	1.0
ʝː	jː	1.0
ɾ	r	1.0
ɡː	ɡː	1.0
ɟː	ɡː	1.0
ɟ	j	1.0
ɑː	ɔ	1.0
ɑ	a	1.0
ð_ɑ	d_a	1.0
ð_i	r	1.0
ç	j	1.0
x	v	1.0
w	-	1.0
tʰ	tʰ	1.0
t_i	ʈ	1.0
sː	sː	1.0
s_ˈo	s_ˈoː	1.0
s_j	ɧ	1.0
s_c	ɧ	1.0
r_ð	ɖ	1.0
r_t	ʈː	1.0
r_s	ʂ	1.0
r_n	ɳ	1.0
pː	pː	1.0
pʰ	pʰ	1.0
n̥	n_ˈøː	1.0
nː	nː	1.0
l̥	-	1.0
l_j	j	1.0
l	l	1.0
kː	kː	1.0
kʰ	kʰ	1.0
j_ˈɔ	j	1.0
j_ˈoː	ˈyː	1.0
i_r̥	ɛ_r	1.0
h	h	1.0
f_r̥	v	1.0
f	f	1.0
e	ɪ	1.0
cː	kː	1.0
c	k	1.0
b	b	1.0
a	a	1.0
n	n	0.902
v	v	0.896
d	d	0.888
r	r	0.887
s	s	0.87
tː	tː	0.854
θ	tʰ	0.823
k	k	0.798
ŋ	ŋː	0.783
ˈøː	ˈøː	0.773
m	m	0.771
ˈyː	ˈyː	0.76
p	p	0.751
ˈɑː	ˈoː	0.746
r̥ː	r	0.728
t	t	0.712
ˈi	ˈɪ	0.684
r̥	r	0.667
cʰ	ɕ	0.667
i	ɛ	0.648
ð	d	0.627
j	-	0.625
ˈeː	ˈiː	0.613
ˈɑu̯	ˈøː	0.611
lː	l	0.61
ˈɛː	-	0.609
ˈoː	ˈuː	0.589
u	-	0.588
ɣ	ɡ	0.583
ˈɔ	ˈœ	0.577
ˈɛi̯	ˈeː	0.561
ˈɑ	ˈa	0.458
ˈy	-	0.424
ˈɔ	ˈa	0.423
u	ʊ	0.412
ˈoː	ˈʉː	0.411
ˈu	ˈɵ	0.409
ˈɛː	ˈɛ	0.391
lː	lː	0.39
ˈɑu̯	-	0.389
ˈeː	ˈɛ	0.387
ɡ	ɡ	0.383
j	j	0.375
ˈy	ˈʏ	0.365
i	ɪ	0.352
ˈe	ˈɛ	0.343
ˈɑ	ˈɑː	0.336
r̥	ɛ_r	0.333
cʰ	kʰ	0.333
ɣ	-	0.319
ˈo	ˈɔ	0.316
r̥ː	-	0.272
ˈo	ˈuː	0.251
ɡ	-	0.25
t	tː	0.25
p	pː	0.249
ˈyː	-	0.24
ɡ	ŋ	0.236
m	mː	0.229
ˈøː	ˈœ	0.227
ˈe	-	0.226
ˈɛi̯	ˈɛ	0.223
ŋ	-	0.217
ˈɛi̯	-	0.216
ˈo	ˈɵ	0.216
ˈo	-	0.216
ˈy	ˈœ	0.212
ð	d_ɛ	0.21
ˈɑ	-	0.206
k	kː	0.202
ˈu	ˈʊ	0.199
ˈi	ˈɛ	0.195
θ	ɕ	0.177
ˈe	ˈæː	0.177
ˈɑː	-	0.168
ð	-	0.162
ˈe	ˈɛː	0.156
ˈu	ˈʉː	0.155
tː	-	0.146
ˈu	ˈɔ	0.132
ɡ	ɛ	0.131
s	ɧ	0.13
ˈi	ˈeː	0.121
r	-	0.113
d	-	0.112
ˈu	-	0.104
v	-	0.104
ˈe	ˈɪ	0.099
ɣ	ɡ_ɛ	0.098
n	ɛ_n	0.098
ˈɑː	ˈa	0.086
