Catalan	Franco-Provençal	probability
ˈɛ_k	ˈɛ_t	1.0
ˈɔ_s	ˈoː	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈo_β_ɾ	ˈy	1.0
ˈi_w	ˈi	1.0
ˈi_n	ˈe_n	1.0
ˈe_s	ˈe	1.0
ˈe_n	ˈɛ̃	1.0
ˈe_j	ˈɛː	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ˈa_l	ˈoː	1.0
ʧ	-	1.0
ʤ_ə	ð_o	1.0
ʒ	ʒ	1.0
ʎ_ə	ʎ_ə	1.0
ʃ	-	1.0
ɾ_ˈe	ˈɛː	1.0
ɾ_ə	ʁ_o	1.0
ɡ	ɡ	1.0
ə_m	y	1.0
ŋ	-	1.0
ð_ə	a	1.0
ð	-	1.0
z	z	1.0
w_ɾ	ð	1.0
r_t	ʁ	1.0
mː	m	1.0
f_l	f_l	1.0
f	f	1.0
d	d	1.0
a	a	1.0
s	s	0.9
r	ʁ	0.854
p	p	0.847
β	v	0.84
m	m	0.828
ə_s	e	0.812
ɣ	-	0.783
ə_n	ɛ̃	0.736
i	-	0.72
n	n	0.674
ɾ	ʁ	0.66
l	l	0.641
t	t	0.639
ʎ	l	0.629
ɲ	ɲ	0.606
j	-	0.582
b	v	0.581
k	k	0.518
ə	a	0.511
ˈa	ˈa	0.509
ˈɔ_k	w_ˈa	0.5
ˈɔ_k	w	0.5
k	ʃ	0.428
b	b	0.419
j	ˈe	0.418
u	o	0.413
ˈu	w	0.408
ˈi	ˈi	0.396
ɲ	ˈɛ̃	0.394
ˈɛ	ˈɛː	0.386
ʎ	ʎ	0.371
ˈe	ˈe	0.367
t	-	0.361
ɾ	ð	0.34
ə	ə	0.337
ˈu	ˈu	0.317
w	-	0.311
ˈo	ˈo	0.288
ˈɔ	ˈoː	0.286
w	ʃ	0.28
i	j	0.28
ə_n	ɑ̃	0.264
ˈo	ˈɔ̃	0.254
l	-	0.248
u	-	0.237
u	ɔ	0.228
ɣ	ɡ	0.217
ˈɔ	ˈø	0.206
ə_s	ɑː	0.188
ˈɛ	-	0.186
ˈɛ	ˈe	0.183
ˈe	ˈɛ̃	0.173
n	-	0.172
m	-	0.172
ˈo	ˈɔ	0.161
β	b	0.16
ˈe	ˈɛ	0.157
ˈi	ˈĩ	0.155
ˈɔ	ˈɔ	0.154
n	ˈɛ̃	0.154
p	-	0.153
w	w	0.151
w	f	0.15
r	-	0.146
ˈe	-	0.136
ˈa	ˈaː	0.135
ˈɛ	ˈɛ	0.132
ˈo	ˈø	0.132
ˈɔ	ˈu	0.126
u	u	0.122
ˈɔ	w	0.111
l	ʎ	0.111
w	ˈe	0.108
ˈu	ˈoː	0.105
ˈi	-	0.105
ˈe	ˈɛː	0.103
ˈi	z_ˈĩ	0.101
ˈa	ˈe	0.101
ˈi	ˈe	0.091
ˈi	j	0.091
ˈu	ˈɔ̃	0.088
ˈa	ˈɑ̃	0.086
ˈɔ	ˈɔ̃	0.083
ˈu	-	0.082
ˈo	w_ˈɛː	0.082
ˈo	-	0.082
ˈa	j	0.073
ˈɛ	ˈi	0.069
ˈe	j_ˈe	0.065
ˈi	ˈɛ	0.061
s	ʃ	0.059
ə	ɛ	0.056
k	ʃ_j	0.055
