Bokmål Norwegian	Bavarian	probability
b	b̥	1.0
d	d̥	0.733
d	t	0.127
d	-	0.075
e	ˈau̯	1.0
f	f	1.0
h	h	0.972
i	i	0.808
i	ɪ	0.192
j	h	0.209
j	ˈeː	0.197
j	ɡ̊	0.179
j	-	0.136
j	ˈe	0.134
j	x	0.088
j	ˈɛ	0.056
k	x	0.559
k	ç	0.252
k	ɡ̊	0.136
k	k	0.053
kʰ	kʰ	0.858
kʰ	f	0.142
kː	ŋ	0.568
kː	k	0.432
l	l	0.664
l	j	0.309
lː	j	0.528
lː	l	0.333
lː	-	0.083
lː	i	0.056
m	m	1.0
mː	m	1.0
n	n	0.824
n	ŋ	0.12
nː	n	0.677
nː	n_d̥	0.143
nː	-	0.109
nː	l	0.051
p	f	0.842
p	p͡f	0.158
pː	f	1.0
s	s	0.71
s	ʃ	0.256
sː	s	1.0
t	s	0.695
t	t	0.257
tʰ	d̥	0.634
tʰ	ʦ	0.281
tː	ʦ	0.471
tː	s	0.312
tː	x	0.184
ŋ	-	0.522
ŋ	i	0.478
ŋː	ŋ	1.0
ɕ	kʰ	0.763
ɕ	d̥	0.181
ɕ	ʦ	0.055
ə	n	0.388
ə	a	0.31
ə	-	0.189
ɡ	ɡ̊	0.954
ɡː	ɡ̊	0.733
ɡː	-	0.221
ɪ	ŋ	1.0
ɳ	n	0.466
ɳ	r_n	0.316
ɳ	-	0.218
ɾ	r	0.495
ɾ	ɐ	0.221
ɾ	a	0.121
ɾ	t_a	0.07
ɾ	-	0.062
ʂ	s	0.754
ʂ	m	0.246
ʃ	ʃ	1.0
ʈ	ʦ	1.0
ʈː	ʦ	1.0
ʋ	ʋ	0.558
ʋ	-	0.248
ʋ	a	0.078
ʋ	f	0.071
ˈeː	ˈeː	0.265
ˈeː	ˈoɐ̯	0.23
ˈeː	ˈiɐ̯	0.183
ˈeː	ˈi	0.104
ˈeː	ˈɛ	0.083
ˈeː	ˈaː	0.07
ˈeː	ˈai̯	0.064
ˈiː	ˈi	0.339
ˈiː	ˈai̯	0.331
ˈiː	-	0.144
ˈiː	ˈeɐ̯	0.085
ˈiː	ˈai̯_t	0.051
ˈoː	ˈɔ	0.357
ˈoː	ˈoɐ̯	0.188
ˈoː	ˈoː	0.159
ˈoː	-	0.106
ˈoː	ˈeː	0.083
ˈoː	ˈe	0.054
ˈuː	ˈoɐ̯	0.365
ˈuː	ˈuɐ̯	0.157
ˈuː	ˈeɐ̯	0.123
ˈuː	ˈuɐ̯_d̥	0.112
ˈuː	-	0.094
ˈuː	ˈo	0.08
ˈyː	ˈiɐ̯	0.407
ˈyː	ˈiː	0.243
ˈyː	ˈe	0.19
ˈyː	ˈai̯	0.16
ˈæ	ˈi	0.503
ˈæ	ˈɛ	0.497
ˈæɪ̯	ˈoɐ̯	0.609
ˈæɪ̯	ˈi	0.259
ˈæɪ̯	ˈeː	0.132
ˈæː	a	0.35
ˈæː	ˈe	0.334
ˈæː	ɐ	0.146
ˈæː	ˈi	0.105
ˈæː	ˈai̯	0.064
ˈøː	ˈou̯	0.245
ˈøː	ɐ	0.136
ˈøː	ˈɛː	0.125
ˈøː	ˈoɐ̯	0.122
ˈøː	ˈe	0.122
ˈøː	ˈuɐ̯	0.112
ˈœ	ˈaː	0.279
ˈœ	ˈeɐ̯	0.175
ˈœ	ˈu	0.163
ˈœ	ˈi	0.104
ˈœ	ˈʏ	0.104
ˈœ	ˈiɐ̯	0.075
ˈœ	ʋ	0.051
ˈœʏ̯	ˈaː	1.0
ˈɑ	ˈo	0.198
ˈɑ	ˈa	0.174
ˈɑ	ˈɒ	0.169
ˈɑ	ˈɒː	0.154
ˈɑ	ˈɔ	0.151
ˈɑ	ˈoɐ̯	0.085
ˈɑː	ˈoː	0.492
ˈɑː	ˈa	0.338
ˈɑː	ˈo	0.091
ˈɔ	ˈu	0.321
ˈɔ	ˈɒ	0.159
ˈɔ	ˈi	0.15
ˈɔ	ˈo	0.122
ˈɔ	ˈaː	0.098
ˈɔ	ˈoː	0.098
ˈɔ	ˈɛ	0.052
ˈɛ	ˈoɐ̯	0.184
ˈɛ	ˈai̯	0.174
ˈɛ	ˈɛ	0.14
ˈɛ	ˈe	0.12
ˈɛ	ˈo	0.114
ˈɛ	ˈi	0.094
ˈɛː	ˈɛ	1.0
ˈɪ	ˈi	0.871
ˈɪ	-	0.077
ˈʉ	ˈu	0.568
ˈʉ	ˈau̯	0.295
ˈʉ	ˈo	0.136
ˈʉː	ˈau̯	0.463
ˈʉː	ʋ	0.116
ˈʉː	ˈu	0.08
ˈʉː	ˈai̯	0.074
ˈʉː	ˈe	0.074
ˈʉː	ˈɔ	0.074
ˈʉː	ˈoː	0.056
ˈʊ	ˈi	0.672
ˈʊ	ˈɛ	0.328
ˈʏ	ˈu	0.445
ˈʏ	ˈʏ	0.265
ˈʏ	ˈi	0.155
ˈʏ	ˈai̯	0.135
