Ripuarian	Ripuarian	probability
ˈɔː	ˈɔ_ɐ	1.0
ˈøʏ̯	ˈaɪ̯	1.0
ˈoʊ̯	-	1.0
ˈeː_n_#>	ˈaː_#>	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_ə	ɐ_n	1.0
ʀ	r	1.0
ɫ	l	1.0
ɪ	-	1.0
ɣ̊	x	1.0
ɣ	ŋ	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d̥	1.0
ə_f	f_a	1.0
ə_#>	#>	1.0
ɕ_#>	#>	1.0
ɐ	ɐ	1.0
ŋ_ɡ̊	n_d̥	1.0
z̥	s	1.0
z	s	1.0
v̥_#>	b̥_#>	1.0
v_ə	m	1.0
v	β	1.0
t_ɐ	d̥_ɐ	1.0
n_z̥	n_s	1.0
n_#>	#>	1.0
l	l	1.0
j_ə	ŋ	1.0
h	h	1.0
e	eː	1.0
b	b̥	1.0
<#_ˈʊ	<#_ˈʊ	1.0
<#_ˈɛ	<#_ˈɒ	1.0
<#_n	<#_n	1.0
#>	ŋ_#>	1.0
m	m	0.933
f	f	0.931
d̥	d̥	0.917
ʋ	v	0.893
k	ɡ̊	0.875
d	d̥	0.861
t	d̥	0.857
j	ɡ̊	0.833
ˈɔ	ˈɔ	0.8
n	n	0.786
ˈɛː	ˈɛ	0.714
ˈœ	ˈɪ	0.714
ˈe	ˈɪ	0.706
ˈa	ˈɒ	0.692
s	s	0.684
ˈeɪ̯	ˈaː	0.667
ˈo	ˈʊ	0.643
ˈɛ	ˈɛ	0.625
ˈɔʊ̯	ˈaː	0.625
ˈʏ	-	0.6
ɕ	ç	0.6
ə	n	0.577
ˈøː	ˈiː	0.571
ˈyː	ˈaɪ̯	0.571
x	x	0.571
ˈeː	ˈiː	0.556
ˈaː	ˈoː	0.545
ˈuː	ˈaʊ̯	0.533
ŋ	ŋ	0.5
ˈoː	ˈuː	0.478
ˈuː	ˈuː	0.467
ˈiː	ˈaɪ̯	0.462
ˈɪ	ˈɪ	0.455
ˈaː	ˈɒ	0.455
p	b̥͡v̥	0.444
ˈøː	-	0.429
ˈyː	ˈɘ	0.429
x	x_d̥	0.429
ˈʏ	ˈɪ	0.4
ˈiː	ˈiː	0.385
ˈɔʊ̯	ˈaʊ̯	0.375
ˈɪ	ˈiː	0.364
ˈo	-	0.357
ə	a	0.346
ˈeɪ̯	ˈaɪ̯	0.333
p	f	0.333
s	z̥	0.316
ˈoː	ˈoː	0.304
ˈɛː	-	0.286
ˈœ	-	0.286
ˈeː	ˈaː	0.222
ŋ	n	0.222
p	-	0.222
ˈɔ	ˈʊ	0.2
ɕ	ç_d̥	0.2
ɕ	x	0.2
ˈɛ	ˈeː	0.188
ˈɪ	ˈaɪ̯	0.182
ˈe	ˈiː	0.176
ŋ	ˈaɪ̯	0.167
j	j	0.167
ˈiː	ˈeː	0.154
ˈa	ˈoː	0.154
t	t	0.143
d	ɾ	0.139
ˈoː	-	0.13
ˈɛ	-	0.125
k	ɡ̊_n	0.125
ˈe	-	0.118
ˈa	-	0.115
ˈeː	ˈeː	0.111
ˈeː	-	0.111
ŋ	-	0.111
ʋ	v_ˈɔ	0.107
ˈoː	ˈaː	0.087
d̥	ɐ_d̥	0.083
n	ˈoː_n	0.071
n	n_a	0.071
n	-	0.071
f	v̥	0.069
m	m_ˈʊ	0.067
ˈɛ	ˈa	0.062
