Proto-Germanic	Alsatian	probability
b	b̥	0.89
b	-	0.11
d	d̥	0.485
d	t	0.479
e	ə	0.916
e	eː	0.084
i	-	0.83
i	ə	0.108
i	i	0.053
iː	-	1.0
j	-	0.846
j	ˈei̯	0.095
j	j	0.058
jː	ˈəi̯	1.0
k	-	0.445
k	kʰ	0.328
k	x	0.087
k	ʃ	0.084
kʷ	kʰ	0.799
kʷ	ʁ	0.201
kː	k	1.0
l	l	0.988
lː	l	1.0
m	m	0.908
m	e	0.055
mː	m	1.0
n	n	0.588
n	-	0.38
nː	n	1.0
p	f	0.898
p	p͡f	0.102
pː	f	0.843
pː	p͡f	0.157
r	ʁ	0.977
s	s	0.564
s	ʃ	0.42
sː	s	1.0
t	ʦ	0.361
t	s	0.339
t	t	0.261
u	-	0.762
u	ə	0.127
u	i	0.11
w	ʋ	0.504
w	-	0.266
w	w	0.183
wː	ˈi	1.0
x	h	0.629
x	-	0.111
x	x	0.08
x	ʃ	0.066
x	k	0.063
xʷ	ʋ	0.652
xʷ	-	0.348
z	-	0.923
z	ʁ	0.065
ð	t	0.88
ð	-	0.093
ŋ	ŋ	0.838
ŋ	-	0.162
ɑ	-	0.63
ɑ	ə	0.328
ɑi̯	ˈɒ	1.0
ɑ̃	ə	0.634
ɑ̃	-	0.366
ɔː	ə	0.746
ɔː	-	0.254
ɔːu̯	-	1.0
ɔːː	ʋ	0.422
ɔːː	ə	0.367
ɔːː	-	0.211
ɔ̃ː	m	0.736
ɔ̃ː	ˈɔi̯	0.264
ɛː	ə	1.0
ɡ	-	1.0
ɡʷ	-	1.0
ɣ	ɡ̊	0.4
ɣ	k	0.225
ɣ	-	0.169
ɣ	j	0.136
ɣ	v	0.056
ɸ	f	1.0
ˈe	ˈæ	0.283
ˈe	ˈe	0.179
ˈe	ˈæː	0.152
ˈe	ˈi	0.074
ˈe	ˈiː	0.065
ˈeu̯	ˈiː	0.827
ˈeu̯	ˈu	0.173
ˈi	ˈi	0.876
ˈi	-	0.064
ˈiu̯	ˈei̯	0.415
ˈiu̯	ˈi	0.36
ˈiu̯	ˈiː	0.224
ˈiː	ˈiː	0.831
ˈiː	ˈei̯	0.169
ˈĩː	ˈi	1.0
ˈu	ˈu	0.478
ˈu	ˈo	0.239
ˈu	ˈe	0.082
ˈu	ˈi	0.072
ˈu	ˈoː	0.06
ˈuː	ˈyː	0.722
ˈuː	ˈiː	0.146
ˈuː	ˈʊː	0.077
ˈuː	ˈøi̯	0.055
ˈɑ	ˈɒ	0.608
ˈɑ	ˈɒː	0.166
ˈɑ	ˈe	0.061
ˈɑi̯	ˈəi̯	0.675
ˈɑi̯	ˈeː	0.32
ˈɑu̯	ˈoː	0.309
ˈɑu̯	ˈʊː	0.269
ˈɑu̯	ˈeː	0.149
ˈɑu̯	ˈai̯	0.142
ˈɑu̯	ˈo	0.054
ˈɑː	ˈeː	1.0
ˈɔː	ˈʊː	0.66
ˈɔː	ˈiː	0.235
ˈɔː	ˈøː	0.105
ˈɛː	ˈoː	0.874
ˈɛː	ˈɒː	0.126
β	v	0.403
β	b̥	0.282
β	-	0.267
θ	d̥	0.822
θ	t	0.144
