Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɛɪ̯	ˈæː	1.0
ˈɛ_l	l	1.0
ˈœː	-	1.0
ˈœ	ˈe	1.0
ˈøː	ˈi	1.0
ˈyː	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈaʊ̯_x	ˈœ	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɣ̊	-	1.0
ɣ	ˈiː	1.0
ɡ̊	-	1.0
ɡ	ɡ̊	1.0
ç_#>	#>	1.0
z̥	z̥	1.0
z	s	1.0
x	x	1.0
w	w	1.0
v̥_#>	b̥_#>	1.0
v	ʋ	1.0
tʰ	ʦ	1.0
t_n	s_ə	1.0
t_#>	ʦ_#>	1.0
r	ʁ	1.0
p_n	f_ə	1.0
p_#>	f_#>	1.0
n_ˈɛː	n	1.0
n_ʃ	n_ʃ	1.0
l	l	1.0
kʰ	kʰ	1.0
k_n	k_ə	1.0
h	h	1.0
f	f	1.0
b_m	n	1.0
b	b̥	1.0
ae̯	eː	1.0
<#_r	<#_ʁ	1.0
ˈa	ˈɒ	0.857
n	n	0.754
d	d̥	0.72
ˈɛː	-	0.714
ŋ	ŋ	0.714
ˈɪ	ˈi	0.708
ˈʊ	ˈu	0.667
ç	k	0.667
s	-	0.667
p	p͡f	0.667
m	m	0.667
ˈʏ	ˈu	0.625
d̥	t	0.609
ˈuː	ˈyː	0.6
ˈoː	ˈoː	0.6
ɾ	t	0.6
j	ɡ̊	0.6
ˈaʊ̯	ˈʊː	0.571
ˈiː	ˈiː	0.5
æ	ʁ	0.5
æ	ə_ʁ	0.5
k	ʃ	0.5
ˈɔ	ˈu	0.444
t	s	0.44
ˈɔʏ̯	ˈiː	0.429
ˈɔʏ̯	-	0.429
ˈɛ	-	0.4
ˈoː	-	0.4
ɾ	d̥	0.4
j	j	0.4
d̥	d̥	0.391
ˈɒː	ˈoː	0.385
ˈʏ	ˈi	0.375
ˈae̯	ˈəi̯	0.368
t	t	0.36
ˈʊ	ˈo	0.333
ˈɔ	-	0.333
ˈaː	ˈɒː_ʁ	0.333
ˈaː	ˈɒː	0.333
ˈaː	ʁ	0.333
ç	ʃ_t	0.333
s	k_s	0.333
p	p	0.333
ˈɒː	-	0.308
ˈiː	-	0.3
ˈɛː	ˈe	0.286
ŋ	j_ə	0.286
d	t	0.28
k	x	0.25
k	i_ʃ	0.25
ˈaʊ̯	ˈoː	0.238
ˈɒː	ˈɒ	0.231
ˈɔ	ˈɒ	0.222
ˈae̯	ˈiː	0.211
ˈae̯	ˈei̯	0.211
ˈɛ	ˈæː	0.2
ˈɛ	ˈi	0.2
ˈɛ	ˈe	0.2
ˈuː	-	0.2
ˈiː	ˈei̯	0.2
m	ə	0.185
m	m_ə	0.148
ˈɔʏ̯	ˈai̯	0.143
ˈa	ˈɒː	0.143
n	ə	0.14
ˈuː	ˈo	0.133
ˈɪ	ˈiː	0.125
t	ʦ	0.12
ˈae̯	ˈeː	0.105
ˈae̯	-	0.105
ˈaʊ̯	ˈɒ	0.095
ˈaʊ̯	ˈøː	0.095
ˈɪ	ˈəi̯	0.083
ˈɪ	ˈe	0.083
t	ʃ_t	0.08
ˈɒː	ˈø	0.077
n	n_d̥	0.07
ˈuː	ˈøi̯	0.067
