Middle Chinese	Middle Chinese	probability
˥˩	²¹³	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʥ	s	1.0
ʤ	s	1.0
ʔˠ	-	1.0
ʔ	ŋ	1.0
ʑ	s	1.0
ʌ_i	a_j	1.0
ʌ	a	1.0
ʉ_ɐ	a	1.0
ʈ	ʦ	1.0
ʃˠ	s	1.0
ʃ	s	1.0
ɳ	nʲ	1.0
ɪ_m	n	1.0
ɨ_ʌ	y	1.0
ɨ_u	ə	1.0
ɦ_ɨ	y	1.0
ɡˠ	ʨʰ	1.0
ɡ	k	1.0
ɛ	a	1.0
ə_k̚	ɛ	1.0
ə	ə	1.0
ɖˠ	ʦʰ	1.0
ɖ	ʦʰ	1.0
ɕˠ	s_w	1.0
ɕ	s	1.0
ɑ_˧˥	o_⁵³	1.0
ɑ_u	a_w	1.0
ɐ	a	1.0
ȵ_i	ɚ	1.0
ȵ	z	1.0
ŋˠ	j	1.0
æ_ŋ	n	1.0
æ_k̚	ɛ	1.0
u_˦	w_²¹	1.0
u_n	n	1.0
t̚	-	1.0
tʰ	tʰ	1.0
t	t	1.0
sˠ	s	1.0
s	ɕ	1.0
p̚	-	1.0
pˠ	p	1.0
pʰˠ	pʰ	1.0
o	u	1.0
n	n	1.0
mˠ	m	1.0
lˠ	ə	1.0
k̚	-	1.0
kˠ	ʨ	1.0
kʰˠ	kʰ	1.0
i_ɪ	z̩	1.0
i_u	ɥ	1.0
i_e	z̩	1.0
i_a	ɛ	1.0
hˠ	x	1.0
h	x	1.0
e_i	i	1.0
bˠ	pʰ	1.0
b	f	1.0
a	a	1.0
<#_ŋ	<#	1.0
<#_m	<#_w	1.0
<#_l	<#_n	1.0
#>	²¹_#>	1.0
ŋ	ŋ	0.905
˧˥	⁵³	0.9
ɑ	a	0.786
ɦ	x	0.714
p	f	0.714
ɪ	-	0.667
w	w	0.667
ɨ	-	0.64
ʦʰ	ʦʰ	0.6
d	t	0.6
m	n	0.571
kʰ	kʰ	0.571
˦	⁵⁵	0.541
k	ʨ	0.5
k	k	0.5
˦	²¹	0.459
m	m	0.429
kʰ	ʨʰ	0.429
i	i	0.409
ʦʰ	ʨʰ	0.4
d	tʰ	0.4
u	w	0.393
i	j	0.364
ɪ	ə	0.333
w	-	0.333
e	j_ɛ	0.333
e	i	0.333
e	a	0.333
ɦ	-	0.286
p	p	0.286
u	o	0.25
u	-	0.25
i	-	0.227
ɑ	o	0.214
ɨ	j_ə	0.16
ɨ	z̩	0.12
u	u	0.107
˧˥	²¹³	0.1
ŋ	n	0.095
ɨ	ə	0.08
