Alsatian	Bavarian	probability
b̥	b̥	1.0
d̥	d̥	0.947
d̥	t	0.055
e	-	0.115
f	f	1.0
h	h	1.0
i	i	0.407
i	-	0.246
i	ŋ	0.162
j	j	0.517
j	ŋ	0.289
k	ɡ̊	0.668
k	k	0.15
k	-	0.091
kʰ	kʰ	0.931
kʰ	-	0.063
l	l	0.536
l	j	0.382
l	i	0.043
l	ə	0.043
m	m	1.0
n	n	0.778
n	-	0.134
n	m	0.076
p	p	1.0
p͡f	p͡f	0.74
p͡f	p	0.133
s	s	1.0
t	d̥	0.567
t	t	0.43
v	ŋ	0.361
v	m	0.361
v	b̥	0.202
w	ʋ	1.0
x	x	1.0
ŋ	ŋ	1.0
ə	a	0.536
ə	n	0.279
ə	-	0.118
ə	ɐ	0.058
ɡ̊	ɡ̊	0.879
ɡ̊	kʰ	0.12
ʁ	-	0.514
ʁ	r	0.483
ʁ_i	ɐ	0.486
ʃ	ʃ	0.66
ʃ	x	0.155
ʃ	ç	0.076
ʃ	s	0.066
ʃ	ɡ̊	0.038
ʋ	ʋ	0.903
ʋ	ɡ̊	0.095
ʦ	ʦ	1.0
ˈaː	ˈo	1.0
ˈe	ˈɛ	0.544
ˈe	ˈe	0.38
ˈe	ˈi	0.056
ˈei̯	ˈai̯	0.623
ˈei̯	ˈiɐ̯	0.349
ˈeː	ˈeː	0.289
ˈeː	ˈɛː	0.289
ˈeː	ˈe	0.185
ˈeː	ɐ	0.094
ˈi	ˈi	0.691
ˈi	ˈai̯	0.127
ˈi	ˈiː	0.096
ˈi	ˈu	0.054
ˈi	ˈʏ	0.039
ˈiː	ˈai̯	0.377
ˈiː	ˈiɐ̯	0.3
ˈiː	ˈi	0.132
ˈiː	ˈoɐ̯	0.076
ˈiː	ˈiː	0.061
ˈiː_ʁ	ˈai̯	0.486
ˈo	ˈɔ	0.422
ˈo	ˈo	0.169
ˈo	ˈoː	0.155
ˈo	ˈaː	0.1
ˈo_ʁ	ˈoɐ̯	1.0
ˈoː	ˈou̯	0.302
ˈoː	ˈoɐ̯	0.248
ˈoː	ˈɔ	0.174
ˈoː	ˈɒː	0.156
ˈoː	ˈu	0.09
ˈu	ˈu	0.883
ˈu	ˈɛ	0.103
ˈyː	ˈau̯	1.0
ˈæ	ˈeː	0.683
ˈæ	ˈɛ	0.219
ˈæː	ˈe	0.257
ˈæː	ˈɛ	0.257
ˈæː	ˈɛː	0.257
ˈæː	ˈeː	0.094
ˈæː	ˈɑː	0.06
ˈø	ˈoː	1.0
ˈøː	ˈuɐ̯	0.486
ˈœ	ˈau̯	1.0
ˈɒ	ˈo	0.313
ˈɒ	ˈa	0.192
ˈɒ	ˈɒ	0.181
ˈɒ	ˈoː	0.117
ˈɒ	ˈɒː	0.058
ˈɒː	ˈoː	0.166
ˈɒː	ˈɒ	0.158
ˈɒː	ˈa	0.158
ˈɒː	ˈoɐ̯	0.113
ˈɒː	ˈɒː	0.106
ˈɔi̯	ˈau̯	0.486
ˈəi̯	ˈoɐ̯	0.842
ˈəi̯	ˈai̯	0.144
ˈɛ	ˈɒ	0.5
ˈɛ	ˈeː	0.5
ˈʊː	ˈuɐ̯	0.631
ˈʊː	ˈaː	0.194
ˈʊː	ˈa	0.08
ˈʊː	ˈeɐ̯	0.062
