Romansch	Latin	probability
a	a	0.435
a	ˈa	0.379
a	-	0.067
b	b	0.845
b	-	0.077
b	b_ʊ	0.077
d	d	0.542
d	t	0.324
d	-	0.076
e	ɛ	0.489
eː	ɪ	1.0
f	f	0.771
f	-	0.18
i	i	0.285
i	ɪ	0.248
i	ɪ_k	0.248
i	lʲ	0.08
i	ʊ̃ː	0.08
j	-	0.382
j	ˈɛ	0.178
j	lʲ	0.092
j	ɛ	0.08
j	e	0.07
j	i	0.07
j	ɪ	0.07
j_s	s	0.489
j_ˈɛ	ˈɪ	1.0
k	k	0.837
k	k_ʊ̃ː	0.089
k	kʷ	0.063
l	ɫ	0.604
l	lʲ	0.187
l	l	0.127
l_j	ɫ	1.0
m	m	0.947
n	n	0.706
n	n_ʊ̃ː	0.148
n	-	0.052
o	ɔ	0.298
o	o	0.146
o	oː	0.146
p	p	0.952
r	r	0.66
r	r_ɛ	0.265
s	s	0.8
s	oː_s	0.08
t	t	0.616
t	t_ʊ̃ː	0.12
t	t_ɛ̃ː	0.09
t	d_ɛ̃ː	0.058
t	d_ʊ̃ː	0.051
u	ɔ	0.437
u	a	0.133
u	oː	0.099
u	-	0.071
u	au̯	0.071
u	iː	0.069
u	ˈoː	0.069
v	w	0.586
v	b	0.264
v	p	0.117
v_j	p	1.0
w	-	0.283
w	ʊ̃ː	0.21
w	ʊ_s	0.089
w	ˈʊ	0.078
w	kʷ	0.068
w	ɪ	0.068
w	ɔ	0.057
w	ɫ	0.057
w	d_ʊ̃ː	0.055
w_n	n	0.489
z	s	0.574
z	d	0.281
ŋ	ŋ	0.78
ŋ	ŋ_ɡʷ	0.219
ə	ãː	0.491
ə	ɛ	0.132
ə	a	0.087
ə	aː	0.053
ə	-	0.052
ɡ	ɡ	0.525
ɡ	k	0.318
ɡ	ɡʷ	0.084
ɡ	-	0.068
ɲ	n_i	0.337
ɲ	e_ʊ̃ː	0.217
ɲ	n	0.189
ɲ	ŋ_n	0.133
ɲ	e	0.054
ʃ	s	0.365
ʃ	k_ɛ̃ː	0.221
ʃ	ɡ	0.153
ʃ	-	0.088
ʃ	s_k	0.084
ʎ	ɫ_ʊ̃ː	0.259
ʎ	ʊ_ɫ	0.208
ʎ	i_ʊ̃ː	0.167
ʎ	lʲ_i	0.145
ʎ	l	0.073
ʎ	-	0.056
ʎ	ɫ	0.056
ʒ	w	0.489
ʥ	d	0.286
ʥ	j	0.207
ʥ	k	0.18
ʥ	ɡ	0.157
ʥ	-	0.08
ʥ	b	0.075
ʦ	t	0.347
ʦ	t_i	0.131
ʦ	k	0.106
ʦ	k_t	0.092
ʦ	d	0.085
ʦ	t_ʊ̃ː	0.059
ʧ	k	0.464
ʧ	k_i	0.186
ʧ	kʷ	0.117
ʧ	t	0.091
ʧ	k_ɛ̃ː	0.051
ʨ	k	0.67
ʨ	k_t	0.139
ʨ	kʷ	0.07
ʨ	k_ʊ̃ː	0.051
ˈa	ˈa	0.527
ˈa	ˈaː	0.219
ˈa	ˈeː	0.057
ˈa_j	ˈeː	0.576
ˈa_j	ˈɪ	0.283
ˈa_j	ˈaː	0.105
ˈa_w	ˈaː	0.5
ˈa_w	ˈau̯	0.49
ˈaː	ˈa	0.386
ˈaː	ˈaː	0.307
ˈaː	i_ˈaː	0.138
ˈaː	uː	0.091
ˈe	ˈeː	0.222
ˈe	ˈɪ	0.168
ˈe	ˈɪ_k	0.168
ˈe	ˈɪ_lʲ	0.087
ˈe	ɛ̃ː	0.073
ˈe	ˈoː	0.066
ˈe	ɛ	0.055
ˈe	ˈaː	0.055
ˈe	ˈɛ	0.054
ˈeː	ˈɛ	0.477
ˈeː	ˈɪ	0.477
ˈi	ˈiː	0.402
ˈi	ˈuː	0.213
ˈi	ˈɛ	0.092
ˈi	ˈi	0.08
ˈiː	ˈiː	0.805
ˈiː	ˈuː	0.154
ˈo	ˈɔ	0.758
ˈo	-	0.089
ˈoː	ˈɔ	1.0
ˈu	ˈʊ	0.308
ˈu	ˈoː	0.285
ˈu	ˈɔ	0.174
ˈu	ˈu	0.096
ˈu_ʎ	ʊ̃ː	0.057
ˈuɔ̯	ˈʊ	0.489
ˈuː	ˈoː	0.699
ˈuː	ˈʊ	0.146
ˈɔ	ˈɔ	0.471
ˈɔ	ˈa	0.251
ˈɔ	ˈaː_n	0.057
ˈɔ	ˈo	0.057
ˈɔ	ɔ	0.05
ˈɔː	ˈɔ	0.699
ˈɔː	ˈa	0.297
ˈɛ	ˈɛ	0.422
ˈɛ	ˈɔ_k	0.163
ˈɛ	ˈɛ_lʲ	0.156
ˈɛː	ˈɛ	1.0
