Afrikaans	Faroese	probability
b	b̥	1.0
d	d̥	0.523
d	-	0.19
d	tʰ	0.163
d	ʤ̊	0.057
d	ʧʰ	0.042
f	f	0.722
f	-	0.083
f	v_ʊ	0.079
f	v	0.072
f	tː	0.035
j	ˈɔ̯aː	0.574
j	-	0.278
k	k	0.325
k	kʰ	0.251
k	-	0.077
k	f	0.061
k	ʧ	0.061
l	l	0.901
l	l̥	0.077
m	m	0.494
m	m_ʊ	0.283
m	m_a	0.11
m	m_j	0.073
m	w	0.04
n	n	0.656
n	-	0.173
n	nː	0.09
n	n̥	0.068
n_t	nː	1.0
p	p	0.36
p	ʰp	0.252
p	v	0.144
p	ɹ	0.144
p	tː	0.071
p_ə	ʰp	0.484
r	ɹ	0.766
r	-	0.077
r	ɹ_a	0.055
r	ɹ_ʊ	0.035
r	ʊ_ɹ	0.029
r_s	s	1.0
s	s	0.78
s	ʃ	0.115
s	sː	0.058
s	-	0.044
t	t	0.32
t	-	0.174
t	tʰ	0.099
t	w	0.088
t	ʰt	0.078
v	v	0.478
v	-	0.23
v	kʰ_v	0.199
v	f	0.056
v	ʧʰ	0.041
w	v	0.679
w	ˈœ	0.129
w	ʧʰ	0.129
ŋ	ŋ	0.743
ŋ	n̥	0.182
ŋ	ɲ	0.071
ŋ_k	ʰkː	1.0
ə	-	0.351
ə	ɪ	0.229
ə	ʊ	0.15
ə	ɡ̊_ʊ	0.076
ə	ɛ	0.05
ə_χ	ʊ	1.0
ɦ	h	0.923
ɦ	-	0.076
ɫ	l	0.637
ɫ	l_ʊ	0.086
ɫ	-	0.08
ɫ	l̥	0.06
ɫ	l_a	0.042
ˈa	ˈa	0.419
ˈa	ˈɔ	0.216
ˈa	ˈɛːa̯	0.18
ˈa	ˈɛ	0.101
ˈa	ˈeː	0.042
ˈa_χ	ˈɛːa̯	1.0
ˈi	ˈɔːu̯	0.234
ˈi	ˈʊ̯iː	0.188
ˈi	ˈɛːa̯	0.151
ˈi	ˈʏ	0.087
ˈi	ˈuː	0.087
ˈoːi̯	ˈɛːi̯	1.0
ˈu	ˈɔːu̯	0.628
ˈu	ˈøː	0.229
ˈu	ˈœ	0.099
ˈuː	w	0.484
ˈuːi̯	ˈɪ	0.484
ˈyː	ˈʊ̯iː	1.0
ˈæ	ˈa	0.319
ˈæ	ˈeː	0.319
ˈæː	j	0.234
ˈœ	ˈɪ	0.517
ˈœ	ˈɔ	0.206
ˈœ	ˈʊ	0.114
ˈœi̯	ʊ̯ˈiː	0.234
ˈœu̯	ˈʊ	0.294
ˈœu̯	l̥	0.163
ˈœu̯	ˈa	0.079
ˈœɪ̯	ˈʉːu̯	0.761
ˈœɪ̯	ˈʊ̯iː	0.193
ˈœɪ̯	ˈʊ	0.04
ˈɑː	ˈɔ̯aː	0.289
ˈɑː	ˈɛːa̯	0.23
ˈɑː	-	0.129
ˈɑː	ˈa	0.113
ˈɑː	ˈøː	0.077
ˈɔ	ˈʊ	0.42
ˈɔ	ˈɔ	0.207
ˈɔ	ˈœ	0.141
ˈɔ	ˈɔːu̯	0.069
ˈɔ	ˈuː	0.058
ˈɔː	ˈœ	0.366
ˈɔː	ˈa	0.177
ˈə	ˈɪ	0.496
ˈə	ˈiː	0.186
ˈə	ˈʊ̯iː	0.149
ˈə	ˈɛ	0.074
ˈə	ˈa	0.058
ˈəɪ̯	ˈʊ̯iː	0.537
ˈəɪ̯	ˈaːi̯	0.172
ˈəɪ̯	ˈai̯	0.149
ˈəɪ̯	ˈɪ	0.113
ˈəɪ̯	ˈeː	0.033
ˈɛ	ˈɛ	0.366
ˈɛ	ˈɪ	0.301
ˈɛ	ˈœ	0.144
ˈɛ	ˈeː	0.109
ˈɛ	ˈøː	0.063
ˈɛː	ˈɛːa̯	0.366
ˈɛː	ˈiː	0.177
ˈɪ	ˈʉːu̯	0.484
ˈɪø̯	ˈuː	0.392
ˈɪø̯	ˈøː	0.392
ˈɪø̯	ˈɔ	0.121
ˈɪə̯	ˈɛːi̯	0.176
ˈɪə̯	ˈai̯	0.133
ˈɪə̯	ˈeː_v	0.133
ˈɪə̯	ˈiː	0.133
ˈɪə̯	ˈaːi̯	0.088
ˈʊə̯	ˈɔːi̯	0.295
ˈʊə̯	ˈɛːi̯	0.284
ˈʊə̯	ˈoː	0.109
ˈʊə̯	ˈɔ	0.098
ˈʊə̯	ˈɔ̯aː	0.084
ˈʊə̯_r	ˈɔ	1.0
χ	ɡ̊	0.487
χ	ʤ̊	0.131
χ	v_ʊ	0.089
χ	ʰtː_ʊ	0.089
χ	-	0.068
χ_t	ʰtː	1.0
