Afrikaans	Faroese	probability
b	b̥	0.952
b	b̥_j	0.051
d	d̥	0.537
d	-	0.184
d	tʰ	0.158
d	ʤ̊	0.057
d	ʧʰ	0.043
f	f	0.678
f	-	0.078
f	v	0.078
f	v_ʊ	0.076
f	d̥	0.043
j	ˈɔ̯aː	0.574
j	-	0.277
k	k	0.344
k	kʰ	0.27
k	-	0.105
k	ʧ	0.06
k	ʧʰ	0.06
m	m	0.51
m	m_ʊ	0.259
m	m_a	0.104
m	m_j	0.079
m	w	0.045
n	n	0.602
n	-	0.179
n	nː	0.103
n	n̥	0.068
n	ʤ̊ː	0.039
n_t	nː	1.0
p	p	0.423
p	ʰp	0.296
p	ɹ	0.092
p	v	0.069
p	tː	0.066
r	ɹ	0.768
r	ɹ_a	0.064
r	-	0.059
r	ɹ_ʊ	0.037
r	ʊ_ɹ	0.029
r_s	s	1.0
r_t	ɹ	1.0
s	s	0.777
s	ʃ	0.12
s	sː	0.057
s	-	0.043
t	t	0.331
t	tʰ	0.132
t	-	0.12
t	ʰt	0.097
t	d̥	0.08
v	v	0.628
v	-	0.273
v	ʧʰ	0.051
v	f	0.049
w	v	0.702
w	ˈœ	0.186
w	ʧʰ	0.082
ŋ	ŋ	0.726
ŋ	n̥	0.209
ŋ	ɲ	0.06
ŋ_k	ʰkː	1.0
ə	-	0.365
ə	ɪ	0.223
ə	ʊ	0.117
ə	a	0.1
ə	ɡ̊_ʊ	0.056
ɦ	h	0.957
ɦ	-	0.048
ɫ	l	0.727
ɫ	l_ʊ	0.096
ɫ	l̥	0.077
ɫ	-	0.044
ɫ	ʎ	0.03
ˈa	ˈa	0.39
ˈa	ˈɔ	0.208
ˈa	ˈɛːa̯	0.195
ˈa	ˈɛ	0.101
ˈa	ˈɔ̯aː	0.043
ˈa_χ	ˈɛːa̯	1.0
ˈi	ˈɔːu̯	0.196
ˈi	ˈʊ̯iː	0.171
ˈi	ˈɛːa̯	0.137
ˈi	ˈʊ	0.081
ˈi	ˈa	0.079
ˈoːi̯	ˈɛːi̯	1.0
ˈu	ˈɔːu̯	0.622
ˈu	ˈøː	0.188
ˈu	ˈœ	0.099
ˈuː	w	0.483
ˈuːi̯	ˈɪ	0.483
ˈyː	ˈʊ̯iː	0.644
ˈyː	ʊ	0.236
ˈæ	ˈa	0.574
ˈæ	ˈeː	0.277
ˈæː	ˈœ	1.0
ˈœ	ˈɪ	0.517
ˈœ	ˈɔ	0.297
ˈœ	ˈʊ	0.107
ˈœi̯	ʊ̯ˈiː	1.0
ˈœu̯	ˈʊ	0.25
ˈœu̯	l̥	0.12
ˈœu̯	ˈa	0.12
ˈœɪ̯	ˈʉːu̯	0.653
ˈœɪ̯	ˈʊ	0.173
ˈœɪ̯	ˈʊ̯iː	0.173
ˈɑː	ˈɔ̯aː	0.318
ˈɑː	ˈɛːa̯	0.221
ˈɑː	-	0.139
ˈɑː	ˈa	0.121
ˈɑː	ˈøː	0.106
ˈɔ	ˈʊ	0.42
ˈɔ	ˈɔ	0.182
ˈɔ	ˈœ	0.146
ˈɔ	ˈɔːu̯	0.071
ˈɔ	ˈuː	0.059
ˈɔː	ˈœ	0.366
ˈɔː	ˈa	0.176
ˈə	ˈɪ	0.508
ˈə	ˈiː	0.232
ˈə	ˈʊ̯iː	0.088
ˈə	ˈa	0.074
ˈə	ˈɛ	0.074
ˈəɪ̯	ˈʊ̯iː	0.47
ˈəɪ̯	ˈai̯	0.173
ˈəɪ̯	ˈaːi̯	0.126
ˈəɪ̯	ˈeː	0.099
ˈəɪ̯	ˈɪ	0.099
ˈɛ	ˈɛ	0.33
ˈɛ	ˈɪ	0.256
ˈɛ	ˈœ	0.175
ˈɛ	ˈøː	0.115
ˈɛ	ˈeː	0.084
ˈɛː	ˈiː	0.318
ˈɛː	ˈɛːa̯	0.318
ˈɪ	ˈʉːu̯	0.233
ˈɪø̯	ˈɔ	0.488
ˈɪø̯	ˈuː	0.131
ˈɪø̯	ˈøː	0.131
ˈɪə̯	ˈai̯	0.15
ˈɪə̯	ˈiː	0.15
ˈɪə̯	ˈɛːi̯	0.15
ˈɪə̯	ˈeː	0.11
ˈɪə̯	ˈɛ	0.099
ˈʊə̯	ˈɛːi̯	0.285
ˈʊə̯	ˈɔːi̯	0.272
ˈʊə̯	ˈoː	0.116
ˈʊə̯	ˈɔ	0.089
ˈʊə̯	ˈɔ̯aː	0.088
ˈʊə̯_r	ˈɔ	1.0
χ	ɡ̊	0.434
χ	v_ʊ	0.13
χ	-	0.119
χ	ʰtː_ʊ	0.104
χ	ʤ̊ː	0.06
χ_t	ʰtː	1.0
