North Frisian	Swabian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ʁ	1.0
<#_v	<#_ʋ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ˈɒː	<#_ˈa	1.0
d_ə_r	s_ʌ	1.0
dʲ	-	1.0
f	b	1.0
i	-	1.0
j_ˈa	ˈɛ	1.0
k_#>	ç_#>	1.0
l	l	1.0
l_#>	l_#>	1.0
lʲ	l	1.0
m_#>	m_#>	1.0
m_ə	m_a	1.0
n_#>	n_#>	1.0
n_ə	n_d	1.0
nʲ	n_d	1.0
p_#>	f_#>	1.0
p_ə	f_a	1.0
s_#>	s_#>	1.0
s_t	ʃ_d	1.0
t_#>	ʦ_#>	1.0
tʲ	s	1.0
v_#>	f_#>	1.0
v_ə	b_a	1.0
v_ə_n	f	1.0
w	-	1.0
z	s	1.0
ŋ	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ə_#>	a_#>	1.0
ə_n	a	1.0
ə_v	b	1.0
ʃ_#>	ʃ_#>	1.0
ˈi_l	ˈi_l	1.0
ˈi_n	ˈeː	1.0
ˈi_t	ˈəi̯_s	1.0
ˈiː_#>	ˈae̯_#>	1.0
ˈiː_nʲ_#>	ˈɔe̯_#>	1.0
ˈuː_l	ˈa_l	1.0
ˈyː_dʲ	ˈoː_d	1.0
ˈøː	ˈao̯	1.0
ˈɒ	ˈa	1.0
ˈɒː	ˈa	1.0
ˈɒː_z	ˈaː	1.0
ˈɔ	ˈɔ	1.0
ˈɛ	ˈuə̯	1.0
ˈɛ_tʲ	ˈiə̯_s	1.0
ˈʊ_l	ˈo_l	1.0
n	n	0.471
r_#>	ʕ_#>	0.261
ə	b	0.091
ə	m	0.091
ˈiː	ˈɛ	0.111
ˈœ	ˈuə̯	0.571
<#_s	<#_ʃ	0.452
d_#>	t_#>	0.182
k	x_#>	0.2
k	-	0.2
k	x	0.2
ˈa	ˈɛ	0.222
ˈiː	ˈeː	0.222
ˈiː	ˈiə̯	0.222
ˈyː	-	0.182
<#	<#_ʋ	0.333
<#	<#_ˈa	0.333
t	ʦ	0.273
x_t	ç_d	0.333
ˈa	ˈi	0.333
ˈyː	ˈae̯	0.273
ˈʊ	ˈo	0.583
<#_t	<#_d	0.474
j	-	0.364
k	ɡ	0.4
r	ʕ	0.4
t	-	0.364
t	d	0.364
ˈa	-	0.444
ˈi	ˈəi̯	0.714
ˈɔː	ˈɔ	0.4
ˈɛː	ˈɔː	0.4
#>	ɡ_#>	0.345
d	ɡ	0.25
d	d	0.75
n	-	0.235
v	-	0.25
v	ʋ	0.75
ˈeː	ˈa	0.25
ˈeː	ˈe	0.25
ˈeː	ˈɛ	0.5
ˈuː	ˈoː	0.375
ˈuː	ˈao̯	0.625
ˈyː	ˈao̯	0.545
ˈɛi̯	-	0.5
ˈɛi̯	ˈɛː	0.5
<#_t	<#_ʦ	0.526
j	ɡ	0.636
n	n_d	0.176
r	ʁ	0.6
ˈi	ˈae̯	0.286
ˈɔː	ˈɔː	0.6
ˈɛː	ˈɛ	0.6
#>	d_#>	0.517
<#	<#_d	0.167
<#	<#_j	0.167
x_t	x_d	0.667
ˈiː	ˈiː	0.167
ˈʊ	ˈa	0.417
#>	s_#>	0.138
<#_s	<#_s	0.548
d_#>	d_#>	0.818
n	ˈeə̯	0.118
ə	-	0.818
ˈiː	ˈɔe̯	0.278
r_#>	ʌ_#>	0.739
ˈœ	ˈa	0.429
