Aragonese	Aragonese	probability
θ_#>	#>	1.0
ˈe_ʎ	ɣ	1.0
ˈe_n	n_t	1.0
ˈa_ɾ	ˈa_i	1.0
ʧ	ʤ	1.0
ʝ_ˈe	ˈɛ	1.0
ʝ	-	1.0
ʃ	ʃ	1.0
ɾ_n	r	1.0
ɾ_a	ɾ_a	1.0
ɾ_#>	i_#>	1.0
ɡ	ɡ	1.0
z	z_u	1.0
w_#>	i_#>	1.0
t_e	t_i	1.0
s_#>	z_ŭ_#>	1.0
p_ˈe	p_ˈi	1.0
p_l	p_ɾ	1.0
n_#>	n_i_#>	1.0
m	m	1.0
l_ˈa	ɾ_ˈa	1.0
k_o	u	1.0
j_t	t	1.0
f	f	1.0
b_ˈe	b_ˈi	1.0
b_ɾ	i_n	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
k	k	0.946
b	b	0.931
ˈu	ˈu	0.923
ˈa	ˈa	0.921
p	p	0.92
a	a	0.901
n	n	0.875
d	d	0.846
o	u	0.828
ˈi	ˈi	0.818
s	s	0.814
ɾ	ɾ	0.787
<#_e	<#	0.778
ɾ_o	ɾ_u	0.75
ŋ	ŋ	0.75
t	t	0.706
ɣ	ɣ	0.692
j_ˈe	ˈɛ	0.688
r	a_r	0.667
ð	ð	0.647
θ	ʒ	0.643
#>	i_#>	0.623
β	-	0.6
w_ˈe	ˈo	0.6
u	u	0.6
j	-	0.571
i	-	0.556
<#_a	<#_a	0.556
l	l	0.548
ɲ	n_ʤ	0.5
j_#>	t_i_#>	0.5
j_#>	i_#>	0.5
e	i	0.5
i	i	0.444
β	β	0.4
w_ˈe	ˈɔ	0.4
u	o	0.4
ˈo	ˈɔ	0.393
ð	-	0.353
ɲ	nː	0.333
r	r	0.333
j_ˈe	ˈe	0.312
ɣ	-	0.308
ʎ	ɖː	0.3
ˈe	ˈɛ	0.289
ˈo	ˈu	0.286
w	ˈɔ	0.286
w	-	0.286
ʎ	ɭː	0.25
ʎ	-	0.25
ɾ_o	u	0.25
ŋ	-	0.25
<#_e	<#_i	0.222
<#_a	<#_ˈa	0.222
<#_a	<#	0.222
θ	-	0.214
ˈo	ˈo	0.214
w	ˈu	0.214
w	w	0.214
j	ˈɛ	0.214
j	j	0.214
ʎ	ɣ	0.2
#>	u_#>	0.189
e	-	0.188
ˈe	ˈi	0.178
ˈe	ˈe	0.178
ɲ	ɲ	0.167
d	n	0.154
θ	ʦ	0.143
s	z	0.14
ˈe	i	0.133
l	ɾ	0.129
l	ɖː	0.129
e	e	0.125
t	ð	0.118
t	t_ɛ	0.118
ˈo	-	0.107
a	-	0.099
e	ˈi	0.094
e	a	0.094
ˈi	i	0.091
ˈi	-	0.091
ˈe	ɾ	0.089
ɾ	-	0.085
p	p_ɾ	0.08
o	ɔ	0.08
ˈa	i	0.079
ˈu	-	0.077
n	-	0.075
b	-	0.069
ˈe	ˈa	0.067
ˈe	-	0.067
l	u	0.065
l	i	0.065
l	-	0.065
t	-	0.059
#>	z_ŭ_#>	0.057
#>	n_i_#>	0.057
k	-	0.054
