Dutch	Proto-Germanic	probability
b	b	1.0
f	ɸ	1.0
j	j	1.0
z̥	s	1.0
ɦ	x	1.0
ˈu	ˈɔː	1.0
ˈɑ	ˈɑ	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈʏ	ˈu	1.0
d̥	i_z	0.071
m	m_ɑ	0.191
n	-	0.051
s	s	0.761
ŋ	ŋ	0.391
ə	ɔː	0.061
ɫ	l_ɑ	0.091
ɾ	r_ɑ	0.061
ʋ	w	0.901
ˈœy̯	ˈuː	0.951
ˈɛ	ˈe	0.381
d̥	ɑ_z	0.12
d̥	ð_ɑ̃	0.222
ŋ	ŋ_ɡ	0.492
ə	j_ɑ	0.182
ˈaː	ˈɑ	0.352
ˈi	ˈeu̯	0.592
d̥	θ_ɑ̃	0.093
d̥	θ	0.123
v	ɸ	0.83
ˈɔ	ˈu	0.963
ˈɛ	ˈɑ	0.433
ˈɪ	ˈi	0.913
χ	k	0.163
k	k	0.74
n	n_ɑ̃	0.424
t	t_s	0.084
z	s_w	0.064
ə	ɛː	0.084
ˈeː	ˈɑ	0.054
d̥	θ_ɑ	0.055
d̥	d_ɑ	0.175
m	m_ɔːː	0.145
p	p_ɑ̃	0.275
v̥	β_ɑ	0.845
ɾ	r_ɑ̃	0.075
ˈaː	ˈɑ_x	0.05
ˈaː	ˈɛː	0.435
d	ð	0.166
d	θ	0.446
d̥	d	0.06
k	k_ɑ	0.076
m	m	0.626
n	n	0.346
t	t_ɑ	0.196
t	t	0.586
v̥	β_ɑ̃	0.056
z	s	0.936
ə	-	0.056
ˈaː	ˈe	0.066
ˈeː	ˈɑi̯	0.56
ˈoː	ˈɑu̯	0.386
ˈoː	ˈu	0.566
ˈɛ	ˈi	0.186
ˈɛi̯	ˈi	0.156
χ	ɣ_ɑ	0.106
χ	x	0.156
p	p	0.617
s	s_ɑ̃	0.087
v	β	0.17
ə	ɑ	0.477
ˈaː	ˈɑː	0.097
ˈɪ	ˈe	0.087
χ	ɣ	0.397
d	d	0.388
k	k_u	0.068
p	p_ɑ	0.098
s	s_k	0.128
ɾ	r	0.758
ˈeː	ˈi	0.078
ˈi	ˈe	0.408
v̥	β	0.099
ŋ	z_#>	0.059
ɫ	l	0.859
ʋ	xʷ	0.099
ˈeː	ˈe	0.309
ˈɛi̯	ˈɑi̯	0.19
ˈɛi̯	ˈiː	0.629
χ	ɣ_j	0.169
