Swedish	East Low German	probability
a	n	0.937
a	-	0.055
b	b	1.0
d	d	0.587
d	t	0.36
d	-	0.053
e	ɾ	1.0
f	f	0.982
h	h	0.978
j	-	0.271
j	j	0.165
j	ɡ	0.161
j	ˈɛ	0.136
j	ˈiː	0.12
j	x	0.098
jː	ŋ	1.0
k	k	0.798
k	-	0.153
kʰ	kʰ	0.889
kʰ	-	0.111
kː	k	1.0
l	l	0.933
lː	l	1.0
m	m	0.866
m	f	0.134
mː	m	1.0
n	n	0.912
n	-	0.088
nː	n	0.841
nː	ˈuː	0.149
p	p	1.0
pː	p	1.0
r	æ	0.433
r	r	0.396
r	-	0.13
rː	d	0.671
rː	ç	0.329
s	ʃ	0.344
s	z	0.333
s	s	0.295
sː	s	1.0
t	t	0.94
tʰ	d	0.514
tʰ	tʰ	0.365
tʰ	b	0.121
tː	t	0.682
tː	x	0.191
tː	ç	0.105
v	v	0.481
v	f	0.279
v	m	0.121
v	w	0.117
ŋ	-	0.395
ŋ	ŋ	0.28
ŋ	ç	0.176
ŋ	ɪ	0.108
ŋː	ŋ	1.0
ɔ	ae̯	1.0
ɕ	kʰ	0.799
ɕ	d	0.201
ɖ	t	0.806
ɖ	-	0.194
ɛ	æ	0.723
ɛ	-	0.277
ɡ	ɡ	0.473
ɡ	x	0.167
ɡ	ç	0.155
ɡ	j	0.087
ɡ	ŋ	0.078
ɡː	ç	0.483
ɡː	-	0.258
ɡː	k	0.258
ɧ	ʃ	0.687
ɧ	z	0.313
ɪ	n	0.548
ɪ	-	0.289
ɪ	ɪ	0.163
ɳ	æ	1.0
ɳː	ˈuː	1.0
ɵ	ɪ	0.747
ɵ	-	0.253
ʈː	t	1.0
ʊ	ˈae̯	0.806
ʊ	n	0.194
ˈa	ˈa	0.625
ˈa	ˈaː	0.132
ˈa	ˈɒː	0.13
ˈa	ˈɛː	0.051
ˈeː	ˈae̯	0.664
ˈeː	ˈɛː	0.169
ˈeː	ˈɪ	0.144
ˈiː	ˈiː	0.688
ˈiː	ˈɛː	0.113
ˈiː	-	0.1
ˈiː	ˈɪ	0.099
ˈoː	ˈɒː	0.442
ˈoː	ˈa	0.107
ˈoː	ˈœː	0.107
ˈoː	ˈɔ	0.107
ˈoː	ˈoː	0.085
ˈoː	ˈae̯	0.073
ˈuː	ˈaʊ̯	0.567
ˈuː	ˈuː	0.228
ˈuː	ˈʊ	0.089
ˈuː	æ	0.062
ˈuː	ˈœː	0.054
ˈyː	ˈiː	0.414
ˈyː	ˈyː	0.324
ˈyː	ˈae̯	0.136
ˈyː	ˈaɪ̯	0.126
ˈæ	ˈaː	1.0
ˈæː	ˈiː	1.0
ˈøː	ˈaʊ̯	0.344
ˈøː	ˈɔʏ̯	0.185
ˈøː	ˈoː	0.169
ˈøː	ˈɛ	0.146
ˈøː	ˈœː	0.083
ˈœ	-	0.352
ˈœ	ˈɔʏ̯	0.348
ˈœ	ˈɔ	0.095
ˈœ	ˈaʊ̯	0.087
ˈœ	ˈɪ	0.066
ˈœ	ˈʏ	0.051
ˈœː	ˈyː	0.364
ˈœː	ˈœː	0.364
ˈœː	ˈuː	0.272
ˈɑː	ˈa	0.32
ˈɑː	ˈɒː	0.314
ˈɑː	ˈɪ	0.134
ˈɑː	ˈoː	0.121
ˈɑː	ˈaː	0.094
ˈɔ	ˈuː	0.435
ˈɔ	ˈɒː	0.13
ˈɔ	ˈɔʏ̯	0.105
ˈɔ	ˈa	0.079
ˈɔ	ˈʊ	0.079
ˈɔ	ˈɔ	0.071
ˈɔ	ˈɪ	0.068
ˈɛ	ˈɛ	0.189
ˈɛ	ˈɪ	0.139
ˈɛ	ˈae̯	0.123
ˈɛ	ˈa	0.122
ˈɛ	-	0.104
ˈɛ	ˈiː	0.099
ˈɛ	ˈaː	0.072
ˈɛ	ˈʏ	0.07
ˈɛː	ˈɛː	0.394
ˈɛː	ɾ	0.21
ˈɛː	ˈaʊ̯	0.19
ˈɛː	ˈaː	0.081
ˈɛː	ˈɛ	0.077
ˈɪ	ˈɪ	0.77
ˈɪ	r	0.133
ˈɪ	w	0.096
ˈɵ	ˈʊ	0.311
ˈɵ	ˈʏ	0.191
ˈɵ	v_ˈʊ	0.143
ˈɵ	ˈøː	0.078
ˈɵ	ˈɪ	0.078
ˈɵ	ˈœː	0.071
ˈɵ	ˈuː	0.062
ˈɵ	ˈɒː	0.051
ˈʉː	ˈae̯	0.32
ˈʉː	ˈuː	0.316
ˈʉː	-	0.169
ˈʊ	ˈʊ	0.617
ˈʊ	ˈaʊ̯	0.275
ˈʊ	ˈoː	0.108
ˈʏ	ˈʏ	0.556
ˈʏ	ˈiː	0.25
ˈʏ	ˈyː	0.194
