Ladin	Ladin	probability
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_l	ˈɛ_lː	1.0
ˈɛ_k	k_u	1.0
ˈɛ_f	v_u	1.0
ˈɔ_n	ˈɔ_n	1.0
ˈu	ˈu	1.0
ˈi_o	bː	1.0
ˈi_#>	e_#>	1.0
ˈi	ˈi	1.0
ˈe_j	ˈɛ	1.0
ˈe_#>	ˈa_#>	1.0
ʨ_ˈɛ	k_ˈa	1.0
ʥ	-	1.0
ʤ	ɟ	1.0
ɲ	ɲ	1.0
ɡ_l	ɟ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ʃ	ʧ	1.0
w_r	r_e	1.0
u	-	1.0
s_#>	j_#>	1.0
r_#>	r_u_#>	1.0
p_l	p_j	1.0
p	p	1.0
o_r	ˈɔ_r	1.0
o_l	u_l	1.0
o	u	1.0
n_#>	n_u_#>	1.0
n	n	1.0
l_#>	lː_u_#>	1.0
k_r	k_r	1.0
k_l	c	1.0
j_ˈɛ	ˈe	1.0
j_t	dː	1.0
j_#>	r_e_#>	1.0
e_r	r_u	1.0
e_#>	e_#>	1.0
b	b	1.0
a_v	a_p	1.0
a_r	a_r	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_v	1.0
m	m	0.969
ˈa	ˈa	0.95
f	f	0.917
v	v	0.909
r	r	0.868
k	k	0.783
s	s	0.781
ˈɔ	ˈɔ	0.737
i	i	0.714
t	t	0.684
ʧ	ʧ	0.667
ʨ	k	0.652
ˈe	ˈɛ	0.6
ʒ	ɟ	0.6
ˈo	ˈɔ	0.571
#>	u_#>	0.541
ɡ	ɡ	0.5
w_ˈɛ	ˈɔ	0.5
w_ˈɛ	ˈo	0.5
ʃ	s	0.471
w	ˈɔ	0.471
d	t	0.444
e	i	0.4
ˈɛ	ˈe	0.382
#>	e_#>	0.378
l	l	0.375
ʧ	-	0.333
d	d	0.333
ˈo	ˈo	0.321
t	tː	0.316
ɡ	k	0.3
e	e	0.3
i	-	0.286
ʒ	-	0.267
j	-	0.267
ˈɔ	ˈo	0.263
ʦ	ʧ	0.25
ʦ	ʦː	0.25
ʦ	ʦ	0.25
ʦ	-	0.25
l	lː	0.25
ˈɛ	ˈɛ	0.235
ˈɛ	ˈa	0.235
ʃ	ʧ	0.235
w	l	0.235
d	c	0.222
l	j	0.208
ɡ	-	0.2
j	ˈe	0.2
j	ʎ	0.2
j	j	0.2
e	u	0.2
ʃ	ʃ	0.176
w	ˈo	0.176
l	u	0.167
ˈe	ˈe	0.16
s	sː	0.156
ʒ	ʒ	0.133
j	i	0.133
ʨ	ʧ	0.13
ʨ	kː	0.13
k	ɡ	0.13
ˈe	ˈa	0.12
ˈe	-	0.12
ʃ	ʃː	0.118
w	p	0.118
ˈo	ˈu	0.107
e	-	0.1
v	-	0.091
ˈɛ	u	0.088
ʨ	-	0.087
k	k_u	0.087
f	v_e	0.083
r	e	0.079
s	z	0.062
#>	a_#>	0.061
ˈɛ	ˈa_t	0.059
r	rː	0.053
