English	Icelandic	probability
b	b̥	1.0
d	d̥	0.465
d	ð	0.397
d	-	0.107
f	f	0.841
f	v	0.08
h	h	0.844
h	ç	0.133
j	ɡ̊	0.427
j	-	0.177
j	ˈɑːu̯	0.176
j	ˈiː	0.111
j	ˈaː	0.11
k	k	0.492
k	ʰk	0.229
k	c	0.208
k	-	0.072
kʰ	kʰ	0.638
kʰ	cʰ	0.362
l	l	0.828
l	t_l̥	0.079
l	l̥	0.054
m	m	0.835
m	r_m	0.089
m	p	0.054
n	n	0.557
n	-	0.146
n	nː	0.116
n	t_n̥	0.078
n	n̥	0.069
p	p	0.768
p	ʰp	0.118
p	v	0.113
pʰ	pʰ	1.0
s	s	0.977
t	t	0.639
t	ʰt	0.192
t	ˈɛ_ʰt	0.069
tʰ	tʰ	1.0
v	v	0.625
v	m	0.234
v	p	0.073
w	v	0.639
w	-	0.172
w	kʰ_v	0.114
z	s	0.878
z	v	0.122
ð	ð	0.819
ð	nː	0.111
ð	θ	0.071
ŋ	ŋ	0.863
ŋ	ɲ	0.137
ə	ʏ	0.267
ə	ɪ	0.231
ə	r̥	0.226
ə	r	0.11
ə	r_ɪ	0.061
ə	a_r̥	0.056
əʊ̯	ʏ	0.723
əʊ̯	a	0.181
əʊ̯	-	0.097
ɜː	ˈɛ	1.0
ɡ	ɡ̊	0.77
ɡ	ɟ̊	0.155
ɡ	ɡ̊ː	0.075
ɪ	i	0.252
ɪ	r̥	0.239
ɪ	u	0.131
ɪ	ɛː	0.131
ɪ	ɪ	0.095
ɪ	ʏ	0.09
ɫ	l	0.51
ɫ	l̥	0.319
ɫ	t_l̥	0.171
ɹ	r	0.8
ɹ	-	0.089
ɹ	r̥	0.086
ʃ	s	0.551
ʃ	k	0.449
ʤ	ɡ̊ː	0.789
ʤ	ɟ̊ː	0.211
ʧ	cʰ	0.62
ʧ	k	0.211
ʧ	c	0.128
ˈaɪ̯	ˈiː	0.375
ˈaɪ̯	j	0.21
ˈaɪ̯	ˈɪ	0.191
ˈaɪ̯	ˈʏː	0.069
ˈaʊ̯	ˈuː	0.53
ˈaʊ̯	ˈʏ	0.216
ˈaʊ̯	ˈiː	0.168
ˈaʊ̯	ˈoːu̯	0.086
ˈe	ˈɛ	0.222
ˈe	ˈœːy̯	0.15
ˈe	ˈai̯	0.109
ˈe	ˈɛː	0.071
ˈe	ˈʏː	0.069
ˈe	ˈœː	0.063
ˈe	ˈaːi̯	0.061
ˈe	u	0.059
ˈeɪ̯	ˈaː	0.465
ˈeɪ̯	ˈɛ	0.108
ˈeɪ̯	ˈa	0.106
ˈeɪ̯	ˈœ	0.084
ˈeɪ̯	ˈaːu̯	0.083
ˈeɪ̯	ˈɛːi̯	0.083
ˈiː	j_ˈɛː	0.13
ˈiː	ˈœːy̯	0.12
ˈiː	j	0.102
ˈiː	ˈaːi̯	0.094
ˈiː	ˈɑːu̯	0.079
ˈiː	ˈai̯	0.072
ˈiː	ˈa	0.053
ˈiː	ˈiː	0.051
ˈiː	aːu̯	0.051
ˈuː	ˈoːu̯	0.329
ˈuː	ˈɑːu̯	0.163
ˈuː	-	0.105
ˈuː	u	0.093
ˈuː	ˈœ	0.074
ˈuː	ˈɛː	0.054
ˈuː	ˈʏ	0.053
ˈuː	ˈaːi̯	0.05
ˈæ	ˈa	0.644
ˈæ	ˈœ	0.195
ˈæ	ˈaː	0.086
ˈæ	ˈɛ	0.075
ˈɐ	ˈu	0.22
ˈɐ	ˈʏ	0.16
ˈɐ	ˈɔː	0.128
ˈɐ	ˈuː	0.122
ˈɐ	ˈaːu̯	0.085
ˈɐ	ˈɔ	0.075
ˈɐ	ˈoːu̯	0.057
ˈɐ	ˈʏː	0.051
ˈɑː	ˈa	0.489
ˈɑː	ˈaː	0.222
ˈɑː	ˈau̯	0.126
ˈɑː	ˈaːi̯	0.081
ˈɑː	ˈɑu̯	0.081
ˈɒ	ˈɑu̯	0.307
ˈɒ	ˈuː	0.175
ˈɒ	ˈɛːi̯	0.175
ˈɒ	ˈʏː	0.117
ˈɒ	ˈaː	0.107
ˈɒ	ˈɪ	0.072
ˈɔː	ˈɔ	0.459
ˈɔː	ˈa	0.224
ˈɔː	ˈɪ	0.148
ˈɔː	ˈɛ	0.074
ˈɔː	ˈɪː	0.05
ˈəʊ̯	ˈɛːi̯	0.325
ˈəʊ̯	ˈɛi̯	0.182
ˈəʊ̯	ˈeːi̯	0.062
ˈəʊ̯	ˈɑːu̯	0.062
ˈəʊ̯	ˈaːu̯	0.059
ˈɛ	ˈɛː	0.584
ˈɛ	ˈau̯	0.253
ˈɛ	ˈœ	0.133
ˈɜː	ˈɪ	0.602
ˈɜː	ˈɔ	0.288
ˈɜː	ˈœ	0.11
ˈɪ	ˈi	0.223
ˈɪ	ˈɪ	0.159
ˈɪ	ˈiː	0.12
ˈɪ	ˈɪː	0.078
ˈɪ	ˈɛː	0.064
ˈɪ	j	0.056
ˈɪ	ˈʏ	0.056
ˈʊ	ˈoːu̯	0.622
ˈʊ	ˈʏ	0.215
ˈʊ	ˈu	0.163
θ	θ	0.664
θ	ð	0.129
θ	nː	0.11
