Old Norse	Ripuarian	probability
a	ə	0.906
a	ˈaʊ̯	0.094
b	b	0.981
c	ʃ	0.502
c	k	0.327
c	n_ʃ	0.171
cʰ	k	1.0
cː	k	1.0
d	d	0.536
d	k	0.185
d	t	0.149
d	-	0.11
f	f	1.0
h	h	0.963
i	ɐ	0.571
i	-	0.423
j	-	0.532
j	ˈeː	0.448
k	ɕ	0.495
k	x	0.254
k	k	0.112
k	-	0.108
kʰ	k	0.929
kʰ	f	0.071
kː	k	0.59
kː	ŋ_k	0.41
l	l	0.884
l	ə_l	0.094
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	n	0.5
mː	m	0.5
n	n	0.615
n	ŋ	0.273
n	-	0.094
nː	n	0.717
nː	ŋ	0.233
p	f	0.657
p	p	0.343
pː	p	1.0
r	ɐ	0.632
r	-	0.2
r	ʀ	0.168
rː	ɐ	0.743
rː	ɕ	0.257
r̥	ʀ	1.0
s	z	0.427
s	ʃ	0.256
s	-	0.162
s	s	0.142
sː	s	1.0
t	s	0.684
t	t	0.22
t	ʦ	0.095
tʰ	ʦ	0.965
tː	ɕ	0.653
tː	x	0.278
tː	ʦ	0.068
u	ɪ	0.41
u	ŋ	0.23
u	-	0.138
u	n	0.118
u	ə	0.104
v	ʋ	0.386
v	v	0.339
v	f	0.17
w	-	1.0
x	v	1.0
ç	h	1.0
ð	t	0.447
ð	d	0.302
ð	k	0.129
ð	-	0.121
ŋ	ŋ	0.902
ɑ	ə	0.963
ɑː	e	1.0
ɟ	j	0.504
ɟ	ɣ	0.414
ɟ	-	0.082
ɟː	k	1.0
ɡ	j	0.386
ɡ	k	0.332
ɡ	-	0.23
ɡː	-	0.628
ɡː	k	0.372
ɣ	ɕ	0.517
ɣ	-	0.31
ɣ	k	0.102
ɣ	x	0.071
ɾ	ɐ	1.0
ʝː	ɣ	1.0
ʦ	t	1.0
ˈa	ˈa	1.0
ˈe	ˈɛː	0.329
ˈe	ˈɛ	0.283
ˈe	ˈaː	0.218
ˈe	ˈe	0.079
ˈeː	ˈeː	0.586
ˈeː	ˈiː	0.223
ˈeː	ˈɛː	0.097
ˈeː	ˈyː	0.079
ˈi	ˈɪ	0.357
ˈi	ˈe	0.325
ˈi	ˈɛ	0.131
ˈi	ˈa	0.082
ˈi	ˈœ	0.08
ˈiː	ˈiː	0.418
ˈiː	ˈɪ	0.122
ˈiː	ˈeɪ̯	0.112
ˈiː	ˈɛ	0.107
ˈiː	ˈʏ	0.102
ˈiː	ˈe	0.088
ˈiː	ˈeː	0.051
ˈo	ˈoː	0.338
ˈo	ˈɔ	0.295
ˈo	ˈʏ	0.17
ˈo	ˈʊ	0.132
ˈoː	ˈoː	0.299
ˈoː	-	0.236
ˈoː	ˈiː	0.216
ˈoː	ʀ	0.151
ˈoː	ˈe	0.054
ˈu	ˈo	0.39
ˈu	ˈœ	0.136
ˈu	ˈyː	0.087
ˈu	ˈɔ	0.086
ˈu	ˈʊ	0.08
ˈu	ˈu	0.061
ˈu	ʋ_ˈɔ	0.052
ˈu	ˈuː	0.051
ˈuː	ˈuː	0.423
ˈuː	-	0.356
ˈuː	ˈaʊ̯	0.074
ˈuː	ˈoː	0.064
ˈuː	j	0.059
ˈy	ˈœ	0.216
ˈy	ˈoː	0.203
ˈy	ˈɪ	0.188
ˈy	ˈyː	0.12
ˈy	ˈe	0.09
ˈy	ˈɔ	0.09
ˈyː	ˈiː	0.34
ˈyː	ˈoː	0.246
ˈyː	ˈyː	0.114
ˈyː	ˈɔʏ̯	0.108
ˈyː	ˈøː	0.073
ˈyː	ˈaʊ̯	0.07
ˈyː	ˈʏ	0.051
ˈøy̯	ˈyː	0.355
ˈøy̯	ˈuː	0.256
ˈøy̯	ˈoʊ̯	0.207
ˈøy̯	ˈøː	0.182
ˈøː	ˈøː	0.686
ˈøː	ˈoː	0.248
ˈøː	ˈʏ	0.067
ˈɑ	ˈa	0.395
ˈɑ	ˈɛː	0.257
ˈɑ	ˈɛ	0.139
ˈɑ	ˈaː	0.129
ˈɑ	ˈoː	0.055
ˈɑu̯	ˈaʊ̯	0.41
ˈɑu̯	ˈuː	0.357
ˈɑu̯	ˈoː	0.137
ˈɑu̯	ˈɪ	0.097
ˈɑː	ˈoː	0.448
ˈɑː	ˈɔ	0.119
ˈɑː	ˈuː	0.105
ˈɑː	ˈo	0.07
ˈɑː	ˈiː	0.065
ˈɑː	ˈaː	0.06
ˈɑː	-	0.055
ˈɑː	ˈa	0.05
ˈɒu̯	ˈo	0.792
ˈɒu̯	ˈuː	0.208
ˈɔ	ˈɛː	0.605
ˈɔ	ˈa	0.183
ˈɔ	ˈɛ	0.07
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.301
ˈɛ	ˈœ	0.258
ˈɛ	ˈeɪ̯	0.199
ˈɛ	ˈa	0.118
ˈɛ	ˈyː	0.06
ˈɛi̯	ˈeː	0.933
ˈɛi̯	ˈɛ	0.067
ˈɛː	-	0.382
ˈɛː	ˈiː	0.382
ˈɛː	ˈeː	0.12
ˈɛː	ˈaː	0.116
θ	d	1.0
