Ukrainian	Standard Serbian	probability
ʧʲ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʒʲ	ʒ	1.0
ʒ	ʒ	1.0
ʍ	-	1.0
ʋʲ	ʋ	1.0
ʊ_x	uː	1.0
ʊ	uː_̌	1.0
ʃʲ	ʃ	1.0
ɫ_e	o	1.0
ɪ_ˈ	i	1.0
ɦʲ	ɡ	1.0
ɦ_ɔ	ɡ	1.0
ɔ_ɫ	l	1.0
ɔ_tʲ	a_t	1.0
ɔ_r	r	1.0
zʲ	z	1.0
z	z	1.0
w_u	u	1.0
w	ʋ	1.0
tʲ	t	1.0
t	t	1.0
sʲ	s	1.0
rʲ	r	1.0
r_e	a_r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
j_ɑ	eː	1.0
j_ɐ	eː	1.0
i_ˈ	e	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a	a	1.0
e	-	0.952
k	k	0.92
s	s	0.913
x	x	0.853
ɦ	ɡ	0.848
ˈ	̂	0.809
ɫ	l	0.807
ɑ	a	0.725
nʲ	n	0.712
u	uː	0.705
ʋ	ʋ	0.675
r	r	0.627
lʲ	l	0.584
ɛ_ˈ	a	0.562
ʧ	ʨ	0.557
ɛ	e	0.474
ʧ	ʧ	0.443
ɛ_ˈ	̂	0.438
lʲ	ʎ	0.416
ɛ	r̩	0.394
ɐ	a	0.393
ɔ	o	0.384
r	-	0.373
ɪ	i	0.369
ɐ	eː	0.345
ɪ	-	0.344
ʋ	-	0.325
i	eː	0.303
u	u	0.295
i	e	0.295
nʲ	ɲ	0.288
ɪ	iː	0.286
ɐ	e_̌	0.262
ɔ	a	0.205
i	oː	0.197
ɦ	-	0.152
x	-	0.147
ɛ	a	0.132
ɑ	aː	0.132
ˈ	-	0.127
i	o	0.12
ɫ	-	0.108
ɔ	uː	0.089
s	s_a	0.087
ɫ	o	0.085
i	a	0.085
ɔ	aː	0.074
ɑ	eː	0.071
ɑ	-	0.071
ˈ	̌	0.064
ɔ	oː	0.063
k	-	0.06
