Hessian	Middle High German	probability
ˈɛ̃ː	ˈɑː_n	1.0
ˈɛː	ˈɛ	1.0
ˈɛ_v	ˈɛ_b	1.0
ˈɛ	ˈɛ	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑː_d̥	ˈɑ_d̥	1.0
ˈæː_ɐ	r	1.0
ˈæː	ˈɛ	1.0
ˈæ	ˈɛ	1.0
ˈuː	ˈuə̯	1.0
ˈõː	ˈu	1.0
ˈoi̯	ˈyː	1.0
ˈoĩ̯	ˈyː_n	1.0
ˈĩː	ˈyə̯_n	1.0
ˈẽː	ˈøː_n	1.0
ˈãː	-	1.0
ˈau̯	ˈuː	1.0
ˈa	ˈɑ	1.0
ʒ̊_p	p	1.0
ʀ	r	1.0
ɛː	ɛ_h	1.0
ɑ	oː	1.0
ɐ_n	r_n	1.0
z̥	s̻ː	1.0
v̥	f	1.0
t_ʀ	d_r	1.0
t	t	1.0
pʰ	p͡f	1.0
p	b	1.0
oː	ˈoː	1.0
l_d̥	l_d̥	1.0
k_ʀ	ɡ_r	1.0
h	h	1.0
d̥_ˈi	d_ˈi	1.0
l	l	0.97
ɐ	r	0.944
ˈɑ	ˈɑ	0.917
kʰ	kʰ	0.898
ə	ə_n	0.891
m	m	0.876
ˈai̯	ˈiː	0.818
ʦ	ʦ	0.81
s	s	0.8
ˈu	ˈu	0.799
æ̆	ə_r	0.779
ˈe	ˈe	0.769
i	-	0.75
b̥	b	0.746
n	n	0.738
f	v	0.736
v	w	0.735
ˈi	ˈi	0.725
ɡ̊	ɡ	0.656
ˈiː	ˈiə̯	0.649
j	ɡ	0.635
ˈɔ	ˈo	0.625
x	x	0.584
ŋ	ŋ	0.574
ˈo	ˈo	0.567
d̥	t	0.559
ʒ̊	-	0.512
ʒ̊	ɡ	0.488
ˈeː	-	0.485
ˈɑː	ˈɑ	0.465
k	kː	0.462
ˈaː	ˈou̯	0.444
ˈo	-	0.433
ŋ	ŋ_ɡ	0.426
ˈaː	ˈei̯	0.394
ˈeː	ˈeː	0.386
ˈɔ	ˈu	0.375
ɣ̊	ɡ	0.37
ɣ̊	xː	0.37
ʃ	ʃ	0.366
ˈoː	ˈoː	0.365
j	j	0.365
ˈoː	ˈo	0.358
k	kʰ	0.301
d̥	d	0.297
ˈoː	ˈɑː	0.278
ɣ̊	ɡ_ə	0.26
ɡ̊	kː	0.255
b̥	b̥	0.254
i	i	0.25
x	-	0.247
ʃ	ɡ̊	0.244
k	x	0.237
ˈi	ˈy	0.236
ˈiː	ˈi	0.234
ˈe	ˈɛ	0.231
ʃ	x	0.231
v	b	0.231
æ̆	r	0.221
ˈɑː	ˈɑː	0.208
ˈu	ˈuə̯	0.201
f	f	0.198
ʦ	ʦː	0.19
ˈɑː	ˈɑ_r	0.187
ˈai̯	ˈei̯	0.182
x	xː	0.169
s	s̻	0.163
ˈɑː	ˈɑː_r	0.141
d̥	d̥	0.13
ˈeː	ˈæː	0.129
ˈiː	ˈyə̯	0.118
ˈaː	ˈɑ	0.112
ə	ə	0.109
ʃ	ʃː	0.107
kʰ	h	0.102
n	nː	0.101
n	n_d	0.099
ɡ̊	k	0.09
m	-	0.085
ˈɑ	ˈɑ_r	0.083
n	n_t	0.063
ɐ	rː	0.056
ʃ	-	0.052
