Westphalian	Danish	probability
aɪ̯	-	1.0
b	b̥	0.892
b	-	0.067
d	ð̞ˠ	0.392
d	ʦʰ	0.238
d	d̥	0.22
d	-	0.1
f	f	0.855
f	kʰ	0.08
h	h	0.927
h	j	0.073
j	-	1.0
k	k	0.4
k	kʰ	0.316
k	-	0.197
k	ɡ̊	0.078
l	l	0.764
l	lˀ	0.22
m	m	0.763
m	-	0.113
m	mˀ	0.107
n	n	0.536
n	ə	0.3
n	nˀ	0.108
p	b̥	0.692
p	p	0.16
p	-	0.094
p	ð̞ˠ	0.055
r	ʁ	0.897
s	s	0.984
t	ð̞ˠ	0.624
t	t	0.184
t	ʦʰ	0.158
v	w	0.529
v	mˀ	0.211
v	ʋ	0.155
v	-	0.106
w	ʋ	0.824
w	-	0.103
w	ˈo	0.073
x	ɡ̊	0.844
x	t	0.067
z	s	1.0
ç	j	0.223
ç	s	0.223
ç	ɡ̊	0.223
ç	t	0.137
ç	ŋ	0.137
ç	-	0.058
ŋ	ŋˀ	0.362
ŋ	ŋ	0.331
ŋ	-	0.179
ŋ	w	0.066
ŋ	jˀ	0.062
ɐ	ɐ	0.857
ə	ə	0.77
ə	-	0.088
ə	j	0.064
ə	wˀ	0.05
ɡ	-	0.776
ɡ	ɡ̊	0.141
ɡ	jˀ	0.083
ɣ	-	0.559
ɣ	j	0.441
ɪ	i	0.484
ɪ	-	0.258
ɪ	e	0.258
ʃ	s	0.976
ˈa	ˈa	0.314
ˈa	ˈɑ	0.284
ˈa	ˈɛ	0.156
ˈa	ˈʌ	0.103
ˈa	ˈeː	0.053
ˈaɪ̯	ˈyː	0.312
ˈaɪ̯	ˈeˀ	0.238
ˈaɪ̯	ˈyˀ	0.118
ˈaɪ̯	ˈeː	0.094
ˈaɪ̯	ˈiˀ	0.094
ˈaɪ̯	ˈuː	0.064
ˈaɪ̯	ˈœ	0.058
ˈaʊ̯	ˈœˀ	0.492
ˈaʊ̯	ˈɔˀ	0.101
ˈaʊ̯	ˈʌˀ	0.098
ˈaʊ̯	ˈʌ	0.083
ˈaʊ̯	ˈeˀ	0.072
ˈaʊ̯	ˈøː	0.067
ˈaː	ˈa	0.592
ˈaː	ˈɑ	0.12
ˈaː	ˈɑː	0.12
ˈaː	ˈɑˀ	0.111
ˈaː	ˈaː	0.058
ˈeː	ˈeˀ	0.765
ˈeː	ˈɔˀ	0.127
ˈeː	ˈoˀ	0.054
ˈeː	ˈiː	0.054
ˈiə̯	ˈiː	1.0
ˈiɛ̯	ˈi	0.351
ˈiɛ̯	ˈuː	0.254
ˈiɛ̯	ˈɑ	0.254
ˈiɛ̯	ˈʌ	0.141
ˈiː	ˈiˀ	0.362
ˈiː	ˈiː	0.195
ˈiː	ˈyˀ	0.13
ˈiː	ˈi	0.095
ˈiː	ˈɛˀ	0.085
ˈiː	ˈɛ	0.082
ˈiː	ˈɑ	0.052
ˈoː	ˈoˀ	0.472
ˈoː	ˈʌ	0.286
ˈoː	ˈo	0.136
ˈoː	ˈɔˀ	0.067
ˈuə̯	ˈʌ	0.739
ˈuə̯	ˈoˀ	0.173
ˈuə̯	ˈuˀ	0.088
ˈuː	ˈuˀ	0.528
ˈuː	ˈuː	0.184
ˈuː	ˈʌ	0.116
ˈuː	ˈu	0.096
ˈuː	ˈɔ	0.076
ˈuːə̯	ˈœ	0.468
ˈuːə̯	ɐˀ	0.167
ˈuːə̯	ˈɔˀ	0.166
ˈuːə̯	ˈɒ	0.141
ˈuːə̯	ˈu	0.058
ˈyə̯	ˈu	1.0
ˈyː	ˈɛˀ	0.373
ˈyː	ˈy	0.284
ˈyː	ɐ	0.243
ˈyː	ˈi	0.101
ˈyːœ̯	ˈoː	1.0
ˈø	ˈɑ	0.842
ˈø	ˈɛ	0.158
ˈøː	ˈœˀ	0.461
ˈøː	ˈøː	0.427
ˈøː	ˈoˀ	0.086
ˈœː	ˈøː	0.684
ˈœː	ɐˀ	0.316
ˈɒː	ˈɑː	1.0
ˈɔ	ˈɛ	0.601
ˈɔ	ˈoː	0.2
ˈɔ	ˈʌ	0.2
ˈɔː	ˈɔː	0.427
ˈɔː	ˈɔˀ	0.205
ˈɔː	ˈɒˀ	0.143
ˈɔː	ˈa	0.085
ˈɔː	ɐˀ	0.052
ˈɛ	ˈe	0.177
ˈɛ	ˈɛ	0.139
ˈɛ	ˈa	0.131
ˈɛ	ˈœ	0.109
ˈɛ	ˈœː	0.106
ˈɛ	ˈiː	0.073
ˈɛ	ˈyˀ	0.073
ˈɛ	ˈɑˀ	0.073
ˈɛ	ˈeˀ	0.065
ˈɛ	ˈɛː	0.053
ˈɛː	ˈæ	0.365
ˈɛː	j	0.344
ˈɛː	ˈa	0.29
ˈɪ	ˈe	0.554
ˈɪ	ˈiˀ	0.149
ˈɪ	ˈø	0.088
ˈɪ	ˈyː	0.063
ˈɪ	ˈɛ	0.052
ˈɪə̯	ˈiˀ	0.497
ˈɪə̯	ˈɛː	0.328
ˈɪə̯	ˈyˀ	0.175
ˈɪɛ̯	ˈe	0.253
ˈɪɛ̯	ˈi	0.161
ˈɪɛ̯	ˈuˀ	0.161
ˈɪɛ̯	ˈɑ	0.157
ˈɪɛ̯	j	0.147
ˈɪɛ̯	ˈɛː	0.106
ˈʊ	ˈɔ	0.612
ˈʊ	ˈu	0.288
ˈʊ	ˈuˀ	0.1
ˈʏ	ˈœ	0.897
ˈʏ	ˈu	0.103
