Westphalian	Danish	probability
b	b̥	0.89
b	-	0.103
d	-	0.285
d	d̥	0.283
d	ʦʰ	0.189
d	ð̞ˠ	0.188
d	ʨ	0.038
d_ɐ	ɐ	1.0
f	f	0.754
f	-	0.091
f	v	0.057
f	mˀ	0.047
f	ʋ	0.039
h	h	1.0
j	-	1.0
k	k	0.427
k	kʰ	0.294
k	-	0.245
k	h	0.027
l	l	0.656
l	lˀ	0.223
l	l_ə	0.057
l	nˀ	0.033
l	-	0.03
m	m	0.772
m	-	0.113
m	mˀ	0.104
n	n	0.535
n	-	0.241
n	ə	0.183
n	nˀ	0.038
n_d	nˀ	1.0
p	b̥	0.583
p	-	0.229
p	p	0.086
p	ð̞ˠ	0.035
r	ʁ	0.944
r	ˈœˀ	0.055
s	s	0.959
s	-	0.043
t	ð̞ˠ	0.474
t	t	0.23
t	ʦʰ	0.201
t	-	0.062
t	nˀ	0.029
v	-	0.488
v	ʋ	0.322
v	v	0.099
v_n	w	1.0
w	ʋ	0.526
w	ˈo	0.184
w	-	0.18
w	ˈyː	0.072
x	ɡ̊	0.624
x	j	0.154
x	t	0.088
x	-	0.068
x	w	0.049
x_t	t	1.0
z	s	1.0
ç	-	0.527
ç	t	0.148
ç	j	0.101
ç	ŋ	0.098
ç	s	0.065
ŋ	ŋˀ	0.381
ŋ	ŋ	0.283
ŋ	-	0.135
ŋ	w	0.102
ŋ	jˀ	0.074
ɐ	ɐ	0.614
ɐ	-	0.216
ɐ	ə	0.091
ɐ	lˀ	0.045
ɐ	ɐˀ	0.037
ə	ə	0.53
ə	-	0.28
ə	j	0.078
ə	wˀ	0.061
ə	ɐ	0.046
ɡ	-	0.699
ɡ	jˀ	0.297
ɣ	-	0.392
ɣ	ɡ̊	0.392
ɣ	j	0.111
ɪ	-	0.392
ɪ	i	0.209
ɪ	e	0.209
ʃ	s	0.939
ʃ	f	0.061
ˈa	ˈa	0.284
ˈa	ˈɛ	0.226
ˈa	ˈɑ	0.16
ˈa	ˈʌ	0.059
ˈa	ˈoː	0.052
ˈaɪ̯	ˈyː	0.277
ˈaɪ̯	ˈeˀ	0.131
ˈaɪ̯	ˈiˀ	0.118
ˈaɪ̯	ˈuː	0.118
ˈaɪ̯	ˈeː	0.075
ˈaʊ̯	ˈœˀ	0.288
ˈaʊ̯	ˈʌˀ	0.266
ˈaʊ̯	ˈøː	0.133
ˈaʊ̯	ˈɔˀ	0.093
ˈaʊ̯	ˈoˀ	0.088
ˈaː	ˈa	0.381
ˈaː	ˈɑː	0.219
ˈaː	ˈɑ	0.219
ˈaː	ˈɑˀ	0.134
ˈeː	ˈeˀ	0.695
ˈeː	ˈiː	0.152
ˈeː	ˈoˀ	0.152
ˈiə̯	ˈiː	0.1
ˈiɛ̯	ˈʌ	0.215
ˈiː	ˈiˀ	0.343
ˈiː	ˈiː	0.24
ˈiː	ˈyˀ	0.097
ˈiː	ˈɛˀ	0.087
ˈiː	ˈɑ	0.087
ˈoː	ˈoˀ	0.574
ˈoː	ˈoː	0.152
ˈoː	ˈʌ	0.152
ˈoː	ˈo	0.069
ˈoː	ˈɔˀ	0.031
ˈuə̯	ˈoˀ	0.351
ˈuə̯	ˈuˀ	0.163
ˈuː	ˈuˀ	0.433
ˈuː	ˈɔ	0.17
ˈuː	ˈuː	0.17
ˈuː	ˈʌ	0.104
ˈuː	ˈu	0.069
ˈuːə̯	ˈœ	0.416
ˈuːə̯	ɐˀ	0.239
ˈuːə̯	ˈɔˀ	0.146
ˈuːə̯	ˈu	0.089
ˈyə̯	ˈu	0.463
ˈyː	ˈi	0.214
ˈyː	ɐ	0.214
ˈyː	ˈyˀ	0.123
ˈyː	ˈy	0.061
ˈyːœ̯	ˈoː	0.215
ˈø	ˈɑ	0.463
ˈøː	ˈœˀ	0.74
ˈøː	ˈœ	0.12
ˈœː	ɐˀ	0.574
ˈœː	ˈøː	0.266
ˈɒː	ˈɑː	0.463
ˈɔ	ˈɛ	0.594
ˈɔ	ˈʌ	0.226
ˈɔ	ˈoː	0.037
ˈɔː	ˈɔˀ	0.349
ˈɔː	ˈɒˀ	0.171
ˈɔː	ˈɔː	0.113
ˈɔː	ˈɒː	0.083
ˈɔː	ɐˀ	0.079
ˈɛ	ˈa	0.24
ˈɛ	ˈɛ	0.158
ˈɛ	ˈɑˀ	0.084
ˈɛ	ˈiː	0.084
ˈɛ	ˈœ	0.084
ˈɛː	j	0.282
ˈɛː	ˈæ	0.214
ˈɛː	ˈa	0.099
ˈɪ	ˈe	0.494
ˈɪ	ˈiˀ	0.176
ˈɪ	ˈɛ	0.113
ˈɪ	w	0.065
ˈɪ	ˈeˀ	0.052
ˈɪə̯	ˈiˀ	0.53
ˈɪə̯	ˈɛː	0.265
ˈɪə̯	ˈyˀ	0.153
ˈɪɛ̯	ˈe	0.246
ˈɪɛ̯	ˈuˀ	0.163
ˈɪɛ̯	j	0.104
ˈɪɛ̯	ˈɑ	0.104
ˈɪɛ̯	j_ˈɛ	0.069
ˈʊ	ˈu	0.409
ˈʊ	ˈɔ	0.303
ˈʊ	ˈuˀ	0.279
ˈʏ	ˈœ	0.699
ˈʏ	ˈu	0.197
