Old Norse	American English	probability
a	-	0.807
a	oʊ̯	0.193
b	b	0.969
c	-	0.816
c	k	0.184
cʰ	ʧ	0.672
cʰ	kʰ	0.328
cː	ʧ	1.0
d	d	0.988
f	f	0.923
f	ʃ	0.077
h	h	1.0
i	ɚ	0.62
i	-	0.234
i	ɪ	0.129
j	-	0.695
j	ˈɪ	0.12
j	ˈɛ	0.073
j	ˈaɪ̯	0.061
j	ˈoʊ̯	0.052
k	k	0.48
k	-	0.328
k	ʧ	0.193
kʰ	kʰ	0.808
kʰ	-	0.192
kː	k	0.535
kː	ŋ_k	0.465
l	l	0.46
l	ɫ	0.425
l	-	0.115
lː	ɫ	0.908
lː	l	0.092
l̥	l	1.0
m	m	0.997
mː	v	0.5
mː	m	0.5
n	n	0.948
nː	n	0.735
nː	θ	0.096
nː	-	0.087
p	p	1.0
pː	p	1.0
r	ɚ	0.505
r	ɹ	0.307
r	-	0.166
rː	ɚ	0.81
rː	-	0.19
r̥	ɹ	0.9
r̥	-	0.1
s	s	0.719
s	ʃ	0.218
sː	s	1.0
t	t	0.911
t	ɾ	0.089
tʰ	tʰ	0.926
tʰ	b	0.074
tː	t	0.952
u	-	0.535
u	i	0.138
u	n	0.128
u	ˈɛ	0.128
u	ə	0.069
v	w	0.408
v	v	0.264
v	f	0.163
v	-	0.15
w	w	1.0
x	-	1.0
ç	h	0.919
ç	w	0.081
ð	d	0.585
ð	ð	0.201
ð	θ	0.133
ð	-	0.077
ŋ	ŋ	0.747
ŋ	n	0.157
ŋ	-	0.097
ɑ	-	0.788
ɑ	i	0.193
ɑː	i	1.0
ɟ	-	0.672
ɟ	ɡ	0.328
ɟː	ʤ	1.0
ɡ	ɡ	0.493
ɡ	-	0.414
ɡ	j	0.081
ɡː	ɡ	0.586
ɡː	ʤ	0.414
ɣ	-	0.902
ɣ	f	0.098
ɾ	ɹ	1.0
ʝː	-	1.0
ˈa	ˈæ	0.797
ˈa	ˈeɪ̯	0.203
ˈe	ˈɛ	0.278
ˈe	ˈeɪ̯	0.189
ˈe	ˈɔ	0.187
ˈe	ˈɪ	0.127
ˈe	ˈɝ	0.062
ˈe	ə	0.061
ˈe	ˈaɪ̯	0.061
ˈeː	ˈi	0.809
ˈeː	ˈaɪ̯	0.127
ˈeː	j	0.064
ˈi	ˈɪ	0.621
ˈi	ˈaɪ̯	0.322
ˈi	ˈi	0.057
ˈiː	ˈaɪ̯	0.61
ˈiː	ˈi	0.16
ˈiː	ˈɪ	0.152
ˈiː	-	0.078
ˈo	ˈɔ	0.408
ˈo	w	0.238
ˈo	ˈʌ	0.173
ˈo	ˈɪ	0.103
ˈoː	-	0.34
ˈoː	ˈu	0.173
ˈoː	ˈʊ	0.128
ˈoː	ˈʌ	0.118
ˈoː	ˈi	0.104
ˈoː	ˈɔ	0.08
ˈoː	ˈɑ	0.058
ˈu	ˈʌ	0.515
ˈu	ˈaʊ̯	0.183
ˈu	ˈaɪ̯	0.087
ˈu	ˈɪ	0.062
ˈu	w_ˈʊ	0.053
ˈuː	ˈaʊ̯	0.361
ˈuː	ˈaɪ̯	0.244
ˈuː	-	0.214
ˈuː	ˈʌ	0.096
ˈuː	ˈi	0.086
ˈy	ˈɪ	0.537
ˈy	ˈɔ	0.328
ˈy	ˈʌ	0.065
ˈyː	ˈi	0.477
ˈyː	ˈaʊ̯	0.349
ˈyː	ˈu	0.157
ˈøy̯	ˈi	1.0
ˈøː	ˈi	0.652
ˈøː	ˈɛ	0.28
ˈøː	ˈɪ	0.068
ˈɑ	ˈɑ	0.336
ˈɑ	ˈæ	0.228
ˈɑ	ˈeɪ̯	0.125
ˈɑ	ˈɔ	0.082
ˈɑ	ˈoʊ̯	0.077
ˈɑ	ˈʌ	0.068
ˈɑu̯	ˈi	0.477
ˈɑu̯	ˈɛ	0.374
ˈɑu̯	ˈaɪ̯	0.124
ˈɑː	ˈu	0.22
ˈɑː	ˈaɪ̯	0.186
ˈɑː	ˈi	0.174
ˈɑː	ˈɛ	0.106
ˈɑː	ˈʌ	0.102
ˈɑː	j	0.072
ˈɑː	ˈoʊ̯	0.071
ˈɑː	ˈeɪ̯	0.068
ˈɒu̯	ˈɛ	1.0
ˈɔ	ˈɛ	0.454
ˈɔ	ˈɝ	0.173
ˈɔ	ˈu	0.12
ˈɔ	ˈæ	0.12
ˈɔ	ˈɪ	0.066
ˈɔː	ˈu	1.0
ˈɛ	ˈɛ	0.681
ˈɛ	ˈæ	0.251
ˈɛi̯	ˈoʊ̯	0.64
ˈɛi̯	ˈʌ	0.169
ˈɛi̯	ˈu	0.164
ˈɛː	ˈi	0.852
ˈɛː	ˈoʊ̯	0.086
ˈɛː	ˈæ	0.062
θ	θ	0.933
