Spanish	Brazilian Portuguese	probability
f	f	1.0
i	i	1.0
k	k	1.0
m	m	1.0
p	p	1.0
r	h	1.0
w	w	1.0
ɟ͡ʝ	ʃ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ʝ	l	1.0
e	-	0.111
e	e	0.341
t	t	0.851
ð	d	0.991
ɾ	-	0.071
β	b	0.511
a	ɐ	0.722
d	ʤ	0.222
e	ẽ	0.062
n	n	0.262
n	-	0.402
x	ʒ	0.252
ɾ	h	0.372
ˈe	-	0.062
ˈi	ˈi	0.492
j	j	0.573
o	o	0.103
o	u	0.823
ˈa	ˈɐ̃	0.413
ˈe	ˈe	0.753
ˈu	ˈu	0.533
a	a	0.244
l	-	0.174
o	-	0.074
ɲ	n	0.324
ɾ	ɾ	0.44
ʧ	j_t	0.644
b	b	0.255
b	v	0.745
ˈi	ˈe	0.105
ˈo	ˈo_w	0.105
ˈo	ˈɔ	0.195
e	i	0.486
s	s	0.556
ɲ	j̃	0.676
ʧ	t	0.356
ˈi	ˈĩ	0.36
ˈo	ˈõ	0.226
ˈo	ˈo	0.396
j	-	0.427
n	<#_f	0.07
ɾ	ɦ	0.117
ˈa	ˈa	0.587
ˈu	ˈũ	0.467
θ	s	0.527
d	d	0.778
l	w	0.278
l	l	0.548
n	j̃	0.238
s	ʃ	0.438
x	ʎ	0.748
θ	j_ʃ	0.088
θ	z	0.248
t	ʧ	0.149
ˈe	ˈẽ	0.159
β	v	0.489
θ	ʃ	0.099
