American English	Eastphalian	probability
b	b	1.0
d	d	0.695
d	t	0.214
d	-	0.086
f	f	0.965
f	x	0.04
h	h	1.0
i	ɪ	1.0
j	j	1.0
k	k	0.839
k	-	0.153
kʰ	k	0.871
kʰ	f	0.074
l	l	0.922
l	ɡ	0.077
m	m	1.0
n	n	0.933
n	-	0.062
oʊ̯	n	0.53
oʊ̯	-	0.301
p	p	0.604
p	p_ə	0.22
p	b_m	0.167
s	s	0.677
s	z	0.322
t	t	0.59
t	t_ə	0.225
t	t_n	0.101
t	x	0.04
t	ç	0.038
tʰ	t	0.874
tʰ	b	0.111
v	v	0.514
v	m	0.156
v	b	0.156
v	f	0.11
w	v	0.657
w	w	0.149
w	v_ˈoː	0.108
w	-	0.048
w	r	0.037
z	z_ə	0.53
z	z	0.301
ð	-	0.443
ð	d	0.409
ð	n	0.119
ŋ	ŋ	1.0
ə	-	0.415
ə	ˈœ	0.206
ə	ə	0.206
ɚ	ɐ	0.951
ɚ	ə	0.052
ɡ	ɣ	0.777
ɡ	-	0.14
ɡ	j	0.073
ɡ_ɚ	ɐ	1.0
ɪ	-	0.66
ɪ	ə	0.162
ɫ	l	0.804
ɫ	l_ə	0.138
ɫ	-	0.051
ɹ	r	0.64
ɹ	ɐ	0.292
ɹ	-	0.057
ɾ	t	1.0
ʃ	ʃ	1.0
ʤ	ɣ	0.66
ʤ	k	0.162
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.322
ˈaɪ̯	ˈɪ	0.226
ˈaɪ̯	ˈa	0.105
ˈaɪ̯	ˈyː	0.052
ˈaɪ̯	ˈeː	0.052
ˈaʊ̯	ˈuː	0.689
ˈaʊ̯	ˈʊ	0.215
ˈaʊ̯	ˈaʊ̯	0.084
ˈeɪ̯	ˈɒː	0.248
ˈeɪ̯	ˈeo̯	0.16
ˈeɪ̯	ˈa_x	0.134
ˈeɪ̯	ˈɛə̯	0.084
ˈeɪ̯	ˈa	0.084
ˈi	ˈɛɪ̯	0.245
ˈi	ˈeo̯	0.164
ˈi	ˈɔʏ̯	0.155
ˈi	ˈɒː	0.123
ˈi	ˈiː	0.101
ˈoʊ̯	ˈɛɪ̯	0.325
ˈoʊ̯	ˈɔ	0.283
ˈoʊ̯	ˈɛː	0.102
ˈoʊ̯	ˈoː	0.08
ˈoʊ̯	ˈeː	0.079
ˈu	ˈaʊ̯	0.42
ˈu	ˈɛː	0.152
ˈu	ˈiː	0.152
ˈu	ˈɛɪ̯	0.152
ˈu	ˈɒː	0.108
ˈæ	ˈa	0.766
ˈæ	ˈaː	0.11
ˈæ	ˈɛ	0.1
ˈɑ	ˈɔ	0.388
ˈɑ	ˈa	0.342
ˈɑ	ˈɒː	0.118
ˈɑ	ˈeː	0.06
ˈɑ	ˈɛɪ̯	0.059
ˈɔ	ˈɔ	0.209
ˈɔ	ˈa	0.209
ˈɔ	ˈaː	0.209
ˈɔ	ˈɛɪ̯	0.209
ˈɔ	ˈoː	0.137
ˈɛ	ˈeː	0.175
ˈɛ	ˈɛɪ̯	0.137
ˈɛ	ˈeo̯	0.137
ˈɛ	ˈɛ	0.11
ˈɛ	ˈɒː	0.102
ˈɝ	ɐ	0.561
ˈɝ	ˈɛː	0.28
ˈɝ	ˈeː	0.107
ˈɪ	ˈɪ	0.576
ˈɪ	ˈʏ	0.111
ˈɪ	ˈɛ	0.103
ˈɪ	ˈiː	0.095
ˈɪ	ˈyː	0.054
ˈʊ	ˈʊ	0.713
ˈʊ	ˈaʊ̯	0.264
ˈʌ	ˈʊ	0.403
ˈʌ	ˈaʊ̯	0.169
ˈʌ	ˈoː	0.169
ˈʌ	ˈa	0.128
ˈʌ	ˈɔ	0.059
θ	d	0.8
θ	-	0.132
θ	r	0.059
