Eastern Lombard	Eastern Lombard	probability
ˈɛ_s	ɛ	1.0
ˈɛ_r	ɛ_ʁ	1.0
ˈɛ_n	ɑ̃	1.0
ˈɛ_l	o	1.0
ˈɔ_s	o	1.0
ˈø_ʧ	u	1.0
ˈø_k	ø	1.0
ˈu_r	œ_ʁ	1.0
ˈu_#>	ɔ̃_#>	1.0
ˈo_n	ɔ̃	1.0
ˈi_d	w	1.0
ˈe_ɡ	w	1.0
ˈe_t	ɑ̃	1.0
ˈa_ŋ	ɑ̃	1.0
ˈa_n	ɑ̃	1.0
ˈa_l	o	1.0
ˈa_d	ɛ	1.0
ˈa_#>	e_#>	1.0
ʧ_#>	#>	1.0
ʧ	-	1.0
ʤ_a	j	1.0
ʋ	v	1.0
ø	-	1.0
y	y_l	1.0
w_ˈa	a	1.0
t_e	t	1.0
t_#>	#>	1.0
s_ˈe	s_i	1.0
s_ˈa	s	1.0
s_k	e_k	1.0
s_#>	#>	1.0
r_t	ʁ	1.0
r_s	ʁ_s	1.0
p_a	p_a	1.0
p_#>	#>	1.0
p	p	1.0
o_n	ɔ̃	1.0
n_t	ɛ̃	1.0
m_#>	#>	1.0
l_#>	#>	1.0
k_a	ʃ	1.0
k_#>	#>	1.0
a_n	ɑ̃	1.0
a_d	ɛ	1.0
a_#>	#>	1.0
a	a	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_v	1.0
m	m	0.939
b	b	0.9
f	f	0.897
r	ʁ	0.846
s	s	0.816
l	l	0.786
n	n	0.778
i	-	0.75
t	t	0.737
ˈɔ	ɔ	0.727
ˈy	y	0.714
d	d	0.632
ɡ	ɡ	0.611
ʤ	ɡ_l	0.6
ŋ	ɑ̃	0.6
z	ʒ	0.562
k	k	0.552
ɲ	ɲ	0.5
e	-	0.483
j	l	0.474
o	-	0.455
k	ʃ	0.448
ˈi	i	0.429
ʤ	ʒ	0.4
ŋ	-	0.4
ˈø	œ	0.389
ɡ	-	0.389
ˈa	ɛ	0.375
o	ɔ	0.364
ˈɛ	ɛ	0.35
ˈu	ɔ	0.333
ˈu	w	0.333
ˈu	u	0.333
z	z	0.312
#>	e_#>	0.294
ˈy	u	0.286
ˈo	u	0.278
ˈa	a	0.275
ˈɔ	-	0.273
j	j	0.263
j	-	0.263
ˈɛ	a	0.25
ˈa	ɛ̃	0.25
ɲ	ɛ̃	0.25
ɲ	-	0.25
i	i	0.25
ˈi	ɛ̃	0.238
#>	ʁ_#>	0.235
#>	j_#>	0.235
ˈe	i	0.231
ˈø	y	0.222
ˈø	-	0.222
ˈo	ɔ	0.222
ˈo	o	0.222
n	-	0.222
d	-	0.211
e	ə	0.207
ˈɛ	w_a	0.2
ˈi	w_a	0.19
o	u	0.182
ˈø	u	0.167
ˈo	-	0.167
t	-	0.158
d	ʁ	0.158
ˈe	ɛ	0.154
ˈe	j_ɛ	0.154
ˈe	-	0.154
ˈi	i_ʁ	0.143
l	-	0.143
z	-	0.125
#>	ɔ̃_#>	0.118
#>	a_#>	0.118
ˈe	ɑ̃	0.115
ˈe	w	0.115
ˈo	ɥ	0.111
t	ʁ	0.105
f	ʁ	0.103
e	v	0.103
ˈɛ	i	0.1
ˈɛ	-	0.1
ˈa	e	0.1
b	-	0.1
s	a	0.079
ˈe	j	0.077
l	i	0.071
e	ʒ	0.069
e	e	0.069
e	a	0.069
m	-	0.061
r	ʁ_w	0.058
r	-	0.058
s	ʁ	0.053
s	t	0.053
