Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛ_s	s_t	1.0
ˈɑ̃	ˈa_ŋ	1.0
ˈœ̃	ˈu_ɲ	1.0
ˈyː	ˈɔ	1.0
ˈy	ˈu	1.0
ˈeː	j	1.0
ʒ	-	1.0
ɲː	e_n	1.0
ɲ	ɲ	1.0
ɛː	a_j	1.0
ɔ̃	o_ŋ	1.0
ɔː	-	1.0
ɑ̃	a_ŋ	1.0
z	-	1.0
w_ˈɛ	ˈe	1.0
w_ˈa	ˈɔ_r	1.0
n	n	1.0
m	m	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈa	o	1.0
j_#>	a_#>	1.0
i	-	1.0
ẽ	i	1.0
d	d	1.0
b	b	1.0
<#_ˈɑ̃	<#_ˈa_n	1.0
<#_ʤ	<#_z	1.0
<#_ʀ	<#_r	1.0
<#_ɛ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
<#	<#_z	1.0
ʀ	r	0.958
s	s	0.941
p	p	0.939
v	v	0.9
ˈɔ̃	ˈo_ŋ	0.833
k	k	0.8
<#_l	<#_ɰ	0.8
f	f	0.769
ɡ	ɡ	0.75
a	a	0.75
ʧ	k	0.737
ˈẽ	ˈi_ŋ	0.714
ˈɛː	-	0.667
uː	-	0.667
t	t	0.667
ˈoː	ˈɔ	0.625
ɔ	o	0.625
ˈuː	ˈo	0.545
ˈa	ˈa	0.5
ɛ	a	0.5
ɛ	-	0.5
#>	o_#>	0.479
ˈiː	ˈi	0.444
ˈɔ	ˈɔ	0.421
ˈøː	ˈo	0.4
l	j	0.4
ˈɛ̃	ˈe_ŋ	0.375
ˈoː	ˈa_l	0.375
ˈe	ˈa_r	0.375
ɔ	ˈɔ	0.375
ˈɔː	-	0.364
#>	a_#>	0.345
ˈɛː	ˈa	0.333
ˈu	ˈu	0.333
ˈu	ˈo	0.333
ˈu	-	0.333
ʃ	s_e	0.333
uː	u	0.333
ˈɔ	ˈo	0.316
ˈe	ˈa	0.312
ˈa	o	0.3
ˈẽ	ŋ	0.286
j	ˈɛ	0.28
ˈɔː	ˈa	0.273
ˈuː	ˈɔ	0.273
ˈɛ̃	ˈa_ŋ	0.25
ˈi	ˈi_r	0.25
ˈi	ˈi_o	0.25
ˈi	o	0.25
ˈi	-	0.25
ɡ	ʤ	0.25
l	ɰ	0.25
a	-	0.25
ˈɛ	ˈe	0.241
ˈɛ	ˈa	0.241
ˈiː	ˈa	0.222
w	w	0.217
ˈɛ	ˈɛ	0.207
ˈɛ	ˈi	0.207
ˈøː	ˈo_ɡ	0.2
ˈøː	ˈe	0.2
ˈøː	-	0.2
ʃ	s_k	0.2
ʃ	s	0.2
l	l	0.2
j	e	0.2
<#_l	<#	0.2
ˈe	r	0.188
ˈɔː	ˈa_ɡ	0.182
ˈɔː	ˈa_z	0.182
ˈuː	ˈo_v	0.182
w	-	0.174
ˈɔ̃	ˈo_n	0.167
ˈiː	ˈa_r	0.167
ˈiː	j	0.167
ˈɔ	ˈu	0.158
ʧ	k_ˈa	0.158
#>	e_#>	0.155
f	v	0.154
l	-	0.15
t	t_r	0.143
ʃ	ˈe_z	0.133
ʃ	z_a	0.133
w	ˈɔ	0.13
w	ˈe	0.13
ˈɛ̃	ˈe	0.125
ˈɛ̃	ŋ_t	0.125
ˈɛ̃	ŋ	0.125
ˈe	-	0.125
k	ɡ	0.12
j	ˈe	0.12
j	o	0.12
j	j	0.12
ˈɔ	ˈu_t	0.105
ʧ	z_o	0.105
ˈɛ	e	0.103
ˈa	ˈɛ_o	0.1
ˈa	r_t	0.1
v	v_ˈi	0.1
t	s_a	0.095
t	r	0.095
w	ˈo_z	0.087
w	ˈo	0.087
w	ˈa	0.087
w	ɡ	0.087
k	k_w	0.08
j	ɰ_a	0.08
j	j_a	0.08
f	a_v	0.077
p	b_a	0.061
s	-	0.059
