East Frisian Low Saxon	East Frisian Low Saxon	probability
χ	χ	1.0
ˈʏə̯	ˈʏə̯	1.0
ˈʏ	ˈʏ	1.0
ˈʊə̯	ˈʊə̯	1.0
ˈʊ	ˈʊ	1.0
ˈɪə̯	ˈɪə̯	1.0
ˈɪ	ˈɪ	1.0
ˈɛːɪ̯	ˈɛːɪ̯	1.0
ˈɛə̯	ˈɛə̯	1.0
ˈɛ	ˈɛ	1.0
ˈɔː	ˈɔː	1.0
ˈɔ	ˈɔ	1.0
ˈɒːɒ̯	ˈɒːɒ̯	1.0
ˈɒː	ˈɒː	1.0
ˈɑːʊ̯	ˈɑːʊ̯	1.0
ˈɑːɑ̯	ˈɑːɑ̯	1.0
ˈɑː	ˈɑː	1.0
ˈɑʊ̯	ˈɑʊ̯	1.0
ˈɑɪ̯	ˈɑɪ̯	1.0
ˈɑ	ˈɑ	1.0
ˈœːy̯	ˈœːy̯	1.0
ˈœy̯	ˈœy̯	1.0
ˈœ	ˈœ	1.0
ˈøːø̯	ˈøːø̯	1.0
ˈøː	ˈøː	1.0
ˈøy̯	ˈøy̯	1.0
ˈæːɪ̯	ˈæːɪ̯	1.0
ˈæː	ˈæː	1.0
ˈæɪ̯	ˈæɪ̯	1.0
ˈyːʏ̯	ˈyːʏ̯	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	ˈuːu̯	1.0
ˈuː	ˈuː	1.0
ˈoːo̯	ˈoːo̯	1.0
ˈoː	ˈoː	1.0
ˈiːi̯	ˈiːi̯	1.0
ˈiː	ˈiː	1.0
ˈeːe̯	ˈeːe̯	1.0
ˈeː	ˈeː	1.0
ʊ	ʊ	1.0
ɫ	ɫ	1.0
ɣ̊	ɣ̊	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ə	ə	1.0
ɑɪ̯	ɑɪ̯	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
w	w	1.0
v̥	v̥	1.0
v	v	1.0
t_n	t_n	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o	o	1.0
n_ɐ	n_ɐ	1.0
n_t	n_t	1.0
n_n	n_n	1.0
n	n	1.0
m	m	1.0
l_k	l_k	1.0
l	l	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
