North Frisian	Luxembourgish	probability
b	b	0.921
b	-	0.068
d	d	0.578
d	t	0.341
dʲ	t	0.673
dʲ	d	0.327
f	f	1.0
h	h	1.0
i	ə	0.618
i	-	0.299
i	e	0.083
j	-	0.497
j	ˈəɪ̯	0.214
j	ɡ	0.205
k	kʰ	0.324
k	ɕ	0.255
k	χ	0.226
k	k	0.152
l	l	0.962
lʲ	l	0.882
lʲ	ɐ	0.118
m	m	1.0
n	n	0.756
n	n_t	0.123
n	ŋ	0.1
nʲ	n	0.589
nʲ	n_t	0.411
p	f	0.839
p	p	0.161
r	ɐ	0.487
r	ʀ	0.404
r	-	0.109
s	z	0.316
s	ʃ	0.31
s	s	0.248
s	n_t	0.051
t	t	0.38
t	ʦ	0.268
t	s	0.17
t	d	0.167
tʲ	s	0.761
tʲ	d	0.239
v	v	0.535
v	w	0.195
v	-	0.17
v	f	0.1
w	ˈe	0.868
w	-	0.132
x	ɕ	0.859
x	ʃ	0.096
z	s	0.769
z	ʀ	0.119
z	z	0.091
ŋ	ŋ	0.66
ŋ	-	0.174
ŋ	ɕ	0.102
ŋ	k	0.065
ə	ə	0.754
ə	-	0.238
ɡ	ɡ	1.0
ʃ	ʃ	0.881
ʃ	kʰ	0.111
ˈa	ˈə	0.418
ˈa	-	0.292
ˈa	ˈaː	0.152
ˈa	ˈɛː	0.056
ˈai̯	ˈe	0.436
ˈai̯	ˈeː	0.224
ˈai̯	ˈɑɪ̯	0.217
ˈai̯	ˈɑ	0.123
ˈaː	ˈə	1.0
ˈeː	ˈaː	0.178
ˈeː	ˈə	0.156
ˈeː	ˈɛː	0.155
ˈeː	ˈi	0.142
ˈeː	ˈoː	0.103
ˈeː	ˈɑɪ̯	0.091
ˈeː	ˈu	0.059
ˈi	ˈæːɪ̯	0.441
ˈi	ˈɑ	0.203
ˈi	ˈeː	0.093
ˈi	ˈə	0.069
ˈi	ˈi	0.066
ˈi	ˈæɪ̯	0.058
ˈiː	ˈəɪ̯	0.311
ˈiː	ˈeː	0.259
ˈiː	ə	0.071
ˈiː	ˈɑɪ̯	0.067
ˈiː	ˈe	0.058
ˈiː	-	0.053
ˈuː	ˈaː	0.513
ˈuː	ˈəʊ̯	0.194
ˈuː	ˈɑ	0.076
ˈuː	ˈuː	0.065
ˈuː	ˈæːʊ̯	0.057
ˈuː	ˈəɪ̯	0.054
ˈyː	ˈæːʊ̯	0.304
ˈyː	ˈəʊ̯	0.215
ˈyː	ˈɑɪ̯	0.074
ˈyː	ˈoː	0.067
ˈyː	ˈə	0.065
ˈyː	ˈo	0.062
ˈyː	ˈɔ	0.062
ˈyː	ˈəɪ̯	0.062
ˈøː	ˈu	0.37
ˈøː	ˈɑɪ̯	0.356
ˈøː	-	0.127
ˈøː	ˈæːʊ̯	0.125
ˈœ	ˈɑ	0.479
ˈœ	ˈu	0.17
ˈœ	ˈiː	0.136
ˈœ	ˈʊ	0.07
ˈɒ	ˈaː	0.309
ˈɒ	ˈuə̯	0.253
ˈɒ	ˈɑ	0.165
ˈɒ	ˈiː	0.155
ˈɒ	ˈeː	0.089
ˈɒː	ˈaː	0.694
ˈɒː	ˈuə̯	0.118
ˈɒː	ˈɑ	0.112
ˈɒː	ˈeː	0.076
ˈɔ	ˈaː	0.636
ˈɔ	ˈo	0.226
ˈɔ	ˈuː	0.138
ˈɔi̯	ˈeː	1.0
ˈɔu̯	-	0.313
ˈɔu̯	ˈuə̯	0.204
ˈɔu̯	ˈəʊ̯	0.153
ˈɔu̯	ˈi	0.117
ˈɔu̯	ˈaː	0.096
ˈɔu̯	ˈʊ	0.092
ˈɔː	ˈu	0.21
ˈɔː	ˈɑ	0.21
ˈɔː	ˈiː	0.152
ˈɔː	ˈə	0.12
ˈɔː	ˈuə̯	0.085
ˈɔː	ˈuː	0.085
ˈɔː	ˈo	0.063
ˈɔː	ˈʊɪ̯	0.063
ˈɛ	ˈɑ	0.525
ˈɛ	ˈəɪ̯	0.328
ˈɛ	ˈiː	0.148
ˈɛi̯	ˈəɪ̯	0.255
ˈɛi̯	ˈe	0.216
ˈɛi̯	ˈoː	0.193
ˈɛi̯	ˈeː	0.118
ˈɛi̯	ˈi	0.107
ˈɛi̯	ˈaː	0.059
ˈɛi̯	ˈɑ	0.051
ˈɛː	ˈoː	0.518
ˈɛː	ˈiə̯	0.339
ˈɛː	ˈeː	0.097
ˈʊ	ˈo	0.312
ˈʊ	ˈɑ	0.304
ˈʊ	ˈaː	0.147
ˈʊ	ˈʊ	0.093
ˈʊ	ˈe	0.067
ˈʊ	ˈɔ	0.065
ˈʏ	ˈæːɪ̯	0.567
ˈʏ	ˈə	0.277
ˈʏ	ˈo	0.156
