l1	phone_l1	l2	phone_l2	surprisal
Cahuilla	('-',)	Central Tarahumara	ɑ̠	4.194
Cahuilla	('-',)	Central Tarahumara	ʔ	4.194
Cahuilla	('a',)	Central Tarahumara	a	1.754
Cahuilla	('a',)	Central Tarahumara	i	2.28
Cahuilla	('ae̯',)	Central Tarahumara	ɑ̠	4.194
Cahuilla	('ae̯',)	Central Tarahumara	ʔ	4.194
Cahuilla	('e',)	Central Tarahumara	e	1.338
Cahuilla	('e',)	Central Tarahumara	-	2.611
Cahuilla	('eu̯̯',)	Central Tarahumara	l	2.816
Cahuilla	('e̠',)	Central Tarahumara	ɑ	3.587
Cahuilla	('e̠',)	Central Tarahumara	ɑ̠	3.846
Cahuilla	('h',)	Central Tarahumara	-	1.576
Cahuilla	('i',)	Central Tarahumara	-	2.09
Cahuilla	('i',)	Central Tarahumara	o	2.872
Cahuilla	('i̠',)	Central Tarahumara	-	1.922
Cahuilla	('j',)	Central Tarahumara	-	3.302
Cahuilla	('j',)	Central Tarahumara	ɡ	3.385
Cahuilla	('k',)	Central Tarahumara	ʔ	2.48
Cahuilla	('k',)	Central Tarahumara	k	3.484
Cahuilla	('kʷ',)	Central Tarahumara	-	2.615
Cahuilla	('kʷ',)	Central Tarahumara	w	3.218
Cahuilla	('l',)	Central Tarahumara	-	0.967
Cahuilla	('l',)	Central Tarahumara	l	3.21
Cahuilla	('m',)	Central Tarahumara	m	1.759
Cahuilla	('m',)	Central Tarahumara	-	2.125
Cahuilla	('n',)	Central Tarahumara	-	1.414
Cahuilla	('n',)	Central Tarahumara	ʧ	3.41
Cahuilla	('p',)	Central Tarahumara	b	2.132
Cahuilla	('p',)	Central Tarahumara	s	4.733
Cahuilla	('q',)	Central Tarahumara	k	2.577
Cahuilla	('q',)	Central Tarahumara	ɡ	3.873
Cahuilla	('s',)	Central Tarahumara	s	1.806
Cahuilla	('s',)	Central Tarahumara	t	3.746
Cahuilla	('t',)	Central Tarahumara	r	2.064
Cahuilla	('t',)	Central Tarahumara	-	2.203
Cahuilla	('u',)	Central Tarahumara	u	2.157
Cahuilla	('u',)	Central Tarahumara	-	3.667
Cahuilla	('ui̯̯',)	Central Tarahumara	e	3.275
Cahuilla	('ui̯̯',)	Central Tarahumara	ɑ̠	4.826
Cahuilla	('u̠',)	Central Tarahumara	ɑ̠	4.194
Cahuilla	('u̠',)	Central Tarahumara	ʔ	4.194
Cahuilla	('v',)	Central Tarahumara	ʧ	3.898
Cahuilla	('v',)	Central Tarahumara	ʔ	4.415
Cahuilla	('w',)	Central Tarahumara	-	1.819
Cahuilla	('w',)	Central Tarahumara	w	2.306
Cahuilla	('x',)	Central Tarahumara	-	2.032
Cahuilla	('x',)	Central Tarahumara	ɡ	3.754
Cahuilla	('y',)	Central Tarahumara	a	1.312
Cahuilla	('y',)	Central Tarahumara	i	4.595
Cahuilla	('ŋ',)	Central Tarahumara	-	2.544
Cahuilla	('ŋ',)	Central Tarahumara	k	4.202
Cahuilla	('ɑ',)	Central Tarahumara	ɑ̠	2.06
Cahuilla	('ɑ',)	Central Tarahumara	-	3.268
Cahuilla	('ɑ̠',)	Central Tarahumara	ɑ̠	4.04
Cahuilla	('ɑ̠',)	Central Tarahumara	ʔ	4.299
Cahuilla	('ɲ',)	Central Tarahumara	m	3.428
Cahuilla	('ɲ',)	Central Tarahumara	ɑ̠	4.721
Cahuilla	('ʃ',)	Central Tarahumara	-	2.82
Cahuilla	('ʃ',)	Central Tarahumara	t	3.888
Cahuilla	('ʔ',)	Central Tarahumara	-	1.489
Cahuilla	('ʔ',)	Central Tarahumara	p	3.784
Cahuilla	('ʦ',)	Central Tarahumara	m	2.056
Cahuilla	('ʦ',)	Central Tarahumara	t	3.776
Cahuilla	('ʧ',)	Central Tarahumara	s	2.525
Cahuilla	('ʧ',)	Central Tarahumara	k	4.246
Cahuilla	('-',)	Chemehuevi	nː	4.361
Cahuilla	('-',)	Chemehuevi	ɨː	4.361
Cahuilla	('a',)	Chemehuevi	a	1.108
Cahuilla	('a',)	Chemehuevi	-	2.33
Cahuilla	('ae̯',)	Chemehuevi	aɨ̯̯	3.544
Cahuilla	('ae̯',)	Chemehuevi	nː	5.095
Cahuilla	('e',)	Chemehuevi	a	2.406
Cahuilla	('e',)	Chemehuevi	ɨ	2.582
Cahuilla	('eu̯̯',)	Chemehuevi	aɨ̯̯	3.816
Cahuilla	('eu̯̯',)	Chemehuevi	nː	4.85
Cahuilla	('e̠',)	Chemehuevi	ɑ	3.55
Cahuilla	('e̠',)	Chemehuevi	ɯ	4.159
Cahuilla	('h',)	Chemehuevi	h	1.201
Cahuilla	('i',)	Chemehuevi	a	1.564
Cahuilla	('i',)	Chemehuevi	i	2.085
Cahuilla	('i̠',)	Chemehuevi	i	2.229
Cahuilla	('i̠',)	Chemehuevi	ɑ	3.203
Cahuilla	('j',)	Chemehuevi	-	3.28
Cahuilla	('j',)	Chemehuevi	n	3.801
Cahuilla	('k',)	Chemehuevi	k	1.832
Cahuilla	('k',)	Chemehuevi	-	2.924
Cahuilla	('kʷ',)	Chemehuevi	kʷ	3.707
Cahuilla	('kʷ',)	Chemehuevi	-	4.224
Cahuilla	('l',)	Chemehuevi	p	1.691
