Catalan	Brazilian Portuguese	probability
b	v	0.522
b	b	0.419
b	-	0.05
d	d	0.766
d	ʤ	0.122
d	z	0.057
d	-	0.056
f	f	1.0
f_l	ʃ	1.0
i	i	0.286
i	j	0.224
i	ĩ	0.195
i	ẽ	0.129
i	e	0.093
j	j	0.564
j	-	0.324
j	ˈĩ	0.073
k	k	0.822
k	ɡ_u	0.122
l	w	0.333
l	-	0.3
l	l	0.152
l	ɾ	0.089
l_ˈo	ˈo	1.0
l_ˈu	ˈu	0.485
m	m	0.865
m	-	0.074
n	n	0.39
n	-	0.319
n	t_u	0.134
n	j̃	0.109
n_d	h	0.485
p	p	0.896
p_l	ʃ	1.0
r	h	0.552
r	ɦ	0.285
r	ɾ_u	0.088
s	s	0.544
s	ʃ	0.317
t	t	0.519
t	ʧ	0.116
t	t_u	0.11
t	d_u	0.101
t	ʤ_i	0.078
t_ɾ	j	1.0
u	o	0.426
u	u	0.175
u	ˈɔ	0.109
u	õ	0.093
u	-	0.053
u	e	0.053
w	-	0.301
w	w	0.226
w	j_ʃ	0.162
w	s_u	0.084
w	v_i	0.066
w	v_u	0.061
z	-	0.381
z	z	0.381
z	d	0.219
ð	d	1.0
ŋ	-	0.242
ŋ	ɡ	0.242
ŋ	k	0.155
ŋ	ˈĩ	0.146
ŋ	j̃	0.094
ŋ_ɡ	j̃	1.0
ə	ɐ	0.505
ə	a	0.135
ə	e	0.132
ə	-	0.131
ɡ	ɡ	0.928
ɡ	ʒ	0.065
ɣ	ɡ	0.868
ɣ	b	0.093
ɲ	j̃	0.446
ɲ	j̃_u	0.292
ɲ	-	0.088
ɲ	h	0.079
ɲ	n	0.065
ɾ	ɾ	0.727
ɾ	-	0.225
ɾ_ə	u	1.0
ʃ	-	0.403
ʃ	ʃ_u	0.232
ʃ	ʃ	0.148
ʃ	j_ʃ	0.14
ʎ	l	0.682
ʎ	ʎ	0.278
ʒ	ʒ	0.83
ʒ	-	0.107
ʒ	v	0.058
ʤ	ʃ	0.66
ʤ	ɡ	0.155
ʧ	ʃ_u	0.28
ʧ	j_u	0.257
ʧ	s_u	0.169
ʧ	j	0.073
ˈa	ˈa	0.649
ˈa	ˈɐ̃	0.275
ˈa_n	ˈɐ̃	1.0
ˈe	ˈe	0.413
ˈe	ˈɛ	0.312
ˈe	ˈẽ	0.225
ˈi	ˈi	0.488
ˈi	ˈĩ	0.227
ˈi	ˈe	0.079
ˈi	ˈi_h	0.058
ˈi	j	0.055
ˈo	ˈo	0.492
ˈo	ˈõ	0.143
ˈo	ˈɐ̃_w̃	0.143
ˈo	ˈɔ	0.115
ˈo	ˈẽ	0.052
ˈo_l	ˈo	0.485
ˈu	ˈu	0.465
ˈu	ˈũ	0.267
ˈu	ˈo	0.169
ˈu_l	ˈu	0.485
ˈɔ	ˈo	0.512
ˈɔ	ˈɔ	0.316
ˈɔ	ˈõ	0.151
ˈɛ	ˈe	0.522
ˈɛ	ˈɛ	0.205
ˈɛ	ˈẽ	0.057
ˈɛ	ˈe_h	0.05
β	b	0.526
β	v	0.454
