Campidanese	Lombard	probability
a	a	0.826
a	-	0.101
b	ʋ	0.52
b	b	0.299
b	ʤ	0.066
b	ɡ	0.05
d	d	0.556
d	t	0.21
d	ʤ	0.12
d	-	0.09
e	-	0.603
e	e	0.238
e	i	0.061
e	ˈɛ	0.052
ĕ	-	1.0
f	f	1.0
i	-	0.804
i	a	0.052
i_m	m	1.0
i_r	ˈi	0.495
j	-	0.638
j	ʧ	0.134
j	ʋ	0.087
j	j	0.069
j	ĩ	0.058
k	k	0.92
l	l	0.892
l	-	0.106
m	m	0.863
m	-	0.075
m	ã	0.063
m_i	m	1.0
n	n	0.574
n	-	0.323
n	ɲ	0.087
o	u	0.422
o	e	0.218
o	y	0.144
o	a	0.102
o	-	0.072
ŏ	-	0.245
p	p	0.939
p	-	0.061
p_u	p	1.0
r	r	0.637
r	-	0.163
r	j	0.107
r_u	r	1.0
r_ˈa	ˈa	0.495
s	s	0.77
s	-	0.169
s	ʃ	0.06
s_u	s	1.0
t	t	0.907
t	d	0.058
t_i	ʧ	1.0
t_u	t	0.843
t_u	ʧ	0.132
u	-	0.882
ŭ	-	1.0
w	w	0.596
w	-	0.156
w	ˈɔ	0.156
z	-	0.637
z	ʦ	0.141
z	ʧ	0.141
z	s	0.07
z_u	s	1.0
ð	d	0.452
ð	-	0.203
ð	k	0.105
ð	t	0.074
ð	ʧ	0.074
ð	r	0.066
ŋ	ˈũː	0.379
ŋ	ˈĩː	0.25
ŋ	ˈãː	0.163
ŋ	-	0.107
ɖ	l	0.504
ɖ	-	0.435
ɖ	t	0.061
ɡ	ɡ	0.486
ɡ	k	0.351
ɡ	ʤ	0.094
ɣ	-	0.346
ɣ	d	0.173
ɣ	m	0.173
ɣ	ʧ	0.173
ɣ	ɡ	0.118
ɣ_u	k	1.0
ɲ	-	0.162
ɲ	ɲ	0.162
ʃ	-	0.5
ʃ	s	0.5
ʒ	ʃ	0.431
ʒ	z	0.106
ʒ_i	s	1.0
ʣ	j	1.0
ʣ_u	j	0.495
ʤ	-	0.675
ʤ	ʦ	0.304
ʦ	ʦ	0.574
ʦ	t	0.284
ʧ	ʧ	0.792
ʧ	ʦ	0.164
ˈa	ˈa	0.697
ˈa	ˈaː	0.141
ˈa	ˈɔ	0.084
ˈa	-	0.067
ˈa_i	ˈa	1.0
ˈa_n	ˈãː	1.0
ˈa_r	ˈa	1.0
ˈa_ð	ˈaː	0.495
ˈe	ˈɛ	0.433
ˈe	ˈe	0.29
ˈe	ˈe_j	0.077
ˈe	ˈɛ̃ː	0.07
ˈe_n	ˈẽː	1.0
ˈe_ɖ	ˈɛ	0.495
ˈi	ˈi	0.341
ˈi	ˈe	0.334
ˈi	ˈy	0.063
ˈi_n	ˈĩː	1.0
ˈi_ʣ	ˈi	1.0
ˈo	ˈɔ	0.278
ˈo	ˈø	0.217
ˈo	ˈu	0.154
ˈo	ˈøː	0.146
ˈo	ˈyː	0.098
ˈo	ˈo	0.053
ˈo_n	ˈũː	1.0
ˈu	ˈu	0.383
ˈu	ˈy	0.34
ˈu	ˈyː	0.143
ˈu	ˈuː	0.055
ˈu	-	0.053
β	ʋ	0.384
β	-	0.326
β	b	0.187
β	f	0.059
β_u	f	1.0
