Elfdalian	Insular North Frisian	probability
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈʏ	1.0
ˈɔ̃ː	-	1.0
ˈɔ	h_ˈɔː	1.0
ˈɑː_ɣ	ˈaɪ̯	1.0
ˈœ	ˈɛ	1.0
ˈæː	-	1.0
ˈyœ̯	-	1.0
ʥː	ˈœ_ç	1.0
ʥ	ɡ	1.0
ʏ	ˈaʊ̯	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ	ç	1.0
ɛ_r	ɐ	1.0
ɔ̃	aɪ̯	1.0
ɔ	-	1.0
ɑ̃	-	1.0
ŋ_ɡ	ŋ	1.0
w_ˈɛː	v	1.0
tʰ_j_ˈo	tʲ	1.0
sː	s	1.0
rː	ˈʏ_ç	1.0
pː	ˈɔː_p	1.0
pʰ	pʰ	1.0
p	p	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
lː	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
f	f	1.0
b	b	1.0
a	ˈiː_ɐ	1.0
t	t	0.939
s	s	0.928
w	v	0.924
k	k	0.891
n	n	0.865
ð	ɾ	0.8
ɛ	ə	0.757
l	l	0.756
ʨ	k	0.682
ˈɑːu̯	ˈʏ	0.669
tʰ	tʰ	0.654
d	d	0.624
ˈo	-	0.62
ˈʉː	-	0.613
ˈʉːə̯	-	0.606
ɡː	-	0.605
ˈʉ	ˈʊ	0.604
ˈɑːi̯	ˈɪ	0.592
nː	n	0.586
ˈyːœ̯	-	0.572
ˈɑː	-	0.558
ˈɪ	ˈɪ	0.557
ˈæ	ˈa	0.552
ˈoː	-	0.541
ˈʏː	-	0.538
ˈiːe̯	ˈiː	0.502
ˈʏ	ˈʏ	0.5
ˈʏ	ˈɛ	0.5
ˈiːe̯	-	0.498
v	-	0.495
ˈɑ	-	0.471
ˈʉə̯	-	0.469
ˈʏː	ˈyː	0.462
ˈɔː	ˈɔː	0.456
ˈæ	-	0.448
tː	t	0.445
ˈɑː	ˈɔː	0.442
ˈyːœ̯	ˈeː	0.428
j	-	0.42
ʉ	-	0.416
ˈɪː	ˈɪ	0.408
ˈɑːi̯	ˈiː	0.408
ˈœː	-	0.404
r	r	0.398
ɡː	ç	0.395
ˈʉː	ˈʏ	0.387
ˈɪː	ˈiː	0.387
ˈo	ˈuː	0.38
ˈɔː	-	0.374
ˈɛ	-	0.355
ˈʉə̯	ˈuː	0.349
tʰ	d	0.346
r	ɐ	0.34
ˈɑːu̯	-	0.331
ʨ	-	0.318
ˈœː	ˈoː	0.307
ʉ	n	0.293
ʉ	ɪ	0.291
tː	d	0.29
ˈœː	ˈɔa̯	0.289
ˈoː	h	0.271
tː	x_t	0.266
v	f	0.258
d	-	0.248
v	ə_f	0.247
l	lʲ	0.244
ɛ	-	0.243
nː	ɐ	0.232
ˈɛ	ˈeː	0.231
ˈɛ	ˈaɪ̯	0.221
ˈʉ	ˈɛ	0.216
ˈɑ	ˈa	0.214
ˈɪː	ˈeː	0.206
ð	-	0.2
ˈɪ	ˈʊ	0.198
ˈɛ	ˈɛ	0.193
ˈoː	ˈoː	0.188
j	ˈiː	0.185
ˈʉə̯	r	0.182
nː	-	0.182
ˈʉ	-	0.18
j	j	0.18
r	ʁ̥	0.177
ˈɔː	ˈɔa̯_l	0.17
ˈɪ	ˈɛ	0.165
ˈɑ	ˈœ	0.156
ˈʉːə̯	ˈœ	0.148
d	t	0.128
j	ˈeː	0.114
k	-	0.109
ˈʉːə̯	ˈɔ	0.107
j	h	0.101
ˈʉːə̯	ˈøː	0.093
ˈɑ	ˈeː	0.085
r	-	0.084
ˈɪ	-	0.08
w	-	0.076
ˈɑ	ˈaː	0.073
s	ʃ	0.072
n	nʲ	0.072
n	-	0.063
t	-	0.061
