Campidanese	Campidanese	probability
ˈɛ_u	ˈi_o	1.0
ˈɔ_z	ˈo	1.0
ˈɔ_n	ˈo_n	1.0
ˈu_ɾ	ˈu_r	1.0
ˈa_ð	ˈa	1.0
ˈa_k	ˈa_kː	1.0
ʧ	-	1.0
ɾ_ˈɛ	r_ˈe	1.0
ɾ_ˈo	ˈɔ_r	1.0
ɾ_ˈa	ˈa	1.0
ɾ_u	r_o	1.0
ɲ	ɲː	1.0
ɣ_a	ɡ_a	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ɔ̆_#>	#>	1.0
ŋ	ŋ	1.0
w	w	1.0
u_ɾ	r_o	1.0
p_ɾ	p	1.0
p	p	1.0
o	o_r	1.0
n_ʤ	ɲː	1.0
n_i_#>	#>	1.0
l_i	l_e	1.0
l_a	l_a	1.0
ĭ	-	1.0
i_ɣ	i_k	1.0
d	d	1.0
ă	e	1.0
a_n	a_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʤ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a_r	<#_r	1.0
<#_a	<#_a	1.0
<#	<#_d	1.0
#>	e_#>	1.0
a	a	0.959
f	f	0.958
n	n	0.956
m	m	0.944
l	l	0.935
ð	t	0.929
k	k	0.927
s	s	0.909
u	o	0.86
z	-	0.812
ɖː	lː	0.8
ˈe	ˈɛ	0.789
ŭ_#>	#>	0.75
i	e	0.725
ˈa	ˈa	0.707
ʒ	ʧ	0.7
ɭː	ʎː	0.667
ɔ	o	0.667
nː	n	0.667
e	e	0.667
ˈi	ˈi	0.659
j	j	0.625
ɾ	r	0.611
t	t	0.605
ʤ	-	0.571
ʃ	ʃː	0.571
ˈɛ	ˈɛ	0.567
b	v	0.526
ˈu	ˈu	0.514
ʦ	ʦ	0.5
ʦ	-	0.5
b	b	0.474
ɣ	ɡ	0.455
β	-	0.444
ˈɔ	ˈɔ	0.429
ʤ	ʤ	0.429
ʃ	-	0.429
r	r_n	0.429
j	-	0.375
ɣ	kː_j	0.364
ˈu	ˈo	0.351
t	tː	0.342
ˈi	ˈe	0.341
β	p	0.333
ˈo	ˈɔ	0.333
ɭː	lː	0.333
ɔ	i	0.333
nː	nː	0.333
e	-	0.333
ʒ	-	0.3
ˈo	ˈo	0.286
ˈo	w_ˈɔ	0.286
r	rː	0.286
r	r	0.286
ˈɔ	ˈo	0.25
ŭ_#>	j_#>	0.25
ˈɛ	ˈe	0.233
ˈa	ˈa_r	0.224
β	p_r	0.222
ˈe	ˈe	0.211
ɖː	-	0.2
ɣ	k	0.182
ˈɔ	w_ˈɔ	0.179
ɾ	-	0.148
i	-	0.138
ˈu	ˈɔ	0.135
ˈɛ	j_ˈɛ	0.133
ɾ	j	0.13
z	z	0.125
i	i	0.101
ˈo	ˈu	0.095
s	sː	0.091
ɾ	e_r	0.074
k	kː	0.073
ˈɔ	ˈu	0.071
ˈɔ	r	0.071
ð	dː	0.071
ˈɛ	-	0.067
l	-	0.065
z	ʣː	0.062
u	-	0.056
m	mː	0.056
t	-	0.053
