Standard German	Old High German	probability
ˈʏ	ˈu	1.0
ˈʊ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈøː	ˈoː	1.0
ˈuː	ˈuo̯	1.0
ˈiː_ɐ	ˈi_r	1.0
ˈa	ˈɑ	1.0
ɡ_ʁ	ɡ_r	1.0
ɐ_t	r_t	1.0
ɐ_n	r_n	1.0
z_ˈa	s_ˈɑ	1.0
z	s	1.0
v_ˈa	w	1.0
s_t	s_t	1.0
p͡f	p͡f	1.0
p	p	1.0
n_ə	nː_ɑ	1.0
kʰ	kʰ	1.0
k_s	x_s	1.0
j	j	1.0
h	h	1.0
eː	ɛ_h	1.0
d_ʁ	d_r	1.0
a	oː	1.0
v	w	0.986
f	f	0.977
m	m	0.967
ɡ	ɡ	0.946
t	t	0.944
ʁ	r	0.938
l	l	0.935
b	b	0.887
ˈɔ	ˈo	0.831
ʦ	ʦ	0.83
k	kː	0.795
d	d	0.786
ɐ	r	0.781
ç	x	0.768
ˈɔʏ̯	ˈiu̯	0.73
ˈiː	ˈio̯	0.729
ˈyː	ˈuo̯	0.719
n	n	0.694
ˈaː	ˈɑ	0.667
ˈɛ	ˈɛ	0.661
ˈɛː	ˈɑ_h	0.642
ə	ɑ	0.623
ʃ	s_k	0.612
ˈaʊ̯	ˈuː	0.588
s	s̻	0.567
x	x	0.56
ˈaɪ̯	ˈei̯	0.548
ŋ	ŋ_ɡ	0.529
d̥	t	0.504
ɪ_ç	ɡ	0.5
ɪ_ç	ɑ_ɡ	0.5
d̥	d	0.496
ŋ	ŋ	0.471
ˈaɪ̯	ˈiː	0.452
ˈoː	ˈoː	0.448
s	s̻ː	0.433
ʃ	s	0.388
ˈaʊ̯	ˈou̯	0.374
ˈɛː	ˈɑː	0.358
ˈɛ	ˈe	0.339
ˈaː	ˈɑː	0.333
ˈeː	ˈɛ	0.329
ˈoː	ˈo	0.312
x	xː_e	0.286
ˈyː	ˈu	0.281
ˈɔʏ̯	-	0.27
ˈeː	ˈeː	0.263
ˈoː	ˈɑː	0.24
ç	xː	0.232
ˈeː	ˈe	0.218
ˈiː	ˈi	0.209
k	k	0.205
ˈeː	ˈɛ_h	0.19
n	ɑ_n	0.173
ʦ	ʦː	0.17
ˈɔ	-	0.169
x	xː	0.154
ɐ	ɑ_r	0.138
ə	o	0.136
d	d_ɑ	0.126
ə	i	0.119
b	b_ɑ	0.113
d	t_ɑ	0.088
ˈiː	ˈie̯	0.063
ʁ	-	0.062
ə	ə	0.061
ə	e	0.061
n	nː	0.057
t	tː	0.056
ɡ	ɡ_ɑ	0.054
