Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	a	1.0
ˈu_n	ˈɔ_n	1.0
ˈo_w	ˈɔ_i	1.0
ˈe_k	ˈɛ	1.0
ʧ	-	1.0
ʤ	ʤ	1.0
ʎ_i	a	1.0
ʃ_t	ʃ	1.0
ɲ	m	1.0
ɨ	-	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	-	1.0
w	u	1.0
v	b	1.0
r_u	u	1.0
r_n	r	1.0
r_i	i	1.0
r_#>	l_u_#>	1.0
p_t	t	1.0
p_r	β	1.0
n_j	ɲ	1.0
n_#>	n_u_#>	1.0
l_#>	ɖː_u_#>	1.0
k_ˈo	k_ˈo	1.0
k_ʎ	ɣ	1.0
k_ə	k_a	1.0
k_u	k_u	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	ɣ_u_#>	1.0
i_m	i_m	1.0
i_#>	#>	1.0
e̯a	-	1.0
e	i	1.0
a	a	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
s	s	0.875
ˈa	ˈa	0.857
o̯ˈa	ˈɔ	0.857
b	b	0.857
f	f	0.8
m	m	0.769
i	i	0.767
n	n	0.759
l	ɾ	0.75
ə	a	0.738
p	p	0.727
ˈu	ˈu	0.72
ʎ	ɭː	0.714
u	u	0.692
r	ɾ	0.625
ˈi	ˈi	0.621
i_r	ɾ	0.6
t	t	0.586
ˈe	ˈe	0.571
ʃ	s	0.571
#>	u_#>	0.56
<#	<#_ʧ	0.5
<#	<#_a	0.5
k	k	0.478
d	-	0.467
j	-	0.444
ˈo	ˈo	0.438
ʃ	-	0.429
ʦ	ʒ	0.4
i_r	i	0.4
e̯ˈa	ˈi	0.4
d	d	0.4
ʣ	ʤ	0.364
ʣ	-	0.364
j	ŭ	0.333
e̯ˈa	ˈɛ	0.3
ˈe	ˈi	0.286
ʎ	ɾ	0.286
#>	i_#>	0.28
ʣ	d	0.273
ˈo	ˈu	0.25
l	-	0.25
ˈi	ˈɛ	0.241
t	ð	0.241
m	-	0.231
j	b	0.222
ˈu	ˈo	0.2
ʦ	k	0.2
f	-	0.2
ˈo	ˈɔ	0.188
k	ɣ	0.174
t	-	0.172
n	nː	0.172
#>	a_#>	0.16
u	o	0.154
u	-	0.154
ˈe	ˈɛ	0.143
ˈa	ˈɛ	0.143
ə	i	0.143
r	r	0.143
o̯ˈa	ˈu	0.143
b	-	0.143
ʦ	ʧ	0.133
ʦ	ʦ	0.133
ʦ	-	0.133
d	d_ɾ	0.133
ˈo	ˈɔ_z	0.125
s	-	0.125
r	-	0.125
ə	u	0.119
e̯ˈa	ˈe	0.1
e̯ˈa	ˈa	0.1
e̯ˈa	j	0.1
p	p_ɾ	0.091
p	k_w	0.091
p	-	0.091
k	p	0.087
k	k_ɾ	0.087
k	k_u	0.087
k	-	0.087
ˈu	ˈi	0.08
r	l	0.071
ˈi	ˈe	0.069
ˈi	-	0.069
n	-	0.069
i	u	0.067
