Aromanian	Aromanian	probability
ˈə	ˈi	1.0
ˈo_s	ˈɔ_s	1.0
ˈo_k	ˈɛ_w	1.0
ˈi_r	ˈi_r	1.0
ˈa_v	ˈɔ	1.0
ˈa_p	ˈɛ	1.0
ˈa_l	ˈa_w	1.0
ʧ	-	1.0
ʃ	s	1.0
ɨ	ã	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
z	v	1.0
v	v	1.0
u_r	r	1.0
t_ˈi	ˈa	1.0
t_ˈa	t_ˈe	1.0
t_i	θ	1.0
r_t	r_t	1.0
r_n	r	1.0
r_#>	l_#>	1.0
o̯ˈa_p	ˈy_j	1.0
n_#>	n_#>	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	ʧ_ə	1.0
k_r	k_r	1.0
k_#>	#>	1.0
i_r	r	1.0
i_d	ə_ˈɔ	1.0
f	f	1.0
e̯ˈa_m	ˈã_m	1.0
e̯a	ˈɔ	1.0
<#_ˈo	<#	1.0
<#_ʦ	<#_ʦ	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
r	r	0.879
m	m	0.857
b	b	0.846
n_ə	n_ə	0.8
ə	ə	0.778
t	t	0.76
n	n	0.714
ɲ	m	0.667
n_i	n	0.667
p	p	0.652
s	s	0.643
ˈɨ	ˈã_j	0.636
u	-	0.63
ʤ	ʤ	0.6
d	-	0.6
j	v	0.583
i	-	0.581
w	ˈɛ_f	0.571
ʎ	ʎ	0.538
ɡ	ɡ	0.5
o̯ˈa	ˈɔ	0.5
o̯ˈa	-	0.5
e	ə	0.5
e	-	0.5
#>	ə_#>	0.5
ʎ	l	0.462
ʣ	d	0.444
ʦ	-	0.429
w	-	0.429
ˈo	w	0.417
ʤ	-	0.4
d	t	0.4
ˈe	ˈɛ	0.385
#>	s_#>	0.375
ʦ	ʦ	0.357
s	e_s	0.357
ˈu	ˈũ	0.346
k	k	0.344
i	ə	0.338
ˈo	ˈu	0.333
ʣ	ʤ	0.333
ɲ	ɲ	0.333
n_i	n_d	0.333
ˈi	ˈi	0.31
ˈa	ˈɛ	0.3
ˈa	ˈa	0.3
ɡ	-	0.3
ˈu	ˈy	0.269
ˈa	ˈe	0.267
ˈo	ˈɔ	0.25
j	s	0.25
e̯ˈa	ˈɔ_j	0.25
ˈi	ˈẽ	0.241
ˈu	ˈu	0.231
ˈe	ˈi	0.231
ˈe	j_ˈɛ	0.231
ʣ	-	0.222
u	u	0.222
k	ʧ	0.219
p	-	0.217
ʦ	k	0.214
ɡ	j	0.2
n_ə	ə	0.2
e̯ˈa	j	0.2
n	-	0.19
ˈɨ	ˈã	0.182
ˈɨ	j	0.182
j	ə	0.167
t	-	0.16
ˈe	ˈɔ_j	0.154
b	-	0.154
e̯ˈa	ˈɛ	0.15
e̯ˈa	ˈe	0.15
m	n	0.143
ˈi	ˈĩ	0.138
ˈi	-	0.138
p	v	0.13
#>	n_#>	0.125
ə	a	0.111
ə	-	0.111
u	ə	0.111
ˈi	j	0.103
e̯ˈa	ˈɔ	0.1
e̯ˈa	ˈi	0.1
n	ŋ	0.095
k	ʧ_j	0.094
k	-	0.094
r	l	0.086
i	j	0.081
t	r	0.08
ˈu	ˈỹ	0.077
ˈu	j_s	0.077
ˈi	j_ˈẽ	0.069
ˈa	ˈũ	0.067
ˈa	-	0.067
k	ˈɛ	0.062
k	ʦ	0.062
k	p	0.062
k	j	0.062
