Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ	-	1.0
́_ɡ	ɡ̊	1.0
́_ŋ	u	1.0
́_r	r	1.0
́	-	1.0
ˀ_w	v	1.0
ˀ_t	d	1.0
ˀ_#>	#>	1.0
ˀ	-	1.0
ʃ	x	1.0
ɛ	ɛ	1.0
ŋ	u	1.0
z	z	1.0
uː_́ˀ	ɨ	1.0
u_s_#>	#>	1.0
u	-	1.0
t_i	ɕ	1.0
t_ei̯	ɕ	1.0
sʲ	s	1.0
s_#>	#>	1.0
r_e	rʲ	1.0
p	p	1.0
o	-	1.0
k_a	k	1.0
ei̯	-	1.0
d_u	d̥	1.0
d_a	d̥	1.0
b	b	1.0
aː_́ˀ	a	1.0
au̯	u	1.0
a_s	ɨ	1.0
a_n	u	1.0
<#_s	<#_s	1.0
<#_d	<#_d	1.0
<#_a	<#_v	1.0
<#	<#_j	1.0
#>	ɔ_#>	1.0
aː	a	0.846
t	t	0.818
r	r	0.722
oː	a	0.714
a_#>	ɔ_#>	0.714
zʲ	z	0.7
d	d	0.667
ai̯	ɪ	0.667
n	n	0.643
eː	-	0.6
a_́	ɔ	0.6
l	w	0.588
i	-	0.588
ɡ	ɡ	0.533
m	m	0.5
k	k	0.5
j	j	0.5
j	-	0.5
a	-	0.5
s	s	0.462
e	-	0.444
w	vʲ	0.438
w	v	0.438
l	l	0.412
eː	ɛ	0.4
a_́	ɨ	0.4
e_́	ɔ	0.375
e_́	a	0.375
m	mʲ	0.357
k	ʦ	0.333
e	ɔ	0.333
d	ʑ	0.333
ai̯	j	0.333
a	ɛ	0.3
i	e	0.294
oː	-	0.286
n	-	0.286
a_#>	#>	0.286
ɡ	-	0.267
e_́	rʲ	0.25
s	i	0.231
e	e	0.222
zʲ	ɡ	0.2
a	ɔ	0.2
t	-	0.182
r	-	0.167
k	s	0.167
s	ɨ	0.154
s	-	0.154
aː	-	0.154
m	-	0.143
ɡ	ʐ̊	0.133
w	-	0.125
i	a	0.118
r	rʲ	0.111
zʲ	z̥	0.1
n	nʲ	0.071
ɡ	ʒ	0.067
