Western Lombard	Western Lombard	probability
ˈɛ_ʧ	w_ˈɛ	1.0
ˈɛ_#>	ˈøː_ʀ_#>	1.0
ˈɔ_r	w_ˈa	1.0
ˈɔ_l	ˈoː	1.0
ˈɑː_ɡ	ˈɔː	1.0
ˈɑː_d	ˈɛ	1.0
ˈœ	ˈuː	1.0
ˈøː_k	ˈøː	1.0
ˈøː_f	ˈuː	1.0
ˈỹ	-	1.0
ˈyː_ɲ	ˈœ̃	1.0
ˈy	-	1.0
ˈũ	ˈɔ̃	1.0
ˈoː	ˈoː	1.0
ˈo	ˈa	1.0
ˈẽ	ˈɛ̃	1.0
ˈe	ˈɛ	1.0
ˈa_#>	ˈiː_#>	1.0
ʧ_#>	#>	1.0
ʤ	-	1.0
ʃ	t	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
w	w	1.0
v_ˈɔ	ˈyː	1.0
v_y	ɛː	1.0
ũ	ɔ̃	1.0
t_#>	#>	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_t	ʀ	1.0
p_#>	#>	1.0
p	p	1.0
n_a_#>	#>	1.0
n_#>	#>	1.0
l_s_#>	#>	1.0
k_#>	#>	1.0
j_ˈɔ	z	1.0
ĩ	ẽ	1.0
f_j	f	1.0
ẽ	n	1.0
e_r_#>	#>	1.0
ã	ɑ̃	1.0
a_v	f	1.0
<#_ʧ	<#_s	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
a_#>	#>	0.922
f	f	0.92
m	m	0.885
b	b	0.875
r	ʀ	0.83
v	v	0.818
n	n	0.812
t	t	0.783
j	l	0.727
ˈĩ	ˈẽ	0.714
a	a	0.692
e	-	0.682
ʒ	ʤ	0.667
z	-	0.667
i	-	0.667
s	s	0.643
ˈuː	-	0.625
u	ɔ	0.6
l	l	0.6
ɡ	ɡ	0.583
k	k	0.579
l_#>	ˈa_#>	0.562
ˈiː	ˈɛ	0.545
d	-	0.522
ˈɔ	ˈɔ	0.5
ˈøː	ˈuː	0.5
ˈøː	-	0.5
ˈi	ˈi	0.5
ˈã	ˈɑ̃	0.5
ʧ	k_l	0.5
ʧ	-	0.5
y	ɔ	0.5
y	-	0.5
d	d	0.478
l_#>	#>	0.438
ˈɛ	j	0.423
ˈa	ˈe	0.421
k	ʧ	0.421
ɡ	-	0.417
ˈuː	ˈøː	0.375
ˈu	ˈɔ	0.357
ˈɑː	ˈa	0.348
ˈyː	ˈøː	0.333
ʒ	ʒ	0.333
z	s	0.333
i	ˈi	0.333
ˈa	-	0.316
ˈɔ	ɔ	0.3
ˈi	ˈiː	0.3
ˈĩ	-	0.286
ˈeː	w	0.286
ˈeː	j	0.286
ˈiː	-	0.273
j	-	0.273
#>	ˈe_#>	0.273
#>	ˈa_#>	0.273
#>	ʀ_#>	0.273
ˈɛ	ˈɛ	0.269
l	j	0.267
ˈa	ˈɔː	0.263
ˈã	ˈɛ̃	0.25
ˈã	w_ˈɛ̃	0.25
ˈɛ	-	0.231
ˈyː	ˈɔ	0.222
ˈyː	ˈu	0.222
ˈyː	-	0.222
ˈɑː	ˈe	0.217
ˈu	ˈuː	0.214
ˈeː	ˈiː	0.214
ˈeː	-	0.214
s	ʃ	0.214
ˈɔ	-	0.2
ˈi	w_ˈɛ	0.2
u	uː	0.2
u	-	0.2
n	-	0.188
ˈiː	ˈiː	0.182
v	f	0.182
#>	ˈiː_#>	0.182
r	-	0.17
a	ɛ	0.154
a	-	0.154
ˈu	ˈu	0.143
ˈu	ˈoː	0.143
ˈu	-	0.143
e	ˈɛː	0.136
e	i	0.136
l	-	0.133
ˈɑː	ˈɛ	0.13
ˈɑː	-	0.13
t	-	0.13
b	-	0.125
m	-	0.115
ˈɑː	ˈɔː	0.087
ˈɑː	ˈiː	0.087
t	ʀ	0.087
f	-	0.08
a_#>	j_#>	0.078
ˈɛ	w_ˈɛ	0.077
s	ˈɛ	0.071
s	ɛ_s	0.071
