East Frisian Low Saxon	East Frisian Low Saxon	probability
ˈʏə̯	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯_#>	ˈiː_#>	1.0
ˈɛːɪ̯	ˈaɪ̯	1.0
ˈɔː	ˈoː	1.0
ˈɑːʊ̯	-	1.0
ˈœːy̯	ˈuː	1.0
ˈœy̯	ˈiː	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈuː	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈiː	1.0
ˈyː	ˈaɪ̯	1.0
ˈuːu̯	ˈaʊ̯	1.0
ˈiːi̯	ˈaɪ̯	1.0
ˈiː_#>	ˈiː_ɐ_#>	1.0
ˈiː	ˈaɪ̯	1.0
ˈeːe̯	-	1.0
ʊ	ɾ	1.0
ɫ	l	1.0
ɡ̊	i	1.0
ɡ_n	ŋ	1.0
ə	-	1.0
ɑɪ̯	eː	1.0
ŋ	ŋ	1.0
z̥	s	1.0
w	v	1.0
v̥_#>	b̥_#>	1.0
v_n	m	1.0
s_k	ʃ	1.0
s	ʃ	1.0
r	r	1.0
p_#>	f_#>	1.0
o	ˈɒ	1.0
n_ɐ	n_ɐ	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
k_ˈɑː	ˈa	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
b	b̥	1.0
<#_ˈɑːɑ̯	<#_ˈɒ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_ˈɒ	1.0
d	d̥	0.912
ɐ	ɐ	0.9
ɡ	ɡ̊	0.857
z	s	0.857
v	v	0.826
ˈʊ	ˈʊ	0.8
ˈɑʊ̯	ˈuː	0.8
ˈuː	ˈaʊ̯	0.8
#>	a_#>	0.8
ˈøː	-	0.778
n	n	0.774
ˈɪ	ˈɪ	0.667
k	ɡ̊	0.667
ˈɑ	ˈɒ	0.632
ˈeː	ˈɛ	0.625
ˈɔ	ˈɔ	0.6
ˈɒː	ˈoː	0.6
ˈœ	-	0.6
χ	x	0.571
k_#>	#>	0.556
ˈæɪ̯	ˈaː	0.526
ˈʏ	ˈɪ	0.5
ˈʏ	-	0.5
ˈɛ	ˈɛ	0.5
ˈɒːɒ̯	ˈoː	0.5
ˈɒːɒ̯	-	0.5
ˈɑːɑ̯	ˈɒ	0.5
ˈɑːɑ̯	-	0.5
ˈɑː	ˈɒ	0.5
s_#>	ɡ̊_s_#>	0.5
s_#>	n_s_#>	0.5
p	b̥͡v̥	0.5
k_#>	ç_#>	0.444
χ	ç	0.429
ˈœ	ˈʊ	0.4
ˈoː	ˈuː	0.4
ˈeː	-	0.375
ˈæɪ̯	ˈiː	0.368
t	d̥	0.364
ˈɒː	-	0.333
ˈoː	ˈaː	0.333
ɣ̊	x	0.308
ˈɛ	-	0.3
t	s	0.273
ˈoː	ˈɔ	0.267
ˈɑː	ˈɛ	0.25
ˈɑː	-	0.25
p	v̥	0.25
p	f	0.25
ɣ̊	ɡ̊_n	0.231
ɣ̊	ɡ̊	0.231
ɣ̊	ç	0.231
ˈøː	ˈiː	0.222
ˈɑ	ˈoː	0.211
ˈʊ	ˈɔ	0.2
ˈɛ	ˈɪ	0.2
ˈɔ	ˈʊ	0.2
ˈɔ	ˈɒ	0.2
ˈɑʊ̯	-	0.2
ˈuː	-	0.2
#>	ˈuː_#>	0.2
k	x	0.185
v	v_ˈɔ	0.174
ˈɪ	ˈiː	0.167
t	ʦ	0.159
ˈɑ	-	0.158
ɡ	-	0.143
z	-	0.143
t	z̥	0.136
n	a	0.113
ˈæɪ̯	-	0.105
d	-	0.088
ˈɪ	ˈaɪ̯	0.083
ˈɪ	-	0.083
ɐ	-	0.075
k	n	0.074
k	-	0.074
ˈɒː	ˈɒː	0.067
