Megleno-Romanian	Franco-Provençal	probability
f	f	1.0
v	v	1.0
z	-	1.0
ŋ	-	1.0
ʃ	s	1.0
ʒ	ð	1.0
ʧ	-	1.0
e̯ˈa	ˈɛː	0.081
m	-	0.231
t	-	0.371
ˈa	ˈoː	0.061
ˈa	ˈa	0.201
ˈi	ˈe	0.261
ˈo	ˈo	0.501
ˈu	<#_f	0.261
b	-	0.102
d	-	0.712
i	ə	0.862
t	ð	0.252
w	w	0.872
ʎ	-	0.122
ˈa	ˈɛː	0.222
ˈe	ˈɛː	0.272
ˈe	j	0.372
ˈi	ˈɛ̃	0.112
ˈo	-	0.052
ˈu	ˈoː	0.052
ˈu	<#_j	0.052
ˈu	w	0.132
j	-	0.933
u	-	0.563
ɡ	ɡ	0.663
ʦ	-	0.413
ˈa	ˈɑ̃	0.053
ˈa	ˈɛ	0.123
ˈo	ˈa	0.063
l	l	0.664
n	-	0.474
s	-	0.194
ˈa	ˈaː	0.134
ˈi	-	0.114
ˈu	-	0.054
m	ɡ	0.05
o̯ˈa	o_#>	0.365
o̯ˈa	ˈoː	0.635
p	-	0.415
ə	a	0.425
ˈi	ˈi	0.195
ˈɔ	-	0.375
k	k	0.206
l	-	0.336
r	-	0.166
s	s	0.806
u	ʁ_o	0.16
ə	ə	0.406
ˈa	ˈe	0.056
ˈe	ˈe	0.356
ˈo	ˈe	0.276
ˈu	ˈɔ̃	0.366
j	ʒ	0.067
k	-	0.247
p	p	0.407
r	l	0.207
r	ʁ	0.627
t	t	0.377
ɡ	-	0.337
ʦ	s	0.587
ˈi	ˈĩ	0.317
ˈɔ	ˈa	0.227
b	b	0.898
d	d	0.288
i	a	0.138
k	ʃ	0.548
n	n	0.488
u	o	0.278
w	f	0.128
ʎ	ʎ	0.688
ˈo	ˈu	0.108
ˈɔ	ˈɑ̃	0.398
e̯ˈa	ˈɛ	0.919
m	m	0.719
p	v	0.179
ə	-	0.169
ʎ	l	0.19
ˈa	ˈɑː	0.069
