Catalan	Catalan	probability
β_ə	b_ɐ	1.0
β	v	1.0
ˈɛ_w	ˈou̯_z	1.0
ˈi_t	ˈɛə̯_t	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_s	ˈɛə̯_s	1.0
ˈa_r	ˈeə̯_r	1.0
ˈa_l	ˈeə̯	1.0
ʧ	ð	1.0
ʤ	-	1.0
ʎː	j	1.0
ʃ	s	1.0
ɾ_ˈɛ	r_ˈɛ	1.0
ɾ_ˈa	r_ˈʌ̃	1.0
ɣ_ə	ɡ_ɐ	1.0
ɣ	ɡ	1.0
ə_β	ɐ_v	1.0
ə_s_#>	i_#>	1.0
ə_n	n	1.0
ə_l	ɐ_l	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ð	d	1.0
t_ɾ	t	1.0
t	t	1.0
s_#>	#>	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
n_#>	n_t_#>	1.0
mː	t_m	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈa	ˈaː	1.0
l_#>	l_#>	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_t	t	1.0
j	-	1.0
f	f	1.0
d_ˈi	d_ˈɛ	1.0
d	d	1.0
<#_ˈɔ	<#_ˈɔə̯	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
n	n	0.913
ə	ɐ	0.837
ɡ	ɡ	0.833
ɾ	r	0.818
ɾ_ə	ɐ_r	0.778
ɲ	ɲ	0.75
u	u	0.737
t_#>	d_#>	0.667
i	i	0.667
ʎ	l	0.652
s	s	0.647
ʒ	ð	0.615
w_#>	θ_#>	0.6
l	l	0.588
ˈa_#>	ˈeə̯_#>	0.571
b	v	0.515
ˈi	ˈi	0.5
z	j	0.5
z	-	0.5
w	v	0.5
b	b	0.485
ˈo	ˈo	0.444
ˈu	ˈo	0.435
ˈa_#>	ˈʌ̃_#>	0.429
l	j	0.412
ˈɔ	ˈɔə̯	0.4
w_#>	#>	0.4
ˈa	ˈeə̯	0.391
ˈo	ˈou̯	0.389
ˈɛ	ˈɛ	0.367
ˈe	ˈɛə̯	0.345
t_#>	#>	0.333
i	-	0.333
ˈa	ˈʌ̃	0.326
ˈe	ˈɛ	0.31
#>	ɐ_#>	0.304
#>	r_#>	0.304
s	θ	0.294
ˈa	ˈa	0.283
ˈɛ	ˈeː	0.267
u	-	0.263
ˈi	ˈẽ	0.25
ɲ	n	0.25
ʒ	-	0.231
ɾ_ə	r	0.222
ˈu	ˈɔ	0.217
ˈu	ˈu	0.217
ʎ	ʧ	0.217
ɾ	-	0.182
ˈɔ	ˈɔ	0.171
ˈo	ˈõũ̯	0.167
ˈi	ˈɛ	0.167
ɡ	ʤ	0.167
ʒ	ʤ	0.154
w	z	0.15
w	-	0.15
ˈɔ	ˈou̯	0.143
ˈɔ	ˈo	0.143
ˈɛ	ˈɛə̯	0.133
ˈɛ	ˈi	0.133
ˈu	-	0.13
ʎ	-	0.13
#>	ˈeə̯_#>	0.13
#>	v_#>	0.13
#>	j̃_#>	0.13
ˈe	ˈi	0.103
ˈe	ˈeː	0.103
w	ɐ	0.1
w	v_ɐ	0.1
n	ɐ_n	0.087
ˈɔ	ˈu	0.086
ˈi	j_ˈɔə̯	0.083
ˈe	ˈẽ	0.069
ˈɛ	-	0.067
s	z	0.059
ə	a	0.058
ˈɔ	ˈõũ̯	0.057
