Swedish	Swedish	probability
ˈɵ_ŋː	ɡʷ	1.0
ˈɪ_s	ˈi_s	1.0
ˈœː	ˈɑu̯	1.0
ˈæ	ˈe	1.0
ˈeː_#>	ɑ_n_ɑ̃_#>	1.0
ˈa	ˈɑ	1.0
ʊ	u	1.0
ʈː	r_t	1.0
ʈ	t_u	1.0
ʂ	r_s	1.0
ɵ	-	1.0
ɳ	r_n	1.0
ɪ	iː	1.0
ɛ_n	n	1.0
ɛ_l	l_ɑ	1.0
ɖ	r_ð	1.0
ɕ	k	1.0
ɔ	e_x	1.0
ŋː	ɡ	1.0
tʰ_ˈœ	θ_ˈu	1.0
tʰ	θ	1.0
sː	sː	1.0
rː	r	1.0
r_ˈɛ	r_ˈi	1.0
r_j	r_ɣ	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
lː	lː	1.0
kʰ	kʷ	1.0
k_#>	k_s_#>	1.0
jː	ɣ_j	1.0
h	x	1.0
f	ɸ	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈɵ	<#_ˈu	1.0
<#_ˈɛ	<#_ˈɑi̯	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_ɣ	1.0
<#_ɕ	<#	1.0
<#_v	<#_w	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_l	1.0
<#_d	<#_d	1.0
s	s	0.938
n	n	0.882
ˈɑː	ˈɑ	0.875
ɡ	ɣ	0.867
mː	m	0.857
ɡː	ɣ_j	0.833
t	t	0.815
l	l	0.811
r	r	0.774
ˈɪ	ˈi	0.769
ˈɵ	ˈu	0.75
ˈeː	ˈɑi̯	0.727
ˈʏ	ˈu	0.714
ˈuː	ˈɔː	0.688
ˈæː	-	0.667
ˈiː	ˈiː	0.667
ɛ_r	r	0.667
ŋ	ŋ_ɡ	0.667
pː	p	0.667
ˈɔ	ˈu	0.6
tː	t	0.583
a	ɑ_n	0.536
k	k	0.526
ˈøː	ˈɑu̯	0.524
v	β	0.524
ˈʊ	ˈu_ŋ	0.5
ˈʊ	ˈu	0.5
ˈɛː	ˈe	0.5
ˈyː	ˈiu̯	0.5
ˈyː	ˈeu̯	0.5
ɧ	s_k	0.5
ɧ	s	0.5
j_ˈʉː	ˈeu̯	0.5
j_ˈʉː	d_ˈeu̯	0.5
<#	<#_x	0.5
ˈʉː	ˈuː	0.476
nː	nː	0.444
kː	k	0.429
tː	x_t	0.417
j	ˈe	0.417
ˈɛ	ˈɑ	0.409
#>	ɑ̃_#>	0.402
d	ð	0.382
ˈʉː	ˈeu̯	0.333
ˈœ	ˈu	0.333
ˈæː	ˈeː	0.333
ˈoː	ˈɛː	0.333
ɛ_r	r_u	0.333
ɛ	ɔːː	0.333
ŋ	-	0.333
pː	pː	0.333
nː	n_θ	0.333
<#	<#_w	0.333
d	d	0.324
#>	ɑ_z_#>	0.321
ˈɛ	ˈe	0.318
ˈʏ	ˈe	0.286
kː	ŋ_k	0.286
kː	kː	0.286
ˈeː	ˈi	0.273
ˈɵ	w_ˈu	0.25
ˈɛː	ˈɑ	0.25
ˈɛː	ˈe_w	0.25
j	ɣ	0.25
ˈøː	ˈɔː	0.238
v	w	0.238
ˈɪ	ˈi_ŋ	0.231
ˈœ	ˈɑu̯	0.222
ˈœ	ˈe	0.222
ˈœ	-	0.222
nː	n	0.222
#>	z_#>	0.212
k	k_i	0.211
ˈɔ	ˈe	0.2
ˈɔ	-	0.2
ˈiː	ˈi	0.2
a	ɔ̃ː	0.196
ˈʉː	-	0.19
ˈuː	ˈu	0.188
t	t_s	0.185
ɡː	jː	0.167
ɛ	ɛː	0.167
ɛ	ɑ	0.167
ɛ	u	0.167
ɛ	e	0.167
j	x	0.167
j	-	0.167
<#	<#_j	0.167
k	x	0.158
d	θ	0.147
ˈøː	-	0.143
ˈoː	ˈɑi̯	0.143
ˈoː	ˈɑ_x	0.143
ˈoː	ˈɑ	0.143
ˈoː	ˈu	0.143
v	xʷ	0.143
mː	mː	0.143
ˈɛ	ˈi	0.136
ˈiː	ˈe	0.133
ɡ	k	0.133
ˈɑː	-	0.125
ˈuː	ˈuː_z	0.125
l	l_ɑ	0.108
k	kʷ_ɑ	0.105
ˈøː	ˈɑi̯_w	0.095
ˈoː	ˈɑː	0.095
v	i_ɸ	0.095
ˈɛ	ˈɑi̯	0.091
a	ɔːː	0.089
d	θ_ɑ̃	0.088
l	ɑ_l	0.081
r	-	0.075
a	ɑ	0.071
s	s_w	0.062
n	z	0.059
n	nː	0.059
d	θ_s	0.059
r	r_ɑ	0.057
r	i	0.057
a	ɔː	0.054
