East Low German	Ripuarian	probability
b	b	0.866
b	-	0.06
b	v	0.052
b	f	0.038
d	d	0.691
d	t	0.161
d	k	0.134
d	-	0.028
f	f	0.975
f	ə_f	0.035
f_t	p	1.0
h	h	0.943
h	k	0.059
j	j	1.0
k	k	0.531
k	ɕ	0.301
k	x	0.147
kʰ	k	0.886
kʰ	-	0.114
l	l	0.905
l	ə_l	0.053
l	-	0.029
l	l_ə	0.028
m	m	0.806
m	-	0.077
m	v_ə	0.073
m	n	0.039
n	n	0.613
n	ə	0.25
n	ŋ	0.117
n	-	0.03
p	p	0.543
p	f	0.448
r	ʀ	1.0
s	s	0.834
s	z	0.162
t	t	0.467
t	s	0.221
t	-	0.158
t	ʦ	0.097
t	k	0.051
tʰ	ʦ	0.86
tʰ	t	0.118
v	ʋ	0.893
v	v	0.103
w	ʋ	1.0
x	x	0.848
x	-	0.106
x	ɕ	0.038
z	z	0.925
z	m	0.072
æ	ɐ	0.895
æ	-	0.054
æ	ʀ	0.038
æ	ˈeː	0.032
ç	ɕ	0.651
ç	k	0.144
ç	-	0.111
ç	ŋ	0.068
ŋ	ŋ	0.758
ŋ	ə	0.1
ŋ	ɣ	0.077
ŋ	n	0.06
ɡ	j	0.584
ɡ	ɣ	0.258
ɡ	-	0.148
ɣ	ŋ	0.238
ɪ	ə	0.594
ɪ	ɪ	0.392
ɾ	d	0.875
ɾ	s	0.107
ʃ	ʃ	1.0
ˈa	ˈa	0.606
ˈa	ˈaː	0.333
ˈa	ˈɛ	0.058
ˈae̯	ˈeː	0.817
ˈae̯	ˈe	0.065
ˈae̯	ˈeɪ̯	0.059
ˈae̯	ˈiː	0.055
ˈaɪ̯	ʀ	0.488
ˈaʊ̯	ˈoː	0.704
ˈaʊ̯	ˈuː	0.234
ˈaʊ̯	ˈaʊ̯	0.042
ˈaʊ̯	ˈa	0.037
ˈaː	ˈɛː_ɐ	0.37
ˈaː	ˈɛ	0.322
ˈaː	ˈaː	0.137
ˈaː	ˈa	0.088
ˈeː	ˈiː	0.574
ˈeː	ˈeː	0.28
ˈiː	ˈiː	0.499
ˈiː	ˈɪ	0.114
ˈiː	ˈeɪ̯	0.087
ˈiː	ˈɛ	0.087
ˈiː	ˈɔʏ̯	0.072
ˈoː	ˈoː	0.425
ˈoː	ˈaʊ̯	0.18
ˈoː	ˈɛː	0.11
ˈoː	ˈʊ	0.104
ˈuː	ˈuː	0.397
ˈuː	ˈɔ	0.256
ˈuː	ˈaʊ̯	0.161
ˈuː	ˈoː	0.093
ˈuː	ˈyː	0.073
ˈuː_æ	ˈoː	1.0
ˈyː	ˈyː	0.603
ˈyː	ˈøː	0.165
ˈyː	ˈʏ	0.1
ˈøː	ˈyː	0.322
ˈøː	ˈʏ	0.322
ˈœ	ˈɛ	0.415
ˈœ	ˈaʊ̯	0.22
ˈœ	ˈɔ	0.202
ˈœː	ˈœ	0.297
ˈœː	ˈaʊ̯	0.18
ˈœː	ˈɪ	0.18
ˈœː	ˈʏ	0.18
ˈɒː	ˈoː	0.362
ˈɒː	ˈaː	0.18
ˈɒː	ˈɔ	0.123
ˈɒː	ˈa	0.081
ˈɒː	ˈøː	0.081
ˈɔ	ˈɔ	0.327
ˈɔ	ˈa	0.199
ˈɔ	ˈo	0.173
ˈɔ	ˈu	0.151
ˈɔ	ˈaʊ̯	0.114
ˈɔʏ̯	ˈøː	0.77
ˈɔʏ̯	ˈyː	0.229
ˈɛ	ˈɛː	0.339
ˈɛ	ˈɛ	0.257
ˈɛ	ˈa	0.109
ˈɛ	ˈɪ	0.109
ˈɛ	ˈaː	0.083
ˈɛɪ̯	ˈiː	0.488
ˈɛː	ˈɛ	0.453
ˈɛː	ˈa	0.13
ˈɛː	ˈaː	0.117
ˈɛː	ˈɛː	0.117
ˈɛː	ˈʏ	0.082
ˈɪ	ˈe	0.346
ˈɪ	ˈɪ	0.309
ˈɪ	ˈɛ	0.11
ˈɪ	ˈeː	0.095
ˈɪ	ˈa	0.072
ˈʊ	ˈo	0.418
ˈʊ	ˈɔ	0.394
ˈʊ	ˈoː	0.084
ˈʊ	ˈʊ	0.064
ˈʊ	ˈuː	0.036
ˈʏ	ˈœ	0.728
ˈʏ	ˈɛ	0.169
ˈʏ	ˈʏ	0.079
