East Low German	Ripuarian	probability
ae̯	e	1.0
b	b	0.872
b	-	0.113
d	d	0.682
d	t	0.188
d	k	0.12
f	f	0.948
f	ə_f	0.052
h	h	0.958
j	j	1.0
k	k	0.526
k	ɕ	0.301
k	x	0.173
kʰ	k	0.992
l	l	0.932
l	ə_l	0.064
m	m	0.762
m	v_ə	0.134
m	-	0.058
n	n	0.49
n	ə	0.272
n	ŋ	0.212
p	f	0.569
p	p	0.431
r	ʀ	1.0
s	s	0.944
s	z	0.056
t	t	0.455
t	s	0.294
t	ʦ	0.13
t	-	0.061
t	k	0.059
tʰ	ʦ	0.897
tʰ	t	0.103
v	ʋ	0.845
v	v	0.109
w	ʋ	1.0
x	x	0.709
x	ɕ	0.212
x	-	0.078
z	z	0.955
æ	ɐ	0.852
æ	-	0.108
ç	ɕ	0.553
ç	k	0.243
ç	-	0.116
ç	ŋ	0.088
ŋ	ŋ	0.789
ŋ	j	0.098
ŋ	n	0.066
ɡ	j	0.707
ɡ	ɣ	0.222
ɡ	-	0.071
ɣ	-	1.0
ɪ	ɪ	0.642
ɪ	ə	0.358
ɾ	d	0.919
ɾ	s	0.081
ʃ	ʃ	1.0
ˈa	ˈa	0.756
ˈa	ˈaː	0.237
ˈae̯	ˈeː	0.803
ˈae̯	ˈeɪ̯	0.107
ˈae̯	ˈe	0.057
ˈaɪ̯	ʀ	1.0
ˈaʊ̯	ˈoː	0.682
ˈaʊ̯	ˈuː	0.174
ˈaʊ̯	ˈa	0.072
ˈaː	ˈɛː_ɐ	0.448
ˈaː	ˈa	0.299
ˈaː	ˈɛ	0.157
ˈaː	ˈaː	0.096
ˈeː	ˈiː	0.941
ˈeː	ˈeː	0.059
ˈiː	ˈiː	0.465
ˈiː	ˈɪ	0.176
ˈiː	ˈɛː	0.091
ˈiː	ˈeɪ̯	0.069
ˈiː	ˈeː	0.063
ˈiː	ˈɛ	0.055
ˈoː	ˈoː	0.538
ˈoː	ˈaː	0.2
ˈoː	ˈʊ	0.118
ˈoː	ˈaʊ̯	0.087
ˈoː	ˈɛː	0.057
ˈuː	ˈuː	0.58
ˈuː	ˈɔ	0.197
ˈuː	ˈaʊ̯	0.085
ˈuː	ˈoː	0.07
ˈuː	ˈyː	0.069
ˈyː	ˈyː	0.803
ˈyː	ˈʏ	0.135
ˈyː	ˈøː	0.061
ˈøː	ˈʏ	1.0
ˈœ	ˈɛ	0.608
ˈœ	ˈaʊ̯	0.264
ˈœ	ˈɔ	0.128
ˈœː	ˈoː	0.27
ˈœː	ˈɪ	0.27
ˈœː	ˈyː	0.185
ˈœː	ˈʏ	0.169
ˈœː	ˈœ	0.085
ˈɒː	ˈoː	0.383
ˈɒː	ˈaː	0.163
ˈɒː	ˈɔ	0.127
ˈɒː	ˈu	0.099
ˈɒː	ˈøː	0.064
ˈɒː	ˈo	0.063
ˈɔ	ˈɔ	0.292
ˈɔ	ˈu	0.23
ˈɔ	ˈa	0.228
ˈɔ	ˈo	0.204
ˈɔʏ̯	ˈøː	0.659
ˈɔʏ̯	ˈyː	0.277
ˈɔʏ̯	ˈoː	0.064
ˈɛ	ˈɛ	0.485
ˈɛ	ˈɛː	0.314
ˈɛ	ˈaː	0.085
ˈɛɪ̯	ˈiː	1.0
ˈɛː	ˈɛ	0.603
ˈɛː	ˈɛː	0.181
ˈɛː	ˈaː	0.075
ˈɛː	ˈyː	0.065
ˈɪ	ˈe	0.415
ˈɪ	ˈɪ	0.327
ˈɪ	ˈa	0.1
ˈɪ	ˈɛ	0.087
ˈʊ	ˈo	0.7
ˈʊ	ˈɔ	0.142
ˈʊ	ˈʊ	0.109
ˈʏ	ˈœ	0.713
ˈʏ	ˈɛ	0.104
ˈʏ	ˈøː	0.079
ˈʏ	ˈʏ	0.056
