Provençal	Provençal	probability
ˈɛ_w	ˈɛ_t	1.0
ˈɔ	ˈe	1.0
ˈỹ	ˈy	1.0
ˈy	ˈy	1.0
ˈĩ	ˈi	1.0
ˈi_n	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ	ˈe	1.0
ˈe_w_#>	w_#>	1.0
ˈe_n	n	1.0
ˈe_#>	#>	1.0
ˈã	ˈa	1.0
ˈa_j	ˈɛ_j	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈã	r_ˈa	1.0
ɾ_e	e	1.0
ɲ	ɲ	1.0
ɔ	ɔ	1.0
ŋ_d	n_d	1.0
ŋ_#>	n_#>	1.0
y	y	1.0
w_ˈẽ	ˈu	1.0
w_ɾ	β	1.0
w_#>	#>	1.0
ũ	u	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_ˈa	s_ˈa	1.0
s_k	s_k	1.0
s_e	ʃ_e	1.0
s_#>	ʦ_#>	1.0
p	p	1.0
n_ɔ	ɔ	1.0
n_w	n_ˈa	1.0
mː	mː	1.0
m	m	1.0
k	k	1.0
j_ˈe	ˈi	1.0
j_ɾ	j_r	1.0
ĩ	i	1.0
ẽ	a	1.0
e_j	s	1.0
b_ɾ	β	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_a_r	1.0
<#_ɥ	<#_w	1.0
<#_t	<#_t	1.0
<#_e	<#_e	1.0
<#	<#_e	1.0
#>	s_#>	1.0
f	h	0.952
s	s	0.936
w_ˈe	ˈɔ	0.895
l	l	0.885
ˈa	ˈa	0.883
ɾ	ɾ	0.879
u	u	0.875
n	n	0.833
e	e	0.833
z	z	0.8
ŋ	ŋ	0.794
w	w	0.794
ɥ	w	0.778
v	b	0.778
e_#>	#>	0.778
ˈu	ˈu	0.769
ˈɛ	ˈɛ	0.75
ɔ_#>	#>	0.75
ˈe	ˈe	0.743
ʤ	ʒ	0.7
ˈi_#>	ˈi_#>	0.667
b	b	0.667
ʀ	r	0.652
d	d	0.64
ɡ	ɡ	0.632
i	i	0.625
ʧ	j_t	0.6
ˈũ	ˈu	0.5
j	j	0.444
ʧ	t	0.4
i	e	0.375
ɡ	ɣ	0.368
d	ð	0.36
ˈũ	ˈy	0.333
ˈi_#>	e_#>	0.333
j	ʎ	0.333
b	β	0.333
ˈɛ	ˈe	0.25
ɔ_#>	a_#>	0.25
ɥ	-	0.222
v	β	0.222
j	-	0.222
e_#>	i_#>	0.222
ʀ	-	0.217
ŋ	n	0.206
ʤ	ʤ	0.2
z	ð	0.2
ˈũ	-	0.167
n	-	0.167
ˈu	ˈy	0.154
ˈe	ˈɛ	0.143
ʀ	r_t	0.13
u	-	0.125
w_ˈe	ˈa_w	0.105
ʤ	-	0.1
w	ˈu	0.088
ˈa	ˈa_t	0.083
ˈu	-	0.077
s	ʃ	0.064
ɾ	β	0.061
ɾ	e	0.061
w	ʎ	0.059
w	-	0.059
l	ɾ	0.058
l	-	0.058
ˈe	ˈi	0.057
ˈe	-	0.057
e	ˈe	0.056
e	s	0.056
e	j_ˈe	0.056
