Danish	West Frisian	probability
#>	#>	0.857
#>	ə_#>	0.056
<#	<#	0.978
<#_j	<#	1.0
b̥	b	0.773
b̥	p	0.186
d̥	d	1.0
e	ə	0.251
e	ɪ	0.125
f	f	0.916
f	s	0.081
h	h	1.0
i	ə	0.379
i	ɪ	0.19
j	k	0.394
j	χ	0.149
j	ˈiə̯	0.113
j	ˈɛ	0.099
j	-	0.077
j	j	0.077
j	ˈɪə̯	0.077
j_#>	#>	1.0
jˀ	ˈɛi̯	1.0
k	k	0.782
k	k_j	0.141
k	-	0.069
kʰ	k	0.879
kʰ	ʦ	0.109
l	l	0.921
l	ə_l	0.075
lˀ	l	0.432
lˀ	t	0.367
lˀ	ˈɔː	0.139
lˀ_ʋ	l	1.0
m	m	0.787
m	r_m	0.173
mˀ	m	0.629
mˀ	f	0.361
n	n	0.978
nˀ	n	0.831
nˀ	l	0.093
nˀ	r	0.069
p	p	1.0
pʰ	p	0.501
s	s	0.909
t	t	0.603
t	χ_t	0.32
t	-	0.066
w	-	0.3
w	χ	0.235
w	ə	0.155
w	v_ə	0.1
w	ˈuː	0.071
w	ˈɪə̯	0.066
wˀ	-	0.33
wˀ	m	0.165
ð̞ˠ	t	0.883
ð̞ˠ	-	0.112
ð̞ˠ_#>	#>	1.0
ŋ	ŋ	0.863
ŋ	χ	0.1
ŋˀ	ŋ	1.0
ɐ	r	0.585
ɐ	ə_r	0.169
ɐ	-	0.128
ɐ	ə	0.097
ɐ_n	r	1.0
ɐˀ	r	0.863
ɐˀ	ˈø	0.1
ɐˀ_n	n	0.125
ə	ə	0.868
ə	d_ə	0.078
ə	-	0.05
ə_#>	#>	1.0
ɡ̊	ɡ	0.642
ɡ̊	ɣ	0.17
ɡ̊	χ	0.148
ʁ	r	0.796
ʁ	-	0.199
ʋ	ʋ	0.474
ʋ	v	0.462
ʋ	-	0.063
ʦʰ	t	0.632
ʦʰ	d	0.146
ʦʰ	ʦ	0.101
ʦʰ	t_v	0.096
ʨ	t	0.125
ˈa	ˈa	0.314
ˈa	ˈɛː	0.186
