Northern Low Saxon	Old High German	probability
ˈɛː	ˈi	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈu_r	1.0
ˈɔʏ̯_ç	rː	1.0
ˈœː	ˈei̯	1.0
ˈœ	-	1.0
ˈø	mː	1.0
ˈyː	ˈiu̯	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_l	ˈɑ_l	1.0
ˈa	ˈɑ	1.0
ʒ	j	1.0
ɪ_ç	ɑ_ɡ	1.0
z̥	s	1.0
z	s	1.0
v̥	b	1.0
tʰ	ʦ	1.0
s_l	s_l	1.0
r	r	1.0
pʰ	p͡f	1.0
kʰ	kʰ	1.0
k	-	1.0
j	ɡ	1.0
i	u	1.0
h	h	1.0
f	f	1.0
d_ˈɪ	d_ˈi	1.0
d_r	t_r	1.0
aɪ̯	ˈiː_ʦ_ɛ_h	1.0
l	l	0.908
ˈuː	ˈuː	0.878
v	w	0.874
ˈiː	ˈiː	0.836
n	n	0.785
b	b	0.783
m	m	0.782
ˈɪ	ˈi	0.773
ɐ	r	0.745
ˈøː	ˈu	0.727
s	s	0.722
ˈʊ	ˈu	0.697
ˈaː	ˈɑ_r	0.685
ʃ	s_k	0.673
ç	ɡ	0.667
p	p	0.648
ˈʏ	ˈu	0.622
x	x	0.605
ˈeː	-	0.564
ˈɔʏ̯	ˈuo̯	0.517
t	t	0.516
t	-	0.484
d	t	0.463
ˈɔ	ˈo	0.444
ˈeː	ˈɛ	0.436
ˈaɪ̯	ˈio̯	0.424
ŋ	ŋ	0.407
ˈoː	ˈɑː	0.4
x	ɡ	0.395
ˈɛ	ˈɛ	0.379
ˈaʊ̯	ˈuo̯	0.376
ˈaɪ̯	ˈei̯	0.358
p	fː	0.352
ˈɛ	ˈɑ	0.35
ˈɔ	ˈu	0.333
ç	kː	0.333
ʃ	s	0.327
ˈaː	ˈɑ_l	0.315
ˈʊ	ˈo	0.303
ŋ	ŋ_ɡ	0.302
ˈoː	ˈɑ	0.281
s	x	0.278
ɡ	x	0.274
ˈɔʏ̯	-	0.273
ˈøː	-	0.273
ˈɛ	ˈe	0.27
ˈaʊ̯	ˈou̯	0.255
d	d	0.255
ˈʏ	-	0.25
ˈaʊ̯	ˈoː	0.241
ˈɔ	-	0.222
ˈɔʏ̯	ˈoː	0.21
ɡ	xː_ɑ	0.176
ˈɪ	ˈei̯	0.172
ɐ	ɑ_r	0.172
b	f_ɑ	0.164
ɡ	ɡ	0.159
d	s̻	0.147
ŋ	ɡ_ɑ	0.145
ŋ	ɡ	0.145
ɡ	kː	0.143
ˈʏ	ˈɛ	0.128
ˈaʊ̯	ˈo	0.128
ˈuː	-	0.122
ˈiː	ˈi_m	0.12
ˈaɪ̯	ˈɛ_h	0.12
m	ɑ_n	0.117
ˈoː	ˈɑ_h	0.116
m	n	0.101
ˈaɪ̯	-	0.098
ɡ	xː	0.092
ˈoː	ˈɛ	0.09
ˈoː	ˈo	0.087
ɡ	kː_ɑ	0.087
n	nː	0.08
n	e_n	0.079
d	s̻ː	0.071
v	w_ˈi	0.07
ɡ	k	0.068
ɐ	ɛ_r	0.058
ˈɪ	ˈiː	0.055
n	n_t	0.055
l	l_ɑ	0.055
b	p͡f	0.053
