Kashubian	Czech	probability
ˈɞ_w	ˈl̩	1.0
ˈɛ_r	ˈr̩	1.0
ˈɛ	ˈɛ	1.0
ˈə	ˈɪ	1.0
ˈõ	ˈu	1.0
ˈi	ˈiː	1.0
ʤ	ɦ	1.0
ʒ	ʒ	1.0
ʐ	r̝	1.0
ɲ_#>	n_#>	1.0
ɲ	ɲ	1.0
ɡ	ɦ	1.0
ɛ	ɛ	1.0
ə	ɪ	1.0
ɔ	o	1.0
z	z	1.0
x	x	1.0
w_<#	<#	1.0
w	l	1.0
v	v	1.0
u̯ˈɛ	ˈo	1.0
u̯ɛ	o	1.0
t	t	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m_ə	m̩	1.0
m	m	1.0
l	l	1.0
j_ˈɞ	ˈiː	1.0
j_ˈa	ˈiː	1.0
i	iː	1.0
e	ɛ	1.0
d	d	1.0
b	b	1.0
a_ŋ	ɛ	1.0
a	a	0.895
k	k	0.857
r	r	0.733
ʃ	ʃ	0.714
ˈɔ	ˈo	0.667
ˈe	ˈɛ	0.667
ʦ	t	0.65
ˈu	ˈuː	0.6
ʣ	d	0.6
j	j	0.526
ˈa_ŋ	ˈɛ	0.5
ˈa_ŋ	ˈa	0.5
f	v	0.5
f	f	0.5
ˈɞ	ˈɛ	0.429
ʧ	c	0.429
ˈu	ˈo	0.4
ˈa	ˈɛ	0.4
ʣ	ɟ	0.4
j	-	0.368
ˈɔ	ˈa	0.333
ˈe	ˈɛː	0.333
ˈɞ	ˈaː	0.286
ˈɞ	ˈa	0.286
ʧ	ʧ	0.286
ʧ	k	0.286
ʃ	ʧ	0.286
ʦ	ʦ	0.25
ˈa	ˈa	0.2
ˈa	r	0.2
ˈa	-	0.2
k	x	0.143
r	ˈaː	0.133
r	r_ˈaː	0.133
j	ɲ	0.105
a	ɛ	0.105
ʦ	c	0.1
