Northern Low Saxon	Middle High German	probability
ˈɛː	ˈi	1.0
ˈɛɪ̯	ˈæː	1.0
ˈɔː	ˈu_r	1.0
ˈœ_t	ɛ	1.0
ˈœ	-	1.0
ˈyː	ˈyː	1.0
ˈiː	ˈiː	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_l	ˈɑ_l	1.0
ˈa	ˈɑ	1.0
ʒ	j	1.0
ɡ_r	ɡ_r	1.0
z̥	s_ə	1.0
v̥	b̥	1.0
tʰ	ʦ	1.0
r	r	1.0
pʰ	p͡f	1.0
k	-	1.0
j	ɡ	1.0
i	ə_ɡ̊	1.0
d_ˈaʊ̯	t_ˈoː	1.0
d_r	t_r	1.0
aɪ̯	h_ə	1.0
v	w	0.958
l	l	0.935
z	s	0.891
ˈuː	ˈuː	0.879
h	h	0.874
ʃ	ʃ	0.831
kʰ	kʰ	0.828
n	n	0.816
ˈɪ	ˈi	0.793
m	m	0.751
f	v	0.736
ˈʊ	ˈu	0.697
x	x	0.687
ɪ	ə	0.667
b	b	0.653
p	p	0.648
t	t	0.642
ɐ	r	0.64
ˈeː	-	0.564
ˈaː	ˈɑ_r	0.545
ç	ɡ̊	0.522
ˈʏ	ˈy	0.506
ˈʏ	-	0.494
ŋ	ɡ_ə	0.482
ˈaɪ̯	ˈiə̯	0.47
ˈoː	ˈɑː	0.468
ˈɔ	ˈo	0.444
ˈeː	ˈɛ	0.436
s	s	0.425
ˈaʊ̯	ˈuə̯	0.424
ˈɔʏ̯	ˈyə̯	0.408
ˈoː	ˈɑ	0.406
ˈaɪ̯	ˈei̯	0.396
ˈɛ	ˈɛ	0.379
ˈøː	ˈu	0.375
ˈøː	-	0.375
ɡ	ɡ	0.363
t	-	0.358
d	t	0.356
p	fː	0.352
ˈɛ	ˈɑ	0.35
s	s_t	0.349
ˈɔ	ˈu	0.333
ɪ	i	0.333
x	ɡ̊	0.313
ˈʊ	ˈo	0.303
ɐ	ə_r	0.271
ˈɛ	ˈe	0.27
ŋ	ŋ_ɡ̊	0.262
b	f	0.262
ˈøː	ˈy	0.25
m	ə_n	0.249
d	d	0.235
ɡ	xː	0.231
ˈaː	ˈɑ_l	0.227
ˈaː	r	0.227
s	ʃ	0.226
ˈɔ	-	0.222
ˈaʊ̯	ˈou̯	0.221
ˈaʊ̯	ˈoː	0.21
ˈɔʏ̯	ˈøː	0.2
ˈɔʏ̯	-	0.2
f	b̥	0.187
ɡ	x	0.185
ɡ	kː	0.175
ç	kː_ə	0.174
d	s̻	0.174
kʰ	k	0.172
ʃ	ʃː	0.169
ç	-	0.168
ˈɪ	ˈei̯	0.16
ˈaʊ̯	ˈo	0.145
ŋ	ŋ	0.144
ç	ə	0.136
ˈaɪ̯	ˈɛ_h	0.135
ˈɔʏ̯	ˈøy̯	0.13
d	d̥	0.129
h	h_ˈɛ	0.126
ˈuː	-	0.121
ŋ	ŋ_ɡ	0.112
z	s_ˈeː	0.109
ˈoː	ˈɛ	0.097
ɐ	r_ə	0.089
n	nː	0.087
b	p͡f	0.085
f	f	0.077
n	n_d	0.071
ˈɔʏ̯	rː	0.064
