Northern Low Saxon	German	probability
b	b	0.663
b	f	0.246
b	p͡f	0.086
d	t	0.433
d	d	0.159
d	s	0.157
d	tʰ	0.144
d	ʦ	0.037
f	f	0.879
f	p	0.118
h	h	1.0
i	ɪ	0.244
j	ɡ	0.494
k	k	0.494
kʰ	kʰ	1.0
l	l	0.926
l	-	0.047
m	m	0.783
m	n	0.074
m	b_n	0.054
m	b_ə	0.053
m	-	0.037
n	n	0.701
n	ə_n	0.211
n	n_ə	0.046
p	f	0.326
p	p	0.326
r	ʁ	0.973
r	-	0.038
s	s	0.376
s	ʃ	0.24
s	z_ə	0.163
s	k_s	0.097
s	s_t	0.073
t	t	0.89
t	s	0.099
tʰ	ʦ	0.839
tʰ	tʰ	0.158
v	v	0.96
v	b	0.044
x	x	0.683
x	k	0.266
x	ɡ	0.042
z	z	0.949
z	m	0.055
ç	ç	0.499
ç	k_ə	0.187
ç	-	0.109
ç	k	0.093
ç	ɡ	0.093
ŋ	ŋ	0.829
ŋ	ɡ	0.165
ɐ	ɐ	0.933
ɐ	ʁ_ə	0.062
ə	ɐ	1.0
ɡ	ɡ	0.509
ɡ	ç	0.199
ɡ	x	0.133
ɡ	k_ə	0.073
ɡ	k	0.072
ɪ	ɪ	1.0
ʃ	ʃ	0.954
ʃ	ʃ_ə	0.05
ʒ	j	1.0
ˈa	ˈa	0.878
ˈa	ˈaː	0.085
ˈa	ˈɛ	0.044
ˈaɪ̯	ˈiː	0.432
ˈaɪ̯	ˈaɪ̯	0.336
ˈaɪ̯	ˈeː	0.179
ˈaɪ̯	ˈɛ	0.05
ˈaʊ̯	ˈuː	0.306
ˈaʊ̯	ˈoː	0.268
ˈaʊ̯	ˈɔ	0.153
ˈaʊ̯	ˈa	0.109
ˈaʊ̯	ˈaʊ̯	0.106
ˈaː	ˈa_ɐ	0.478
ˈaː	ɐ	0.326
ˈaː	ˈa	0.187
ˈeɪ̯	ˈeː	0.603
ˈeɪ̯	ˈaɪ̯	0.158
ˈeɪ̯	ˈiː	0.158
ˈeː	ˈɛ	0.4
ˈeː	ˈeː	0.264
ˈeː	ˈɪ	0.105
ˈeː	ˈɔʏ̯	0.099
ˈeː	ˈaː	0.076
ˈiː	ˈaɪ̯	0.655
ˈiː	ˈiː	0.119
ˈiː	ˈɔʏ̯	0.078
ˈiː	ˈʏ	0.078
ˈiː	ˈɪ	0.064
ˈoː	ˈaː	0.607
ˈoː	ˈa	0.134
ˈoː	ˈoː	0.11
ˈoː	ˈɛː	0.086
ˈoː	ˈaʊ̯	0.047
ˈuː	ˈaʊ̯	0.653
ˈuː	ˈuː	0.174
ˈuː	ˈɔʏ̯	0.078
ˈuː	ˈʊ	0.078
ˈyː	ˈɔʏ̯	1.0
ˈø	ˈɛ	0.5
ˈø	ˈɪ	0.5
ˈøː	ˈaʊ̯	0.198
ˈøː	ˈyː	0.183
ˈøː	ˈoː	0.129
ˈøː	ˈiː	0.113
ˈøː	ˈaː	0.073
ˈœ	ˈœ	1.0
ˈœː	ˈœ	0.326
ˈœː	ˈɛ	0.326
ˈɔ	ˈɔ	0.464
ˈɔ	ˈʊ	0.343
ˈɔ	ˈa	0.129
ˈɔʏ̯	ˈøː	0.374
ˈɔʏ̯	ˈyː	0.3
ˈɔʏ̯	ˈɔ	0.128
ˈɔʏ̯	ˈɔɪ̯	0.093
ˈɔʏ̯	ˈʏ	0.066
ˈɔː	ˈʊ	0.494
ˈɛ	ˈɛ	0.367
ˈɛ	ˈeː	0.288
ˈɛ	ˈaː	0.154
ˈɛ	ˈɪ	0.144
ˈɛɪ̯	ˈaɪ̯	0.488
ˈɛɪ̯	ˈɛ	0.137
ˈɛɪ̯	ˈɛː	0.137
ˈɪ	ˈɪ	0.689
ˈɪ	ˈaɪ̯	0.237
ˈɪ	ˈɛ	0.046
ˈɪ	ˈa	0.041
ˈʊ	ˈɔ	0.461
ˈʊ	ˈʊ	0.461
ˈʊ	ˈaʊ̯	0.071
ˈʏ	ˈʏ	0.582
ˈʏ	ˈɔʏ̯	0.122
ˈʏ	ˈɛ	0.122
ˈʏ	ˈoː	0.118
