Northern Low Saxon	German	probability
b	b	0.714
b	f	0.246
d	t	0.377
d	tʰ	0.158
d	d	0.151
d	s	0.135
d	s_ə	0.099
f	f	0.834
f	p	0.119
h	h	1.0
i	ɪ	1.0
j	ɡ	1.0
k	k	1.0
kʰ	kʰ	0.989
l	l	0.942
m	m	0.725
m	b_n	0.069
m	b_ə	0.068
m	m_ə	0.061
n	n	0.865
n	ə_n	0.132
p	p	0.529
p	f	0.471
r	ʁ	0.991
s	s	0.359
s	z	0.248
s	ʃ	0.194
s	k_s	0.105
s	s_t	0.093
t	t	0.867
t	s	0.133
tʰ	ʦ	0.8
tʰ	tʰ	0.2
v	v	0.979
x	x	0.674
x	k	0.265
x	ɡ	0.061
z	z	0.964
ç	ç	0.621
ç	k_ə	0.132
ç	k	0.124
ç	ɡ	0.124
ŋ	ŋ	0.779
ŋ	ɡ	0.221
ɐ	ɐ	0.938
ɐ	ʁ_ə	0.062
ə	ɐ	1.0
ɡ	ɡ	0.476
ɡ	ç	0.218
ɡ	k_ə	0.144
ɡ	x	0.138
ɪ	ɪ	1.0
ʃ	ʃ	0.976
ʒ	j	1.0
ˈa	ˈa	0.929
ˈaɪ̯	ˈaɪ̯	0.382
ˈaɪ̯	ˈiː	0.374
ˈaɪ̯	ˈeː	0.229
ˈaʊ̯	ˈuː	0.348
ˈaʊ̯	ˈoː	0.249
ˈaʊ̯	ˈɔ	0.149
ˈaʊ̯	ˈaʊ̯	0.127
ˈaʊ̯	ˈa	0.091
ˈaː	ˈa_ɐ	0.519
ˈaː	ɐ	0.305
ˈaː	ˈa_l	0.175
ˈeɪ̯	ˈeː	0.747
ˈeɪ̯	ˈaɪ̯	0.127
ˈeɪ̯	ˈiː	0.127
ˈeː	ˈɛ	0.325
ˈeː	ˈeː	0.302
ˈeː	ˈɔʏ̯	0.177
ˈeː	ˈaː	0.122
ˈeː	ˈɪ	0.075
ˈiː	ˈaɪ̯	0.702
ˈiː	ˈiː	0.105
ˈiː	ˈɔʏ̯	0.073
ˈiː	ˈʏ	0.062
ˈiː	ˈɪ	0.059
ˈoː	ˈaː	0.59
ˈoː	ˈoː	0.179
ˈoː	ˈɛː	0.115
ˈoː	ˈa	0.084
ˈuː	ˈaʊ̯	0.705
ˈuː	ˈuː	0.175
ˈuː	ˈɔʏ̯	0.061
ˈuː	ˈʊ	0.06
ˈyː	ˈɔʏ̯	1.0
ˈø	ˈɪ	0.747
ˈø	ˈɛ	0.253
ˈøː	ˈoː	0.276
ˈøː	ˈiː	0.267
ˈøː	ˈyː	0.196
ˈøː	ˈaʊ̯	0.188
ˈøː	ˈaː	0.074
ˈœ	ˈœ	1.0
ˈœː	ˈœ	0.529
ˈœː	ˈɛ	0.471
ˈɔ	ˈɔ	0.415
ˈɔ	ˈʊ	0.295
ˈɔ	ˈa	0.189
ˈɔ	ˈaʊ̯	0.101
ˈɔʏ̯	ˈøː	0.522
ˈɔʏ̯	ˈyː	0.246
ˈɔʏ̯	ˈɔʏ̯	0.153
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.307
ˈɛ	ˈaː	0.299
ˈɛ	ˈeː	0.265
ˈɛ	ˈɪ	0.13
ˈɛɪ̯	ˈaɪ̯	0.664
ˈɛɪ̯	ˈɛ	0.168
ˈɛɪ̯	ˈɛː	0.168
ˈɪ	ˈɪ	0.745
ˈɪ	ˈaɪ̯	0.144
ˈɪ	ˈɛ	0.063
ˈʊ	ˈʊ	0.585
ˈʊ	ˈɔ	0.339
ˈʊ	ˈaʊ̯	0.076
ˈʏ	ˈʏ	0.572
ˈʏ	ˈɔʏ̯	0.191
ˈʏ	ˈoː	0.178
ˈʏ	ˈɛ	0.059
