Gothic	Gothic	probability
β	ʋ	1.0
ˈɛː_w	ˈøː	1.0
ˈɛː	ˈæɪ̯	1.0
ˈɔː_θ	ˈæʉ̯	1.0
ˈɔː_s	ˈœʏ̯	1.0
ˈɔ_θ	ˈæʉ̯	1.0
ˈɔ_r	ɾ	1.0
ˈuː	ˈʉː	1.0
ˈoː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈiu̯_#>	ˈeː_#>	1.0
ˈeː	ˈoː	1.0
ˈa_s	ˈæː	1.0
ʍ	kʰ_ʋ	1.0
ɡʷː	ɡ	1.0
ɡʷ	j	1.0
ɔː	e	1.0
ŋ_ɡ	ŋː	1.0
ŋ_k	ʰkː	1.0
ŋ	ɲ	1.0
ð	-	1.0
x	ɡ	1.0
s_k	ʂ	1.0
s_#>	#>	1.0
r_n	ɾ_n	1.0
r_#>	ɾ_#>	1.0
nː	nː	1.0
n_θ	nː	1.0
n_s	n	1.0
n_d	nː	1.0
n_#>	#>	1.0
m_b	mː	1.0
m	m	1.0
lː	lː	1.0
l_θ	lː	1.0
l_s_#>	l_#>	1.0
kʷ	kʰ	1.0
k_i	sː	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j	-	1.0
iː	-	1.0
i_θ	ʉ	1.0
i	-	1.0
h_t	ʰtː	1.0
f_s	ʋ	1.0
e	-	1.0
d_a	ɡː	1.0
aː	-	1.0
a_r	ɾ	1.0
a_n	ɑ	1.0
a_#>	#>	1.0
<#_θ	<#_tʰ	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_s	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
<#	<#_j	1.0
w	ʋ	0.917
r	ɾ	0.895
p	p	0.875
b	b	0.867
f	f	0.857
t	t	0.81
d	d	0.8
u	-	0.778
l	l	0.778
ɡ	ɡ	0.714
h	h	0.7
ˈu	ˈʉ	0.684
ɣ	-	0.667
#>	e_#>	0.6
θ	-	0.571
n	n	0.56
ˈiu̯	ˈʉː	0.556
a	e	0.556
s	s	0.529
ˈa	ˈɑ	0.516
ˈɔ	ˈʊ	0.5
ˈɔ	ˈuː	0.5
ˈɔː	ˈæʉ̯	0.444
ˈiu̯	-	0.444
θ	d	0.429
ˈɛ	ˈɛ	0.429
ˈɛ	j	0.429
oː	e	0.417
#>	ɾ_#>	0.4
ˈi	ˈɪ	0.379
ˈɔː	ˈɔ	0.333
ɣ	jː	0.333
h	-	0.3
s	-	0.294
ɡ	j	0.286
oː	ɑ	0.25
ˈɔː	-	0.222
u	e	0.222
a	ɾ	0.222
a	ɑ	0.222
ˈu	-	0.211
ˈi	ˈeː	0.207
n	nː	0.2
d	-	0.2
ˈa	ˈɑː	0.194
s	ʂ	0.176
ˈi	ˈɛ	0.172
oː	n	0.167
oː	-	0.167
ˈa	ˈɛ	0.161
ˈɛ	ˈæ	0.143
t	-	0.143
f	ʋ	0.143
b	-	0.133
p	ʰpː	0.125
l	lː	0.111
l	j	0.111
ˈu	ˈɔ	0.105
r	-	0.105
ˈi	ˈiː	0.103
w	v	0.083
n	ˈiː	0.08
n	ɑ	0.08
n	-	0.08
ˈi	ˈʏ	0.069
ˈi	ˈœ	0.069
ˈa	ˈɔ	0.065
ˈa	-	0.065
