Aromanian	Sicilian	probability
a	a	1.0
e	ɪ	1.0
f	f	1.0
v	v	1.0
w	v	1.0
ç	f	1.0
ɡ	-	1.0
ɲ	m	1.0
ʃ	s	1.0
ʣ	j	1.0
ʤ	-	1.0
ˈɨ	ˈa	1.0
d	ɾ	0.091
i	-	0.111
n	n_ʊ	0.101
n	nː	0.11
n	-	0.151
t	-	0.081
ˈa	ˈɛ	0.111
ˈe	ˈi	0.441
ˈi	ˈɛ	0.311
ˈi	ˈi	0.561
e̯ˈa	ˈɛ	0.162
i	i	0.052
p	p	0.842
t	ʈ	0.112
ˈu	ˈɔ	0.252
e̯ˈa	ˈa	0.063
r	ɾ	0.513
b	b	0.474
k	p	0.184
m	-	0.114
o̯ˈa	ˈɔ	0.524
s	s	0.794
u	ʊ	0.84
ʎ	ɟː	0.554
ʦ	ɕ	0.774
ˈo	ˈu	0.304
e̯ˈa	ˈi	0.775
j	-	0.445
j	v	0.555
l	l	0.435
l	-	0.565
r	r	0.25
b	v	0.526
o̯ˈa	ˈu	0.476
s	ʃ	0.206
ə	ʊ	0.086
ʎ	l	0.446
ʦ	-	0.136
ˈo	ˈɔ	0.696
ˈu	ˈu	0.66
i	ɪ	0.717
m	mː	0.057
t	t	0.807
ə	ɪ	0.187
ə	a	0.727
i	ʊ	0.088
k	k	0.698
n	n	0.638
p	-	0.158
r	-	0.128
u	u	0.118
ˈu	ˈo	0.088
d	d	0.909
k	k_ʊ	0.089
m	m	0.829
ʦ	t	0.09
ˈa	ˈa	0.889
ˈe	ˈɛ	0.559
ˈi	-	0.059
ˈi	ˈa	0.069
