Limburgish	Northern Low Saxon	probability
b	b	0.912
b	-	0.088
d	d	0.817
d	-	0.183
f	f	1.0
i	aɪ̯	1.0
j	-	0.652
j	l	0.162
j	ʒ	0.113
k	ɡ	0.454
k	kʰ	0.336
k	k	0.106
k	ç	0.104
l	l	0.995
m	m	1.0
n	n	0.99
p	b	0.684
p	p	0.225
p	pʰ	0.091
s	s	0.588
s	ʃ	0.412
t	d	0.667
t	t	0.176
t	tʰ	0.117
v	f	0.783
v	m	0.159
v	v	0.059
w	l	1.0
x	ç	0.496
x	x	0.331
x	ɡ	0.173
z	z	0.754
z	s	0.128
z	ʃ	0.118
ŋ	ŋ	0.783
ŋ	ç	0.217
ə	-	0.406
ə	n	0.393
ə	d_n	0.09
ə	m	0.062
ɡ	ŋ	1.0
ɣ	ɡ	0.851
ɣ	j	0.12
ɦ	h	1.0
ɪ	ɪ	1.0
ɪː	ˈɪ	1.0
ʀ	ɐ	0.518
ʀ	r	0.337
ʀ	-	0.101
ʃ	ʃ	1.0
ʦ	ʃ	1.0
ˈaː	ˈa	0.389
ˈaː	ˈoː	0.223
ˈaː	ˈɔ	0.093
ˈaː	ˈɛɪ̯	0.075
ˈaː	-	0.066
ˈaː	ˈaʊ̯	0.065
ˈaː	ˈaː	0.063
ˈeː	ˈaɪ̯	0.351
ˈeː	ˈeː	0.147
ˈeː	ˈiː	0.094
ˈeː	ˈɛ_l	0.073
ˈeː	ˈoː	0.071
ˈeː	ˈeɪ̯	0.065
ˈeː	ˈɪ	0.061
ˈeː	ˈɛ	0.05
ˈi	ˈaɪ̯	0.362
ˈi	ˈaʊ̯	0.141
ˈi	ˈɛɪ̯	0.136
ˈi	ˈeɪ̯	0.121
ˈi	ˈɪ	0.073
ˈi	ˈoː	0.068
ˈi	ˈiː	0.06
ˈiː	ˈiː	0.706
ˈiː	ˈaɪ̯	0.294
ˈoː	ˈʏ	0.479
ˈoː	ˈoː	0.295
ˈoː	ˈaʊ̯	0.225
ˈu	ˈaʊ̯	0.793
ˈu	ˈɔʏ̯	0.207
ˈuː	ˈuː	0.804
ˈuː	ˈaʊ̯	0.152
ˈv	f	1.0
ˈyː	ˈɔʏ̯	0.509
ˈyː	ˈyː	0.491
ˈæ	ˈaː	0.37
ˈæ	ˈa	0.347
ˈæ	ˈɛ	0.177
ˈæ	ˈœ	0.106
ˈæː	ˈœ	0.667
ˈæː	ˈʏ	0.333
ˈøː	ˈɔʏ̯	0.448
ˈøː	ˈøː	0.216
ˈøː	ˈaʊ̯	0.199
ˈøː	ˈyː	0.077
ˈœ	ˈʏ	0.852
ˈœ	ˈɛ	0.148
ˈœi̯	ˈyː	0.462
ˈœi̯	ˈɔʏ̯	0.32
ˈœi̯	ˈiː	0.11
ˈœi̯	ˈuː	0.108
ˈœː	ˈɔː	0.667
ˈœː	ˈɔ	0.333
ˈɑ	ˈa	0.926
ˈɑ	ˈaʊ̯	0.074
ˈɑː	ˈa	0.898
ˈɑː	ˈeː	0.102
ˈɒː	ˈoː	0.957
ˈɔ	ˈɔ	0.42
ˈɔ	ˈʊ	0.339
ˈɔ	ˈaʊ̯	0.192
ˈɔ	-	0.05
ˈɔu̯	ˈaʊ̯	0.564
ˈɔu̯	ˈuː	0.436
ˈɔː	ˈaʊ̯	0.509
ˈɔː	ˈʊ	0.248
ˈɔː	ˈoː	0.243
ˈɛ	ˈiː	0.594
ˈɛ	ˈɪ	0.181
ˈɛ	ˈɛ	0.103
ˈɛ	ˈœː	0.076
ˈɛi̯	ˈaɪ̯	1.0
ˈɛː	ˈaɪ̯	0.317
ˈɛː	ˈɪ	0.252
ˈɛː	ˈaː	0.149
ˈɛː	ˈeː	0.129
ˈɛː	ˈɛɪ̯	0.064
ˈɛːi̯	ˈaɪ̯	0.765
ˈɛːi̯	ˈiː	0.235
ˈɪ	ˈɪ	0.6
ˈɪ	ˈœː	0.326
ˈɪ	ˈeː	0.074
ˈɪː	ˈɪ	0.903
ˈɪː	ˈʏ	0.097
ˈʊ	ˈʊ	1.0
ˈʊː	ˈʊ	0.362
ˈʊː	ˈaʊ̯	0.316
ˈʊː	ˈuː	0.102
ˈʊː	ˈoː	0.07
ˈʊː	ˈɔ	0.054
ˈʏ	ˈʏ	0.667
ˈʏ	ˈø	0.333
ˈʏː	ˈʏ	0.795
ˈʏː	ˈʊ	0.205
β	v	0.968
